Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"ALTS",38.620,38.210,"38.450 - 38.610",900,1000,4961,250,"2:43pm - <b>38.591</b>","ProShares Morningstar Alternati"
"BATS",30.47,30.46,"30.03 - 32.00",1200,100,3896834,100,"3:41pm - <b>30.43</b>","BATS Global Markets, Inc. Commo"
"BEMO",25.27,25.23,"25.24 - 25.26",1000,5500,2804,1000,"3:35pm - <b>25.27</b>","Aptus Behavioral Momentum ETF"
"CEMB",52.120,50.800,"50.810 - 50.990",100,4000,4646,400,"10:23am - <b>50.985</b>","iShares Emerging Markets Corpor"
"CNDF",25.48,25.41,N/A,1500,1100,102,N/A,"4:00pm - <b>25.20</b>","iShares Edge MSCI Multifactor C"
"CNSF",24.9100,24.8500,"24.8401 - 24.8401",2500,2500,480,300,"11:16am - <b>24.8401</b>","iShares Edge MSCI Multifactor C"
"CNYA",25.69,25.64,"25.64 - 25.64",500,1100,1700,100,"1:59pm - <b>25.68</b>","iShares MSCI China A ETF"
"CSM",52.60,52.55,"52.54 - 52.75",5800,3500,12916,118,"2:57pm - <b>52.59</b>","ProShares Large Cap Core Plus"
"DDEZ",24.540,24.390,N/A,1000,4600,100,N/A,"4:00pm - <b>24.895</b>","WisdomTree Dynamic Currency Hed"
"DDJP",24.1200,23.9700,N/A,1000,4600,100,N/A,"4:00pm - <b>24.8099</b>","WisdomTree Dynamic Currency Hed"
"DDLS",25.89,25.86,N/A,500,1000,100,N/A,"4:00pm - <b>25.33</b>","WisdomTree Dynamic Currency Hed"
"DDWM",25.70,25.66,"25.69 - 25.87",1000,1000,11458,100,"12:56pm - <b>25.71</b>","WisdomTree Dynamic Currency Hed"
"DEFA",24.180,24.090,N/A,3500,1000,100,N/A,"4:00pm - <b>24.437</b>","iShares Adaptive Currency Hedge"
"DEWJ",23.45,23.42,N/A,1000,500,100,N/A,"4:00pm - <b>23.15</b>","iShares Adaptive Currency Hedge"
"DEZU",23.07,23.04,N/A,500,1000,100,N/A,"4:00pm - <b>22.55</b>","iShares Adaptive Currency Hedge"
"DFND",22.71,22.65,N/A,2000,400,100,N/A,"4:00pm - <b>22.83</b>","Realty Shares DIVCON Dividend D"
"DVEM",27.03,26.89,"27.23 - 27.23",1000,4500,269,200,"9:30am - <b>27.23</b>","WisdomTree Emerging Markets Div"
"DYB",24.75,24.70,N/A,3500,3200,600,500,"3:20pm - <b>24.74</b>","WisdomTree Dynamic Bearish U.S."
