Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"PERY",19.48,19.44,"19.44 - 19.84",100,100,25486,100,"2:53pm - <b>19.44</b>","Perry Ellis International Inc."
"PESI",4.94,4.89,"4.94 - 5.01",100,100,2011,100,"2:24pm - <b>4.94</b>","Perma-Fix Environmental Service"
"PETS",20.61,20.59,"20.59 - 20.80",400,100,41117,100,"2:59pm - <b>20.59</b>","PetMed Express, Inc."
"PETX",9.0000,8.9900,"8.9000 - 9.3300",500,900,419013,300,"2:59pm - <b>8.9999</b>","Aratana Therapeutics, Inc."
"PFBC",34.78,34.67,"34.67 - 35.29",100,100,14407,100,"2:59pm - <b>34.67</b>","Preferred Bank"
"PFBI",16.85,16.77,"16.75 - 17.03",100,100,5963,200,"2:50pm - <b>16.78</b>","Premier Financial Bancorp, Inc."
"PFBX",11.46,10.56,N/A,100,2000,0,N/A,"3:37pm - <b>10.94</b>","Peoples Financial Corporation"
"PFIE",1.26,1.22,"1.18 - 1.26",300,100,15503,100,"2:57pm - <b>1.22</b>","Profire Energy, Inc."
"PFIN",8.34,8.25,"8.25 - 8.47",100,200,2922,100,"2:32pm - <b>8.25</b>","P & F Industries, Inc."
"PFIS",40.25,39.51,"39.44 - 40.18",200,100,650,100,"2:12pm - <b>39.99</b>","Peoples Financial Services Corp"
"PFLT",13.10,13.09,"13.07 - 13.17",1400,500,68682,100,"2:55pm - <b>13.10</b>","PennantPark Floating Rate Capit"
"PFMT",2.61,2.54,"2.48 - 2.65",100,100,20579,100,"2:20pm - <b>2.56</b>","Performant Financial Corporatio"
"PFPT",76.46,76.38,"75.85 - 76.95",100,200,232685,100,"2:59pm - <b>76.38</b>","Proofpoint, Inc."
"PFSW",9.14,9.10,"9.10 - 9.27",200,400,97596,100,"2:58pm - <b>9.13</b>","PFSweb, Inc."
"PGC",21.89,21.84,"21.07 - 22.12",100,100,50164,100,"2:59pm - <b>21.88</b>","Peapack-Gladstone Financial Cor"
"PGLC",4.42,4.41,"4.40 - 4.52",200,300,69586,100,"2:58pm - <b>4.42</b>","PERSHING GOLD CORPOR"
"PGNX",5.91,5.90,"5.90 - 6.03",2400,1200,442474,100,"2:58pm - <b>5.90</b>","Progenics Pharmaceuticals Inc."
"PGTI",11.060,11.050,"10.960 - 11.200",600,700,181338,100,"2:59pm - <b>11.055</b>","PGT, Inc."
"PHII",19.27,18.46,"18.45 - 19.00",400,300,552,100,"2:56pm - <b>18.45</b>","PHI, Inc."
"PHIIK",18.46,18.37,"18.26 - 18.85",100,100,19578,100,"2:57pm - <b>18.37</b>","PHI, Inc."
"PHMD",1.33,1.31,"1.25 - 1.49",2700,2100,238343,1580,"2:57pm - <b>1.32</b>","PhotoMedex, Inc."
"PI",32.46,32.22,"32.01 - 34.50",100,100,404422,145,"2:59pm - <b>32.28</b>","Impinj, Inc."
"PICO",11.54,11.51,"11.52 - 11.70",300,100,32591,100,"2:47pm - <b>11.52</b>","PICO Holdings Inc."
"PIH",6.02,5.97,"5.96 - 5.98",100,1100,4026,100,"2:32pm - <b>5.98</b>","1347 Property Insurance Holding"
"PINC",32.01,32.00,"31.90 - 32.56",500,400,172740,100,"2:59pm - <b>31.99</b>","Premier, Inc."
"PIRS",1.70,1.69,"1.67 - 1.72",800,1100,108054,100,"2:59pm - <b>1.69</b>","Pieris Pharmaceuticals, Inc."
"PKBK",15.59,15.36,"15.39 - 15.56",100,900,1814,100,"2:33pm - <b>15.56</b>","Parke Bancorp, Inc."
"PKOH",38.22,38.10,"36.60 - 38.22",100,200,25339,100,"2:58pm - <b>38.21</b>","Park-Ohio Holdings Corp."
"PLAB",10.320,10.310,"10.260 - 10.530",100,200,267242,100,"2:57pm - <b>10.315</b>","Photronics, Inc."
"PLAY",40.76,40.75,"40.65 - 41.40",300,200,429612,100,"2:59pm - <b>40.75</b>","Dave & Buster's Entertainment, "
"PLBC",10.08,9.96,"9.96 - 10.02",100,5000,6654,100,"1:45pm - <b>10.00</b>","Plumas Bancorp"
"PLCE",79.64,79.58,"79.07 - 80.26",100,200,177415,100,"2:58pm - <b>79.64</b>","Children's Place, Inc. (The)"
"PLCM",12.480,12.470,"12.470 - 12.480",187700,187100,1325193,100,"2:59pm - <b>12.475</b>","Polycom, Inc."
"PLKI",56.05,55.99,"55.88 - 56.97",200,200,77555,100,"2:59pm - <b>56.02</b>","Popeyes Louisiana Kitchen, Inc."
"PLPC",43.64,42.39,"42.37 - 42.37",200,100,412,100,"2:12pm - <b>42.37</b>","Preformed Line Products Company"
"PLPM",3.67,3.65,"3.61 - 3.75",400,400,57902,100,"2:58pm - <b>3.66</b>","Planet Payment, Inc."
"PLSE",6.41,6.30,"6.28 - 6.42",200,100,13292,100,"2:48pm - <b>6.41</b>","Pulse Biosciences, Inc"
"PLUG",1.640,1.630,"1.610 - 1.670",29800,3400,661903,100,"2:59pm - <b>1.635</b>","Plug Power, Inc."
"PLUS",89.41,89.25,"89.10 - 90.64",200,100,44930,100,"2:59pm - <b>89.52</b>","ePlus inc."
"PLXS",46.51,46.47,"46.45 - 47.15",200,200,68776,100,"2:57pm - <b>46.50</b>","Plexus Corp."
"PMBC",7.34,7.25,"7.27 - 7.53",100,100,17518,100,"2:58pm - <b>7.27</b>","Pacific Mercantile Bancorp"
"PMD",19.90,19.66,"19.50 - 19.90",100,200,16641,100,"2:58pm - <b>19.90</b>","Psychemedics Corporation"
"PME",1.12,1.08,"1.05 - 1.10",200,18900,5168,2000,"2:01pm - <b>1.09</b>","Pingtan Marine Enterprise Ltd."
"PMPT",24.1100,24.0500,"24.1742 - 24.1742",3100,100,212,211,"10:37am - <b>24.1742</b>","iSectors Post-MPT Growth ETF"
"PMTS",6.02,6.00,"5.96 - 6.05",500,300,66290,100,"2:59pm - <b>6.00</b>","CPI Card Group Inc."
"PNBK",15.32,13.43,N/A,200,200,0,N/A,"9:30am - <b>13.37</b>","Patriot National Bancorp Inc."
"PNFP",53.97,53.92,"53.87 - 54.82",300,100,74702,100,"2:58pm - <b>53.95</b>","Pinnacle Financial Partners, In"
"PNK",12.32,12.31,"12.28 - 12.45",1900,900,141307,100,"2:59pm - <b>12.31</b>","Pinnacle Entertainment, Inc."
"PNNT",7.540,7.530,"7.495 - 7.550",700,400,290754,100,"2:57pm - <b>7.535</b>","PennantPark Investment Corporat"
"PNQI",86.80,86.69,"86.42 - 87.11",2700,200,42049,100,"2:59pm - <b>86.78</b>","PowerShares Nasdaq Internet Por"
"PNRA",197.46,197.40,"197.08 - 198.71",100,400,291301,100,"2:59pm - <b>197.46</b>","Panera Bread Company"
"PNRG",59.00,58.02,N/A,1000,100,0,N/A,"9:30am - <b>58.00</b>","PrimeEnergy Corporation"
"PNTR",7.58,7.39,"7.20 - 7.58",1100,100,31774,100,"2:48pm - <b>7.42</b>","Pointer Telocation Ltd."
"PODD",43.66,43.61,"43.53 - 44.12",200,400,279671,193,"2:59pm - <b>43.63</b>","Insulet Corporation"
"POOL",94.49,94.44,"93.61 - 94.93",200,300,167824,100,"2:59pm - <b>94.47</b>","Pool Corporation"
"POPE",66.97,64.03,"65.33 - 67.80",100,100,816,200,"2:32pm - <b>66.95</b>","Pope Resources"
"POWI",60.46,60.38,"60.30 - 61.06",100,700,43631,100,"2:51pm - <b>60.42</b>","Power Integrations, Inc."
"POWL",38.62,38.44,"38.52 - 39.03",100,100,11992,100,"2:52pm - <b>38.52</b>","Powell Industries, Inc."
"PPBI",26.50,26.47,"26.32 - 26.83",300,200,45456,100,"2:51pm - <b>26.47</b>","Pacific Premier Bancorp Inc"
"PPC",20.98,20.97,"20.89 - 21.22",700,1500,411808,200,"2:59pm - <b>20.98</b>","Pilgrim's Pride Corporation"
"PPH",58.50,58.44,"58.38 - 59.13",2500,2600,149297,100,"2:59pm - <b>58.46</b>","VanEck Vectors Pharmaceutical E"
"PPHM",0.419,0.415,"0.394 - 0.420",3200,1700,864868,100,"2:58pm - <b>0.417</b>","Peregrine Pharmaceuticals Inc."
"PPHMP",23.0800,22.8000,N/A,100,100,7,N/A,"3:21pm - <b>22.9653</b>","Peregrine Pharmaceuticals Inc."
"PPSI",5.43,5.09,N/A,100,100,0,N/A,"3:59pm - <b>5.08</b>","Pioneer Power Solutions, Inc."
"PRAA",33.25,33.23,"33.10 - 33.69",100,200,138029,100,"2:58pm - <b>33.24</b>","PRA Group, Inc."
"PRAH",55.960,55.910,"55.370 - 56.440",100,200,385432,100,"2:59pm - <b>55.935</b>","PRA Health Sciences, Inc."
"PRAN",5.03,5.00,"4.94 - 5.09",100,100,14780,100,"2:39pm - <b>5.00</b>","Prana Biotechnology Ltd"
"PRCP",6.64,6.55,"6.50 - 6.77",100,200,2270,100,"2:42pm - <b>6.60</b>","Perceptron, Inc."
"PRFT",19.750,19.740,"19.215 - 19.970",100,100,90511,100,"2:59pm - <b>19.745</b>","Perficient, Inc."
"PRFZ",104.14,104.08,"104.08 - 104.70",200,200,17715,1150,"2:59pm - <b>104.08</b>","PowerShares FTSE RAFI US 1500 S"
"PRGS",27.87,27.85,"27.75 - 28.01",200,300,55085,100,"2:59pm - <b>27.86</b>","Progress Software Corporation"
"PRGX",4.76,4.73,"4.72 - 4.76",100,100,3294,100,"2:37pm - <b>4.76</b>","PRGX Global, Inc."
"PRIM",20.410,20.380,"20.368 - 20.640",200,100,85018,100,"2:59pm - <b>20.395</b>","Primoris Services Corporation"
"PRKR",4.1200,4.1100,"4.1100 - 4.3000",100,100,28454,100,"2:57pm - <b>4.1101</b>","ParkerVision, Inc."
"PRMW",11.92,11.88,"11.63 - 11.94",200,100,40012,100,"2:59pm - <b>11.90</b>","Primo Water Corporation"
"PROV",19.57,19.31,"19.34 - 19.68",100,200,4251,100,"1:58pm - <b>19.59</b>","Provident Financial Holdings, I"
"PRPH",1.94,1.91,"1.92 - 1.94",4200,1500,778,100,"1:35pm - <b>1.94</b>","ProPhase Labs, Inc."
"PRQR",7.59,7.51,"7.35 - 7.88",100,100,43261,100,"2:59pm - <b>7.52</b>","ProQR Therapeutics N.V."
"PRSC",47.18,47.12,"46.92 - 47.33",200,200,42150,100,"2:59pm - <b>47.12</b>","The Providence Service Corporat"
"PRSS",3.15,3.14,"3.05 - 3.15",1100,100,16058,100,"2:37pm - <b>3.15</b>","CafePress Inc."
"PRTA",62.00,61.85,"61.43 - 62.61",200,100,181010,100,"2:58pm - <b>61.87</b>","Prothena Corporation plc"
"PRTK",13.46,13.45,"13.31 - 13.54",100,100,97071,100,"2:59pm - <b>13.46</b>","Paratek Pharmaceuticals, Inc. "
"PRTO",9.11,8.81,"8.84 - 9.70",100,100,23200,100,"2:58pm - <b>8.96</b>","Proteon Therapeutics, Inc."
"PRTS",3.26,3.25,"3.25 - 3.35",300,1000,46548,100,"2:58pm - <b>3.25</b>","U.S. Auto Parts Network, Inc."
"PRXL",69.84,69.77,"69.51 - 70.48",600,100,257089,100,"2:58pm - <b>69.80</b>","PAREXEL International Corporati"
"PRZM",0.22,0.21,"0.21 - 0.22",4900,2900,16460,100,"2:59pm - <b>0.21</b>","Prism Technologies Group, Inc."
"PSAU",22.90,22.82,"22.89 - 23.19",1500,600,17514,287,"2:35pm - <b>22.89</b>","PowerShares Global Gold & Preci"
"PSC",25.0200,24.9700,"25.0004 - 25.0004",3900,3900,394,394,"2:52pm - <b>25.0004</b>","Principal U.S. Small Cap Index "
