Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"BRKS",13.48,13.47,"13.44 - 13.68",300,400,133680,100,"3:49pm - <b>13.47</b>","Brooks Automation, Inc."
"BSET",24.7500,24.6600,"24.6800 - 24.9700",300,100,23602,133,"3:47pm - <b>24.7279</b>","Bassett Furniture Industries, I"
"BSF",9.0700,9.0100,"9.0001 - 9.1200",600,100,16124,100,"3:30pm - <b>9.0799</b>","Bear State Financial, Inc."
"BSFT",46.36,46.32,"46.15 - 47.00",100,200,94851,100,"3:49pm - <b>46.34</b>","BroadSoft, Inc."
"BSPM",3.9000,3.8700,"3.6100 - 3.9100",400,500,176133,439,"3:48pm - <b>3.8814</b>","Biostar Pharmaceuticals, Inc."
"BSQR",4.7000,4.6800,"4.6760 - 4.7900",600,100,28151,100,"3:47pm - <b>4.6955</b>","BSQUARE Corporation"
"BSRR",18.11,18.01,"18.01 - 18.54",100,100,12619,100,"3:49pm - <b>18.01</b>","Sierra Bancorp"
"BSTC",45.5400,45.2900,"44.8000 - 47.4700",300,100,92599,300,"3:43pm - <b>45.4999</b>","BioSpecifics Technologies Corp"
"BSTG",1.09,1.08,"1.05 - 1.09",100,300,27389,300,"3:40pm - <b>1.08</b>","Biostage, Inc."
"BTEC",26.85,26.79,N/A,2700,2800,0,N/A,"12:06pm - <b>26.41</b>","Principal Healthcare Innovators"
"BUFF",23.29,23.28,"23.21 - 23.96",2300,1600,1787356,100,"3:49pm - <b>23.29</b>","Blue Buffalo Pet Products, Inc."
"BUR",2.30,2.20,"2.20 - 2.30",900,900,8599,100,"3:46pm - <b>2.20</b>","Burcon NutraScience Corp"
"BUSE",22.73,22.72,"22.72 - 23.15",100,1200,26132,100,"3:49pm - <b>22.72</b>","First Busey Corporation"
"BV",5.46,5.45,"5.37 - 5.51",2000,1400,1057029,100,"3:49pm - <b>5.45</b>","Bazaarvoice, Inc."
"BVSN",5.2700,4.9900,"4.9901 - 4.9901",400,100,228,210,"3:07pm - <b>4.9901</b>","BroadVision, Inc."
"BVXV",3.84,3.61,N/A,300,300,0,N/A,"12:22pm - <b>3.68</b>","BiondVax Pharmaceuticals Ltd."
"BVXVW",0.60,0.38,N/A,4300,5200,0,N/A,"3:16pm - <b>0.59</b>","BiondVax Pharmaceuticals Ltd."
"BWEN",4.33,4.26,"4.22 - 4.37",200,200,12723,100,"3:45pm - <b>4.33</b>","Broadwind Energy, Inc."
"BWFG",23.53,23.25,"23.27 - 23.53",300,300,28333,100,"3:41pm - <b>23.27</b>","Bankwell Financial Group, Inc."
"BWINA",25.0000,24.1000,"24.5291 - 24.5291",1300,200,241,240,"2:40pm - <b>24.5291</b>","Baldwin & Lyons, Inc."
"BWINB",25.76,25.64,"25.65 - 26.01",300,200,6387,100,"3:48pm - <b>25.73</b>","Baldwin & Lyons, Inc."
"BWLD",152.53,152.43,"151.79 - 154.24",200,100,212693,100,"3:48pm - <b>152.45</b>","Buffalo Wild Wings, Inc."
"BYBK",5.5100,5.4700,"5.4400 - 5.5300",100,100,10950,100,"3:25pm - <b>5.4701</b>","Bay Bancorp, Inc."
"BYFC",1.76,1.69,"1.68 - 1.79",100,300,9623,100,"3:39pm - <b>1.77</b>","Broadway Financial Corporation"
"BZUN",15.04,15.00,"14.55 - 15.28",200,200,230258,100,"3:48pm - <b>15.02</b>","Baozun Inc."
"CA",32.48,32.47,"32.34 - 32.54",4700,1700,1267025,100,"3:49pm - <b>32.47</b>","CA Inc."
