Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"RFEM",56.6800,56.5300,"56.5494 - 56.7000",4000,500,883,130,"2:52pm - <b>56.5494</b>","First Trust RiverFront Dynamic "
"RFEU",51.70,51.62,"51.47 - 51.47",500,100,135,100,"9:45am - <b>51.47</b>","First Trust RiverFront Dynamic "
"RFIL",1.80,1.74,"1.71 - 1.80",1800,200,7637,100,"2:41pm - <b>1.80</b>","RF Industries, Ltd."
"RGCO",24.00,23.52,"24.49 - 24.49",900,100,199,100,"12:36pm - <b>24.49</b>","RGC Resources Inc."
"RGEN",30.90,30.88,"30.76 - 31.99",200,200,176586,100,"2:52pm - <b>30.88</b>","Repligen Corporation"
"RGLD",80.3200,80.2400,"80.0700 - 82.8200",100,100,271083,100,"2:52pm - <b>80.2785</b>","Royal Gold, Inc."
"RGLS",3.42,3.41,"3.35 - 3.42",1000,700,164647,100,"2:50pm - <b>3.42</b>","Regulus Therapeutics Inc."
"RGNX",14.66,14.64,"14.29 - 14.77",100,800,132156,100,"2:50pm - <b>14.64</b>","REGENXBIO Inc."
"RGSE",2.4800,2.4500,"2.0300 - 2.5800",100,1900,3100656,100,"2:52pm - <b>2.4712</b>","Real Goods Solar, Inc."
"RIBT",1.4900,1.4000,"1.2800 - 1.4378",200,200,4397,250,"2:52pm - <b>1.4378</b>","RiceBran Technologies"
"RIBTW",0.35,0.20,N/A,20000,4500,0,N/A,"11:32am - <b>0.32</b>","RiceBran Technologies"
"RICK",11.49,11.48,"11.44 - 11.55",100,800,28632,100,"2:52pm - <b>11.49</b>","RCI Hospitality Holdings, Inc."
"RIGL",3.42,3.41,"3.35 - 3.46",900,1600,478348,100,"2:52pm - <b>3.41</b>","Rigel Pharmaceuticals, Inc."
"RILY",13.10,12.93,"13.00 - 13.20",200,200,22593,100,"2:38pm - <b>13.00</b>","B. RILEY FINANCIAL"
"RKDA",2.05,2.00,"2.00 - 2.08",100,5000,8849,100,"2:48pm - <b>2.00</b>","Arcadia Biosciences, Inc."
"RLJE",2.2200,2.1800,"2.1987 - 2.1987",100,100,1047,1000,"10:12am - <b>2.1987</b>","RLJ Entertainment, Inc."
"RLOG",0.82,0.80,"0.78 - 0.81",100,900,2082,100,"2:25pm - <b>0.81</b>","Rand Logistics, Inc."
"RMBS",12.43,12.42,"12.35 - 12.54",900,500,312535,100,"2:52pm - <b>12.42</b>","Rambus, Inc."
"RMCF",10.3500,10.2800,"10.2400 - 10.3500",200,200,1510,200,"2:47pm - <b>10.2801</b>","Rocky Mountain Chocolate Factor"
"RMGN",0.87,0.81,"0.83 - 0.90",9200,20000,10506,100,"1:20pm - <b>0.90</b>","RMG Networks Holding Corporatio"
"RMR",40.10,39.97,"39.77 - 40.67",200,100,26866,100,"2:47pm - <b>40.10</b>","The RMR Group Inc."
"RMTI",6.41,6.40,"6.40 - 6.74",400,700,224705,200,"2:52pm - <b>6.41</b>","Rockwell Medical, Inc."
"RNDB",13.25,13.08,"13.03 - 13.25",700,100,10208,100,"2:48pm - <b>13.25</b>","Randolph Bancorp, Inc."
"RNET",13.47,13.41,"13.43 - 14.21",100,100,15101,100,"2:44pm - <b>13.46</b>","RigNet, Inc."
"RNST",32.96,32.92,"32.78 - 33.42",500,500,73238,100,"2:51pm - <b>32.92</b>","Renasant Corporation"
