Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"VWOB",81.28,81.21,"81.17 - 81.47",200,100,81469,100,"3:49pm - <b>81.27</b>","Vanguard Emerging Markets Gover"
"VWR",28.16,28.15,"27.51 - 28.31",700,400,291313,100,"3:49pm - <b>28.15</b>","VWR Corporation"
"VXUS",46.79,46.78,"46.76 - 46.94",2100,300,439514,100,"3:49pm - <b>46.78</b>","Vanguard Total International St"
"VYGR",13.94,13.75,"13.75 - 14.11",200,300,21815,100,"3:48pm - <b>13.75</b>","Voyager Therapeutics, Inc."
"VYMI",55.85,55.80,"55.76 - 55.99",500,100,11649,100,"3:45pm - <b>55.80</b>","Vanguard International High Div"
"WABC",48.90,48.85,"48.74 - 50.09",100,400,43414,100,"3:48pm - <b>48.85</b>","Westamerica Bancorporation"
"WAFD",26.35,26.34,"26.34 - 26.69",500,800,96067,174,"3:49pm - <b>26.34</b>","Washington Federal, Inc."
"WAFDW",9.94,8.71,N/A,4500,200,0,N/A,"1:03pm - <b>9.17</b>","Washington Federal, Inc."
"WASH",41.08,40.99,"40.83 - 41.61",300,300,41838,100,"3:49pm - <b>41.00</b>","Washington Trust Bancorp, Inc."
"WATT",18.300,18.270,"18.150 - 18.820",100,200,348950,100,"3:49pm - <b>18.355</b>","Energous Corporation"
"WAYN",13.64,13.45,"13.45 - 13.55",100,1100,56589,864,"3:28pm - <b>13.45</b>","Wayne Savings Bancshares Inc."
"WB",48.990,48.960,"47.640 - 49.215",300,200,836071,100,"3:49pm - <b>48.975</b>","Weibo Corporation"
"WBA",80.70,80.69,"80.56 - 81.90",200,1200,1974769,100,"3:49pm - <b>80.70</b>","Walgreens Boots Alliance, Inc."
"WBB",19.5400,19.2100,"19.2001 - 19.2001",100,100,328,200,"11:44am - <b>19.2001</b>","Westbury Bancorp, Inc."
"WBKC",27.0000,26.7000,"26.7000 - 26.9504",100,200,1766,421,"2:18pm - <b>26.9504</b>","Wolverine Bancorp, Inc."
"WBMD",50.45,50.44,"49.01 - 50.55",400,200,203518,100,"3:49pm - <b>50.45</b>","WebMD Health Corp"
"WCFB",8.30,8.26,"8.26 - 8.51",100,200,11866,1000,"3:45pm - <b>8.26</b>","WEBSTER CITY FED BCP"
"WDC",57.07,57.06,"55.50 - 57.70",700,400,5162907,100,"3:49pm - <b>57.07</b>","Western Digital Corporation"
"WDFC",116.46,116.30,"115.67 - 116.99",100,200,38160,100,"3:49pm - <b>116.39</b>","WD-40 Company"
"WEB",17.69,17.68,"17.62 - 17.82",200,200,140897,100,"3:49pm - <b>17.68</b>","Web.com Group, Inc."
"WEBK",22.00,21.63,N/A,500,100,295,N/A,"3:11pm - <b>22.00</b>","Wellesley Bancorp, Inc."
"WEN",10.820,10.810,"10.740 - 10.890",8000,31000,1822869,100,"3:49pm - <b>10.815</b>","Wendy's Company (The)"
"WERN",22.71,22.70,"22.44 - 22.85",1000,200,425487,100,"3:49pm - <b>22.70</b>","Werner Enterprises, Inc."
"WETF",9.660,9.650,"9.590 - 10.094",3700,2900,2922688,100,"3:49pm - <b>9.655</b>","WisdomTree Investments, Inc."
"WEYS",26.55,26.16,"26.16 - 26.71",400,200,10864,100,"3:44pm - <b>26.17</b>","Weyco Group, Inc."
"WFBI",24.56,24.29,"24.08 - 24.66",100,100,2117,100,"1:36pm - <b>24.42</b>","WashingtonFirst Bankshares Inc"
"WFD",7.62,7.58,"7.58 - 7.72",700,200,25441,100,"3:49pm - <b>7.62</b>","Westfield Financial, Inc."
"WFM",28.67,28.66,"28.38 - 28.75",5100,2300,2829163,100,"3:49pm - <b>28.66</b>","Whole Foods Market, Inc."
"WGBS",0.8650,0.8610,"0.8551 - 0.8900",1900,300,67838,200,"3:20pm - <b>0.8614</b>","WaferGen Bio-systems, Inc."
"WHF",11.1000,11.0300,"11.0100 - 11.1600",200,100,16227,210,"3:49pm - <b>11.0411</b>","WhiteHorse Finance, Inc."
"WHFBL",25.6800,25.2300,"25.2300 - 25.5030",1000,200,1550,200,"1:37pm - <b>25.5008</b>","WhiteHorse Finance, Inc."
"WHLM",8.830,7.950,"8.658 - 8.658",200,200,242,150,"3:27pm - <b>8.658</b>","Wilhelmina International, Inc."
"WHLR",1.75,1.74,"1.73 - 1.75",3400,3300,64960,100,"3:49pm - <b>1.75</b>","Wheeler Real Estate Investment "
"WHLRD",25.09,25.01,"24.85 - 25.10",400,100,32895,100,"3:49pm - <b>25.09</b>","Wheeler Real Estate Investment "
"WHLRP",21.90,21.67,"21.50 - 21.75",500,100,22063,1200,"3:27pm - <b>21.75</b>","Wheeler Real Estate Investment "
"WHLRW",0.1000,0.0688,"0.0882 - 0.0941",100,100,4963,300,"2:35pm - <b>0.0882</b>","Wheeler Real Estate Investment "
"WIFI",9.510,9.500,"9.465 - 9.720",400,400,86052,100,"3:48pm - <b>9.505</b>","Boingo Wireless, Inc."
"WILC",5.54,5.34,"5.35 - 5.61",900,900,2985,100,"2:56pm - <b>5.50</b>","G. Willi-Food International,  L"
"WILN",1.51,1.50,"1.50 - 1.54",100,2500,24904,100,"3:49pm - <b>1.51</b>","Wi-LAN Inc"
"WIN",10.17,10.16,"9.88 - 10.24",2200,3800,1319411,100,"3:49pm - <b>10.16</b>","Windstream Holdings, Inc."
"WINA",106.74,104.65,"105.60 - 106.75",500,300,2949,100,"3:47pm - <b>106.75</b>","Winmark Corporation"
"WING",29.61,29.57,"29.44 - 29.73",200,200,90894,200,"3:49pm - <b>29.61</b>","Wingstop Inc."
"WINS",32.9200,30.2800,"30.8300 - 38.7000",100,100,4938,150,"3:28pm - <b>32.9158</b>","Wins Finance Holdings Inc."
"WINT",2.65,2.62,"2.62 - 2.70",800,20000,41676,100,"3:49pm - <b>2.64</b>","Windtree Therapeutics, Inc."
"WIRE",35.28,35.25,"34.34 - 35.53",200,200,48438,100,"3:49pm - <b>35.26</b>","Encore Wire Corporation"
"WIX",43.55,43.53,"43.14 - 43.68",100,400,264704,100,"3:49pm - <b>43.54</b>","Wix.com Ltd."
"WKHS",7.4300,7.4200,"6.9701 - 8.1400",100,100,278168,1000,"3:49pm - <b>7.4697</b>","Workhorse Group, Inc."
"WLB",8.93,8.90,"8.85 - 9.01",300,300,55176,100,"3:49pm - <b>8.90</b>","Westmoreland Coal Company"
"WLDN",18.33,18.30,"17.95 - 18.88",300,100,95877,100,"3:46pm - <b>18.32</b>","Willdan Group, Inc."
"WLFC",22.90,22.79,"22.73 - 23.05",200,100,20032,100,"3:38pm - <b>22.90</b>","Willis Lease Finance Corporatio"
"WLTW",127.94,127.92,"127.29 - 127.94",200,100,270037,100,"3:49pm - <b>127.93</b>","Willis Towers Watson Public Lim"
"WMAR",8.96,8.94,"8.94 - 9.05",800,300,23163,100,"3:48pm - <b>8.95</b>","West Marine, Inc."
"WMGI",23.70,23.69,"23.70 - 24.31",400,300,573570,100,"3:49pm - <b>23.70</b>","Wright Medical Group N.V."
"WMGIZ",1.38,1.35,N/A,100,2300,65,N/A,"1:39pm - <b>1.33</b>","Wright Medical Group N.V."
"WMIH",2.29,2.28,"2.26 - 2.32",1800,3800,516947,100,"3:49pm - <b>2.29</b>","WMI HOLDINGS"
"WOOD",49.890,49.750,"49.815 - 50.260",100,600,15088,301,"3:40pm - <b>49.899</b>","iShares S&P Global Timber & For"
"WOOF",67.49,67.46,"66.82 - 68.41",200,200,352533,100,"3:49pm - <b>67.48</b>","VCA Inc. "
"WPCS",1.29,1.27,"1.26 - 1.30",100,100,12412,1400,"3:05pm - <b>1.27</b>","WPCS International Incorporated"
"WPPGY",115.42,115.36,"115.14 - 115.87",300,700,82614,100,"3:49pm - <b>115.42</b>","WPP plc"
"WPRT",1.400,1.390,"1.380 - 1.440",2000,9500,296330,100,"3:48pm - <b>1.395</b>","Westport Fuel Systems Inc"
"WRLD",47.89,47.78,"47.13 - 48.70",100,100,88216,100,"3:48pm - <b>47.78</b>","World Acceptance Corporation"
"WSBC",32.30,32.28,"32.29 - 32.92",400,600,50570,100,"3:48pm - <b>32.30</b>","WesBanco, Inc."
"WSBF",16.79,16.77,"16.69 - 16.98",200,100,31729,483,"3:49pm - <b>16.77</b>","Waterstone Financial, Inc."
"WSCI",3.68,3.56,"3.35 - 3.60",100,100,33654,100,"2:05pm - <b>3.59</b>","WSI Industries Inc."
"WSFS",36.00,35.99,"35.84 - 36.19",100,400,66091,100,"3:49pm - <b>36.00</b>","WSFS Financial Corporation"
"WSFSL",26.26,26.25,"26.26 - 26.26",300,800,1125,100,"9:43am - <b>26.26</b>","WSFS Financial Corporation"
"WSTC",22.03,22.02,"21.99 - 22.24",500,300,33745,100,"3:49pm - <b>22.03</b>","West Corporation"
"WSTG",17.64,17.48,"17.35 - 17.65",200,100,21445,100,"3:49pm - <b>17.48</b>","Wayside Technology Group, Inc."
"WSTL",0.5813,0.5812,"0.5801 - 0.6080",200,2800,11686,100,"3:49pm - <b>0.5812</b>","Westell Technologies, Inc."
"WTBA",19.95,19.89,"19.88 - 20.30",400,100,3818,100,"3:28pm - <b>19.89</b>","West Bancorporation"
"WTFC",54.52,54.49,"54.41 - 54.99",100,100,89252,100,"3:49pm - <b>54.50</b>","Wintrust Financial Corporation"
"WTFCM",29.8900,29.5000,"29.4200 - 29.7897",100,500,6161,130,"3:36pm - <b>29.7409</b>","Wintrust Financial Corporation"
"WTFCW",32.23,31.56,"31.62 - 31.62",200,600,289,289,"1:23pm - <b>31.62</b>","Wintrust Financial Corporation"
"WVE",33.9600,33.6600,"33.5900 - 37.3000",300,100,197888,100,"3:47pm - <b>33.8099</b>","WAVE Life Sciences Ltd."
"WVFC",12.250,12.000,"12.000 - 12.095",200,300,1150,150,"1:55pm - <b>12.095</b>","WVS Financial Corp."
"WVVI",8.1000,8.0200,"8.0008 - 8.0766",1500,1000,1794,217,"3:49pm - <b>8.0501</b>","Willamette Valley Vineyards, In"
"WVVIP",199999.00,4.40,N/A,200,1000,0,N/A,"12:04pm - <b>4.40</b>","Willamette Valley Vineyards, In"
"WWD",61.190,61.140,"60.520 - 61.550",100,100,91828,100,"3:48pm - <b>61.165</b>","Woodward, Inc."
"WYIG",9.90,9.72,N/A,1000,300,0,N/A,"3:58pm - <b>9.89</b>","JM Global Holding Company"
"WYIGU",9.97,9.95,N/A,1000,200,0,N/A,"11:52am - <b>9.93</b>","JM Global Holding Company"
"WYIGW",0.18,0.14,N/A,6000,100,0,N/A,"10:44am - <b>0.17</b>","JM Global Holding Company"
"WYNN",100.28,100.25,"99.66 - 101.67",100,200,2234181,100,"3:49pm - <b>100.26</b>","Wynn Resorts, Limited"
"XBIT",12.81,12.71,"12.57 - 13.38",200,100,69641,100,"3:49pm - <b>12.80</b>","XBiotech Inc."
"XBKS",2.21,2.20,"2.17 - 2.22",600,300,25018,100,"3:48pm - <b>2.20</b>","Xenith Bankshares, Inc."
"XCOM",0.5975,0.5805,"0.5500 - 0.6458",1000,4000,433332,100,"3:41pm - <b>0.5975</b>","Xtera Communications, Inc."
"XCRA",5.86,5.85,"5.80 - 5.92",500,200,61818,100,"3:49pm - <b>5.86</b>","Xcerra Corporation"
