Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"GAIA",7.65,7.64,"7.64 - 8.01",500,200,21165,100,"3:30pm - <b>7.64</b>","Gaia, Inc."
"GAIN",8.81,8.80,"8.80 - 8.94",500,4100,66156,100,"3:35pm - <b>8.81</b>","Gladstone Investment Corporatio"
"GAINN",25.42,25.37,"25.37 - 25.42",100,700,2000,300,"1:14pm - <b>25.37</b>","Gladstone Investment Corporatio"
"GAINO",25.570,25.500,"25.270 - 25.563",1000,500,1773,273,"12:14pm - <b>25.563</b>","Gladstone Investment Corporatio"
"GAINP",25.0900,25.0500,"25.0300 - 25.0895",300,300,8408,138,"2:46pm - <b>25.0501</b>","Gladstone Investment Corporatio"
"GALE",0.3470,0.3465,"0.3456 - 0.3700",100,3400,2049193,100,"3:36pm - <b>0.3464</b>","Galena Biopharma, Inc."
"GALT",2.48,2.47,"2.33 - 2.70",1000,1100,1425657,100,"3:35pm - <b>2.47</b>","Galectin Therapeutics Inc."
"GALTU",200000.00,0.01,N/A,300,100,0,N/A,"10:30am - <b>4.19</b>","Galectin Therapeutics Inc."
"GALTW",0.60,0.48,"0.40 - 0.64",1000,500,10463,700,"3:27pm - <b>0.50</b>","Galectin Therapeutics Inc."
"GARS",10.23,10.19,"10.15 - 10.34",100,200,47963,100,"3:17pm - <b>10.22</b>","Garrison Capital Inc."
"GASS",3.53,3.50,"3.49 - 3.64",1000,200,31276,100,"3:30pm - <b>3.51</b>","StealthGas, Inc."
"GBCI",28.28,28.27,"28.21 - 28.69",500,300,145675,100,"3:35pm - <b>28.27</b>","Glacier Bancorp, Inc."
"GBDC",18.73,18.71,"18.70 - 18.81",200,100,73509,100,"3:35pm - <b>18.73</b>","Golub Capital BDC, Inc."
"GBLI",30.37,29.41,"29.66 - 30.30",200,100,2354,100,"1:43pm - <b>29.73</b>","Global Indemnity plc"
"GBLIZ",25.88,25.55,"25.56 - 25.88",100,500,10754,155,"3:23pm - <b>25.56</b>","Global Indemnity plc"
"GBNK",17.65,17.56,"17.07 - 18.00",100,100,4480,100,"3:03pm - <b>17.64</b>","Guaranty Bancorp"
"GBSN",2.6000,2.5800,"2.5000 - 2.8800",900,300,480510,200,"3:33pm - <b>2.5927</b>","Great Basin Scientific, Inc."
"GBT",22.12,22.09,"21.81 - 22.53",100,200,150406,300,"3:36pm - <b>22.13</b>","Global Blood Therapeutics, Inc."
"GCBC",16.87,16.70,"16.60 - 16.88",100,400,8050,100,"3:29pm - <b>16.70</b>","Greene County Bancorp, Inc."
"GCVRZ",0.270,0.265,"0.260 - 0.270",2000,2600,16084,600,"3:12pm - <b>0.265</b>","Sanofi"
"GDEN",12.70,12.67,"12.63 - 13.39",800,300,30977,100,"3:24pm - <b>12.69</b>","Golden Entertainment, Inc."
"GEC",4.77,4.74,"4.80 - 4.83",200,600,927,100,"10:25am - <b>4.80</b>","Great Elm Capital Group, Inc. "
"GEMP",11.200,11.070,"10.861 - 11.720",100,100,15340,200,"3:34pm - <b>11.135</b>","Gemphire Therapeutics Inc."
"GENC",11.54,11.39,"11.38 - 11.62",300,200,10093,100,"3:05pm - <b>11.48</b>","Gencor Industries Inc."
"GENE",1.87,1.86,"1.85 - 1.87",6000,100,19056,300,"3:35pm - <b>1.87</b>","Genetic Technologies Ltd"
"GENY",25.00,24.92,"24.90 - 24.90",100,100,400,100,"1:35pm - <b>24.90</b>","Principal Millennials Index ETF"
"GEOS",18.69,18.59,"18.22 - 19.03",200,200,57672,100,"3:33pm - <b>18.61</b>","Geospace Technologies Corporati"
"GERN",2.220,2.210,"2.170 - 2.230",9900,12600,1177028,100,"3:34pm - <b>2.215</b>","Geron Corporation"
"GEVO",0.486,0.486,"0.476 - 0.489",18500,5200,6828482,1000,"3:36pm - <b>0.486</b>","Gevo, Inc."
"GFED",16.24,16.00,"16.00 - 16.23",200,100,1872,100,"1:16pm - <b>16.23</b>","Guaranty Federal Bancshares, In"
"GFN",4.35,4.29,"4.26 - 4.37",1900,100,7430,100,"3:35pm - <b>4.35</b>","General Finance Corporation"
"GFNCP",88.750,88.010,"88.675 - 88.740",200,100,320,170,"2:45pm - <b>88.675</b>","General Finance Corporation"
"GFNSL",25.00,24.99,"24.99 - 25.47",500,800,3435,100,"2:48pm - <b>25.00</b>","General Finance Corporation"
"GGAL",29.94,29.90,"29.66 - 30.25",300,600,113388,100,"3:36pm - <b>29.90</b>","Grupo Financiero Galicia S.A."
"GHDX",29.100,29.080,"28.720 - 29.150",200,100,43580,100,"3:35pm - <b>29.085</b>","Genomic Health, Inc."
"GIFI",9.08,9.03,"8.84 - 9.09",100,100,19809,100,"3:31pm - <b>9.02</b>","Gulf Island Fabrication, Inc."
"GIGA",0.9800,0.9600,"0.9310 - 1.0000",600,1500,41590,1100,"2:47pm - <b>0.9501</b>","Giga-tronics Incorporated"
"GIGM",2.57,2.52,"2.52 - 2.59",1200,200,2806,100,"2:58pm - <b>2.57</b>","GigaMedia Limited"
"GIII",29.33,29.31,"29.30 - 30.18",200,100,372117,100,"3:35pm - <b>29.32</b>","G-III Apparel Group, LTD."
"GILD",80.68,80.67,"79.92 - 81.13",400,300,6727260,100,"3:36pm - <b>80.68</b>","Gilead Sciences, Inc."
"GILT",5.11,5.08,"5.04 - 5.11",100,200,8001,100,"3:34pm - <b>5.10</b>","Gilat Satellite Networks Ltd."
"GK",96.55,96.49,"96.19 - 96.60",200,100,106970,100,"3:36pm - <b>96.50</b>","G&K Services, Inc."
"GLAD",7.97,7.96,"7.94 - 8.03",200,100,40973,100,"3:36pm - <b>7.97</b>","Gladstone Capital Corporation"
"GLADO",25.5300,25.4700,"25.4101 - 25.5400",3300,500,1478,180,"1:49pm - <b>25.4755</b>","Gladstone Capital Corporation"
"GLBL",4.140,4.130,"4.070 - 4.380",2400,1600,1436437,200,"3:36pm - <b>4.135</b>","TerraForm Global, Inc."
"GLBS",0.72,0.70,"0.65 - 0.75",8500,1100,156942,2500,"2:00pm - <b>0.70</b>","Globus Maritime Limited"
"GLBZ",10.40,9.96,"10.30 - 10.30",400,100,1150,1000,"9:30am - <b>10.30</b>","Glen Burnie Bancorp"
"GLDC",12.00,11.99,"11.98 - 12.00",1200,20000,757,100,"1:21pm - <b>12.00</b>","Golden Enterprises, Inc."
"GLDD",3.60,3.59,"3.52 - 3.65",600,800,279371,100,"3:35pm - <b>3.60</b>","Great Lakes Dredge & Dock Corpo"
"GLDI",10.50,10.48,"10.47 - 10.54",3000,200,10694,100,"3:26pm - <b>10.50</b>","Credit Suisse AG"
"GLMD",5.350,5.300,"5.050 - 5.400",100,400,214067,100,"3:36pm - <b>5.325</b>","Galmed Pharmaceuticals Ltd."
"GLNG",20.26,20.25,"20.20 - 20.97",400,200,872293,100,"3:36pm - <b>20.25</b>","Golar LNG Limited"
"GLPG",66.64,66.57,"65.39 - 68.58",100,200,407632,100,"3:35pm - <b>66.65</b>","Galapagos NV"
"GLPI",33.87,33.86,"33.81 - 34.06",900,600,631729,100,"3:36pm - <b>33.87</b>","Gaming and Leisure Properties, "
"GLRE",19.86,19.85,"19.81 - 20.23",400,100,46186,100,"3:36pm - <b>19.86</b>","Greenlight Reinsurance, Ltd."
"GLRI",0.1140,0.1103,"0.1100 - 0.1190",5200,1300,278202,14500,"3:33pm - <b>0.1103</b>","Glori Energy Inc"
"GLUU",2.210,2.200,"2.185 - 2.240",12200,6700,606541,100,"3:34pm - <b>2.205</b>","Glu Mobile Inc."
"GLYC",7.20,7.12,"7.00 - 7.20",400,100,46056,100,"3:36pm - <b>7.18</b>","GlycoMimetics, Inc."
"GMAN",0.87,0.83,"0.82 - 0.91",200,800,12396,100,"3:34pm - <b>0.83</b>","Gordmans Stores, Inc."
"GMLP",19.19,19.15,"19.15 - 19.39",100,200,170047,100,"3:36pm - <b>19.19</b>","Golar LNG Partners LP"
"GNBC",10.84,10.82,"10.67 - 10.87",500,400,31429,100,"3:36pm - <b>10.83</b>","Green Bancorp, Inc."
"GNCA",5.53,5.50,"5.38 - 5.66",400,1500,147853,100,"3:31pm - <b>5.50</b>","Genocea Biosciences, Inc."
"GNCMA",13.39,13.37,"12.83 - 13.44",400,200,45345,100,"3:36pm - <b>13.38</b>","General Communication, Inc."
"GNMA",51.0800,50.9600,"50.9500 - 51.1300",100,100,17950,455,"3:21pm - <b>51.0425</b>","iShares GNMA Bond ETF"
"GNMK",11.65,11.64,"11.44 - 11.82",300,200,141558,100,"3:36pm - <b>11.64</b>","GenMark Diagnostics, Inc."
"GNRX",24.9800,24.7600,"24.8602 - 24.9535",1000,300,2448,155,"2:15pm - <b>24.8602</b>","VanEck Vectors Generic Drugs ET"
"GNTX",17.48,17.47,"17.43 - 17.60",4100,1000,838399,100,"3:36pm - <b>17.47</b>","Gentex Corporation"
"GNVC",0.4951,0.4901,"0.4931 - 0.5300",100,100,30364,100,"3:27pm - <b>0.4952</b>","GenVec, Inc."
"GOGL",4.25,4.22,"4.23 - 4.37",100,300,50289,181,"3:34pm - <b>4.23</b>","Golden Ocean Group Limited"
"GOGO",12.14,12.13,"12.01 - 12.40",1100,400,857197,100,"3:36pm - <b>12.13</b>","Gogo Inc."
"GOLD",101.10,101.03,"100.57 - 102.87",200,100,488824,100,"3:36pm - <b>101.05</b>","Randgold Resources Limited"
"GOOD",19.0300,19.0100,"18.8700 - 19.1300",100,500,94641,250,"3:35pm - <b>19.0299</b>","Gladstone Commercial Corporatio"
"GOODM",25.25,25.11,"25.24 - 25.61",3000,1000,44091,3000,"3:32pm - <b>25.25</b>","Gladstone Commercial Corporatio"
"GOODO",25.30,25.17,"25.15 - 25.36",200,300,7440,1050,"2:54pm - <b>25.34</b>","Gladstone Commercial Corporatio"
"GOODP",25.70,25.40,"25.50 - 25.60",300,100,1250,100,"1:29pm - <b>25.52</b>","Gladstone Commercial Corporatio"
"GOOG",774.73,774.49,"773.07 - 782.74",100,100,1129457,100,"3:36pm - <b>774.66</b>","Alphabet Inc."
"GOOGL",803.17,802.84,"800.45 - 810.08",100,100,1126855,100,"3:36pm - <b>803.00</b>","Alphabet Inc."
"GOV",23.66,23.64,"23.62 - 23.90",400,900,205066,100,"3:35pm - <b>23.64</b>","Government Properties Income Tr"
"GOVNI",25.69,25.68,"25.56 - 25.83",200,600,74176,100,"3:29pm - <b>25.69</b>","Government Properties Income Tr"
"GPAC",9.88,9.82,"9.80 - 9.80",1000,100,237,110,"10:42am - <b>9.80</b>","Global Partner Acquisition Corp"
"GPACU",10.20,9.90,N/A,1000,1000,0,N/A,"1:33pm - <b>10.05</b>","Global Partner Acquisition Corp"
"GPACW",200000.00,0.08,N/A,100,6000,0,N/A,"9:59am - <b>0.27</b>","Global Partner Acquisition Corp"
"GPIA",9.90,9.62,N/A,1000,100,0,N/A,"3:03pm - <b>9.80</b>","GP Investments Acquisition Corp"
"GPIAU",10.25,9.87,N/A,200,100,0,N/A,"3:55pm - <b>10.00</b>","GP Investments Acquisition Corp"
"GPIAW",0.68,0.56,N/A,1100,12500,0,N/A,"10:09am - <b>0.67</b>","GP Investments Acquisition Corp"
"GPIC",10.47,10.26,"10.15 - 10.50",100,100,7871,100,"3:29pm - <b>10.47</b>","Gaming Partners International C"
"GPOR",27.710,27.700,"27.200 - 27.960",1400,1300,1554912,100,"3:36pm - <b>27.715</b>","Gulfport Energy Corporation"
