Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"VWOB",81.37,81.21,"81.17 - 81.47",100,100,82069,100,"3:51pm - <b>81.27</b>","Vanguard Emerging Markets Gover"
"VWR",28.15,28.14,"27.51 - 28.31",800,100,301371,100,"3:52pm - <b>28.14</b>","VWR Corporation"
"VXUS",46.7900,46.7800,"46.7600 - 46.9400",300,700,439879,166,"3:51pm - <b>46.7877</b>","Vanguard Total International St"
"VYGR",13.94,13.79,"13.75 - 14.11",300,200,22115,100,"3:51pm - <b>13.79</b>","Voyager Therapeutics, Inc."
"VYMI",55.8500,55.8000,"55.7650 - 55.9899",500,100,11749,100,"3:50pm - <b>55.8349</b>","Vanguard International High Div"
"WABC",48.86,48.78,"48.74 - 50.09",200,200,46827,100,"3:52pm - <b>48.79</b>","Westamerica Bancorporation"
"WAFD",26.33,26.32,"26.32 - 26.69",500,500,101850,100,"3:52pm - <b>26.32</b>","Washington Federal, Inc."
"WAFDW",9.94,8.71,N/A,4500,200,0,N/A,"1:03pm - <b>9.17</b>","Washington Federal, Inc."
"WASH",41.07,40.99,"40.83 - 41.61",300,200,42476,100,"3:52pm - <b>41.00</b>","Washington Trust Bancorp, Inc."
"WATT",18.41,18.38,"18.15 - 18.82",300,100,354546,100,"3:52pm - <b>18.40</b>","Energous Corporation"
"WAYN",13.64,13.45,"13.45 - 13.55",100,1100,56589,864,"3:28pm - <b>13.45</b>","Wayne Savings Bancshares Inc."
"WB",48.90,48.88,"47.64 - 49.22",200,100,847931,100,"3:52pm - <b>48.89</b>","Weibo Corporation"
"WBA",80.67,80.66,"80.56 - 81.90",300,1300,2009113,100,"3:52pm - <b>80.67</b>","Walgreens Boots Alliance, Inc."
"WBB",19.5400,19.2100,"19.2001 - 19.2001",200,100,328,200,"11:44am - <b>19.2001</b>","Westbury Bancorp, Inc."
"WBKC",27.0000,26.7000,"26.7000 - 26.9504",100,200,1766,421,"2:18pm - <b>26.9504</b>","Wolverine Bancorp, Inc."
"WBMD",50.45,50.44,"49.01 - 50.55",100,100,211414,100,"3:52pm - <b>50.45</b>","WebMD Health Corp"
"WCFB",8.39,8.26,"8.26 - 8.51",100,200,11866,1000,"3:45pm - <b>8.26</b>","WEBSTER CITY FED BCP"
"WDC",57.08,57.07,"55.50 - 57.70",1700,400,5237311,100,"3:52pm - <b>57.07</b>","Western Digital Corporation"
"WDFC",116.21,116.13,"115.67 - 116.99",100,100,40073,100,"3:52pm - <b>116.13</b>","WD-40 Company"
"WEB",17.71,17.70,"17.62 - 17.82",500,100,150450,100,"3:52pm - <b>17.71</b>","Web.com Group, Inc."
"WEBK",21.99,21.63,N/A,100,200,295,N/A,"3:11pm - <b>22.00</b>","Wellesley Bancorp, Inc."
"WEN",10.82,10.81,"10.74 - 10.89",17100,25700,1902573,100,"3:52pm - <b>10.81</b>","Wendy's Company (The)"
"WERN",22.730,22.720,"22.440 - 22.850",800,400,445610,100,"3:52pm - <b>22.725</b>","Werner Enterprises, Inc."
"WETF",9.67,9.66,"9.59 - 10.09",1500,3100,3063552,100,"3:52pm - <b>9.67</b>","WisdomTree Investments, Inc."
"WEYS",26.55,26.16,"26.16 - 26.71",500,200,10864,100,"3:44pm - <b>26.17</b>","Weyco Group, Inc."
"WFBI",24.56,24.29,"24.08 - 24.66",200,200,2117,100,"1:36pm - <b>24.42</b>","WashingtonFirst Bankshares Inc"
"WFD",7.62,7.58,"7.58 - 7.72",800,200,25441,100,"3:49pm - <b>7.62</b>","Westfield Financial, Inc."
"WFM",28.67,28.66,"28.38 - 28.75",4100,2000,2862451,100,"3:52pm - <b>28.67</b>","Whole Foods Market, Inc."
"WGBS",0.8650,0.8610,"0.8551 - 0.8900",1900,300,67838,200,"3:20pm - <b>0.8614</b>","WaferGen Bio-systems, Inc."
"WHF",11.1000,11.0300,"11.0100 - 11.1600",200,100,16227,210,"3:49pm - <b>11.0411</b>","WhiteHorse Finance, Inc."
"WHFBL",25.6800,25.2300,"25.2300 - 25.5030",1000,200,1550,200,"1:37pm - <b>25.5008</b>","WhiteHorse Finance, Inc."
"WHLM",8.830,7.950,"8.658 - 8.658",200,200,242,150,"3:27pm - <b>8.658</b>","Wilhelmina International, Inc."
"WHLR",1.75,1.74,"1.73 - 1.75",3200,3300,66537,100,"3:52pm - <b>1.75</b>","Wheeler Real Estate Investment "
"WHLRD",25.09,25.01,"24.85 - 25.10",300,100,33095,100,"3:51pm - <b>25.05</b>","Wheeler Real Estate Investment "
"WHLRP",21.90,21.67,"21.50 - 21.75",500,100,22063,1200,"3:27pm - <b>21.75</b>","Wheeler Real Estate Investment "
"WHLRW",0.1000,0.0926,"0.0882 - 0.0941",100,1100,6563,1100,"3:50pm - <b>0.0926</b>","Wheeler Real Estate Investment "
"WIFI",9.52,9.51,"9.47 - 9.72",100,400,88819,100,"3:52pm - <b>9.52</b>","Boingo Wireless, Inc."
"WILC",5.49,5.34,"5.35 - 5.61",2500,900,2985,100,"2:56pm - <b>5.50</b>","G. Willi-Food International,  L"
"WILN",1.51,1.50,"1.50 - 1.54",100,2800,24904,100,"3:49pm - <b>1.51</b>","Wi-LAN Inc"
"WIN",10.16,10.15,"9.88 - 10.24",5900,2200,1338722,120,"3:52pm - <b>10.15</b>","Windstream Holdings, Inc."
"WINA",106.47,104.65,"105.60 - 106.75",500,300,2949,100,"3:47pm - <b>106.75</b>","Winmark Corporation"
"WING",29.59,29.57,"29.44 - 29.73",200,300,92793,100,"3:51pm - <b>29.59</b>","Wingstop Inc."
"WINS",32.9200,30.2800,"30.8300 - 38.7000",100,100,4938,150,"3:28pm - <b>32.9158</b>","Wins Finance Holdings Inc."
"WINT",2.65,2.62,"2.62 - 2.70",800,16700,57024,300,"3:52pm - <b>2.65</b>","Windtree Therapeutics, Inc."
"WIRE",35.25,35.21,"34.34 - 35.53",200,300,49517,100,"3:52pm - <b>35.25</b>","Encore Wire Corporation"
"WIX",43.72,43.68,"43.14 - 43.70",100,100,271585,100,"3:52pm - <b>43.70</b>","Wix.com Ltd."
"WKHS",7.40,7.37,"6.97 - 8.14",100,300,279173,100,"3:49pm - <b>7.43</b>","Workhorse Group, Inc."
"WLB",8.910,8.880,"8.850 - 9.010",200,500,57806,100,"3:52pm - <b>8.895</b>","Westmoreland Coal Company"
"WLDN",18.290,18.260,"17.950 - 18.880",100,100,103077,2000,"3:51pm - <b>18.278</b>","Willdan Group, Inc."
"WLFC",22.89,22.80,"22.73 - 23.05",300,100,20075,100,"3:38pm - <b>22.90</b>","Willis Lease Finance Corporatio"
"WLTW",128.02,127.98,"127.29 - 128.02",400,300,289287,100,"3:52pm - <b>128.02</b>","Willis Towers Watson Public Lim"
"WMAR",8.96,8.94,"8.94 - 9.05",800,400,23328,100,"3:48pm - <b>8.95</b>","West Marine, Inc."
"WMGI",23.71,23.70,"23.68 - 24.31",400,200,583953,100,"3:52pm - <b>23.71</b>","Wright Medical Group N.V."
"WMGIZ",1.38,1.35,N/A,100,2300,65,N/A,"1:39pm - <b>1.33</b>","Wright Medical Group N.V."
"WMIH",2.290,2.280,"2.260 - 2.315",2200,5300,524597,100,"3:52pm - <b>2.285</b>","WMI HOLDINGS"
"WOOD",49.890,49.750,"49.815 - 50.260",100,600,15088,301,"3:40pm - <b>49.899</b>","iShares S&P Global Timber & For"
"WOOF",67.45,67.43,"66.82 - 68.41",300,100,357797,100,"3:52pm - <b>67.41</b>","VCA Inc. "
"WPCS",1.29,1.27,"1.26 - 1.30",100,200,12412,1400,"3:05pm - <b>1.27</b>","WPCS International Incorporated"
"WPPGY",115.41,115.37,"115.14 - 115.87",400,700,83630,100,"3:52pm - <b>115.40</b>","WPP plc"
"WPRT",1.40,1.39,"1.38 - 1.44",1600,9500,313839,100,"3:51pm - <b>1.40</b>","Westport Fuel Systems Inc"
"WRLD",47.88,47.77,"47.13 - 48.70",300,200,88702,100,"3:51pm - <b>47.77</b>","World Acceptance Corporation"
"WSBC",32.27,32.26,"32.26 - 32.92",400,700,52398,100,"3:52pm - <b>32.26</b>","WesBanco, Inc."
"WSBF",16.74,16.71,"16.69 - 16.98",100,200,33243,100,"3:52pm - <b>16.72</b>","Waterstone Financial, Inc."
"WSCI",3.68,3.56,"3.35 - 3.60",100,100,33654,100,"2:05pm - <b>3.59</b>","WSI Industries Inc."
"WSFS",36.010,35.990,"35.840 - 36.190",100,200,68924,100,"3:51pm - <b>35.995</b>","WSFS Financial Corporation"
"WSFSL",26.26,26.25,"26.26 - 26.26",300,800,1125,100,"9:43am - <b>26.26</b>","WSFS Financial Corporation"
"WSTC",22.03,22.02,"21.99 - 22.24",200,100,35914,100,"3:52pm - <b>22.03</b>","West Corporation"
"WSTG",17.64,17.48,"17.35 - 17.65",200,100,21445,100,"3:49pm - <b>17.48</b>","Wayside Technology Group, Inc."
"WSTL",0.5813,0.5812,"0.5801 - 0.6080",200,2800,11686,100,"3:49pm - <b>0.5812</b>","Westell Technologies, Inc."
"WTBA",19.95,19.89,"19.88 - 20.30",600,200,3829,100,"3:28pm - <b>19.89</b>","West Bancorporation"
"WTFC",54.47,54.44,"54.41 - 54.99",200,100,92160,100,"3:52pm - <b>54.44</b>","Wintrust Financial Corporation"
"WTFCM",29.8900,29.5000,"29.4200 - 29.7897",100,500,6161,130,"3:36pm - <b>29.7409</b>","Wintrust Financial Corporation"
"WTFCW",32.23,31.51,"31.62 - 31.62",200,100,289,289,"1:23pm - <b>31.62</b>","Wintrust Financial Corporation"
"WVE",33.970,33.660,"33.590 - 37.300",200,200,198888,500,"3:52pm - <b>33.816</b>","WAVE Life Sciences Ltd."
"WVFC",12.250,12.000,"12.000 - 12.095",200,300,1150,150,"1:55pm - <b>12.095</b>","WVS Financial Corp."
"WVVI",8.1000,8.0200,"8.0008 - 8.0766",1500,1000,1794,217,"3:49pm - <b>8.0501</b>","Willamette Valley Vineyards, In"
"WVVIP",199999.00,4.40,N/A,200,1000,0,N/A,"12:04pm - <b>4.40</b>","Willamette Valley Vineyards, In"
"WWD",61.17,61.14,"60.52 - 61.55",100,100,104314,100,"3:52pm - <b>61.14</b>","Woodward, Inc."
"WYIG",9.90,9.72,N/A,1000,300,0,N/A,"3:58pm - <b>9.89</b>","JM Global Holding Company"
"WYIGU",9.97,9.95,N/A,1000,200,0,N/A,"11:52am - <b>9.93</b>","JM Global Holding Company"
"WYIGW",0.18,0.14,N/A,6000,100,0,N/A,"10:44am - <b>0.17</b>","JM Global Holding Company"
"WYNN",100.26,100.24,"99.66 - 101.67",100,200,2250121,100,"3:52pm - <b>100.25</b>","Wynn Resorts, Limited"
"XBIT",12.80,12.76,"12.57 - 13.38",300,200,71597,100,"3:52pm - <b>12.80</b>","XBiotech Inc."
"XBKS",2.21,2.19,"2.17 - 2.22",600,300,25818,100,"3:50pm - <b>2.21</b>","Xenith Bankshares, Inc."
"XCOM",0.5975,0.5805,"0.5500 - 0.6458",1000,4000,433332,100,"3:41pm - <b>0.5975</b>","Xtera Communications, Inc."
"XCRA",5.85,5.84,"5.80 - 5.92",300,400,65380,100,"3:52pm - <b>5.85</b>","Xcerra Corporation"
"XELB",4.35,4.21,"4.28 - 4.48",200,100,4763,100,"3:47pm - <b>4.35</b>","XCEL BRANDS, INC."
"XENE",8.22,8.13,"7.89 - 8.21",3600,100,166117,400,"3:50pm - <b>8.15</b>","Xenon Pharmaceuticals Inc."
"XENT",16.04,16.02,"15.38 - 16.24",200,300,240863,100,"3:52pm - <b>16.04</b>","Intersect ENT, Inc."
"XGTI",0.26,0.26,"0.26 - 0.30",4400,32800,676087,300,"3:52pm - <b>0.26</b>","XG Technology, Inc"
"XGTIW",0.89,0.44,"0.44 - 0.46",100,700,1067,200,"1:19pm - <b>0.44</b>","XG Technology, Inc"
"XIV",36.20,36.19,"35.63 - 36.94",23500,2700,17363853,100,"3:52pm - <b>36.19</b>","Credit Suisse AG"
"XLNX",52.620,52.610,"52.510 - 52.985",700,1600,1162313,100,"3:52pm - <b>52.615</b>","Xilinx, Inc."
"XLRN",39.27,39.20,"38.64 - 39.53",500,200,205437,100,"3:51pm - <b>39.20</b>","Acceleron Pharma Inc."
"XNCR",24.72,24.69,"24.55 - 25.14",100,100,63667,100,"3:51pm - <b>24.69</b>","Xencor, Inc."
"XNET",5.27,5.25,"5.25 - 5.31",100,1500,37172,600,"3:51pm - <b>5.25</b>","Xunlei Limited"
"XOMA",0.496,0.496,"0.480 - 0.520",4000,200,1199673,1000,"3:51pm - <b>0.496</b>","XOMA Corporation"
"XONE",14.53,14.51,"14.11 - 14.91",500,100,207976,100,"3:50pm - <b>14.53</b>","The ExOne Company"
"XPLR",2.26,2.25,"2.19 - 2.50",200,400,243073,500,"3:49pm - <b>2.25</b>","Xplore Technologies Corp"
"XRAY",58.850,58.840,"58.570 - 59.095",400,400,1274453,100,"3:52pm - <b>58.835</b>","DENTSPLY SIRONA Inc."
"XRDC",1.87,1.83,"1.82 - 1.88",6500,300,8027,100,"3:00pm - <b>1.83</b>","Crossroads Capital, Inc."
"XTLB",1.0200,0.9700,N/A,300,100,30,N/A,"2:17pm - <b>1.0272</b>","XTL Biopharmaceuticals Ltd."
"XXIA",11.90,11.89,"11.83 - 12.04",900,300,147273,100,"3:52pm - <b>11.89</b>","Ixia"
"YDIV",17.1900,16.9600,"17.0021 - 17.2200",100,100,2160,1000,"3:29pm - <b>17.1899</b>","First Trust International Multi"
"YECO",2.12,2.06,"2.06 - 2.18",200,100,9376,600,"3:20pm - <b>2.07</b>","Yulong Eco-Materials Limited"
"YHOO",42.310,42.300,"41.850 - 42.735",4400,1500,11560268,100,"3:52pm - <b>42.295</b>","Yahoo! Inc."
"YIN",18.850,18.600,"18.161 - 18.775",100,100,51019,100,"3:47pm - <b>18.702</b>","Yintech Investment Holdings Lim"
"YLCO",11.5700,11.5200,"11.5501 - 11.5999",300,100,3031,865,"3:33pm - <b>11.5563</b>","Global X Yieldco Index ETF"
"YNDX",21.39,21.38,"21.27 - 21.74",2900,1100,1035879,100,"3:52pm - <b>21.39</b>","Yandex N.V."
"YOD",1.58,1.55,"1.55 - 1.58",3000,200,13112,100,"3:29pm - <b>1.57</b>","You On Demand Holdings, Inc."
"YORW",30.42,30.36,"30.07 - 30.64",100,100,13832,100,"3:50pm - <b>30.35</b>","The York Water Company"
"YPRO",23.63,23.54,"23.54 - 23.60",2800,2100,1124,400,"3:45pm - <b>23.54</b>","AdvisorShares YieldPro ETF"
"YRCW",12.21,12.20,"12.10 - 12.45",200,400,259921,100,"3:52pm - <b>12.21</b>","YRC Worldwide, Inc."
"YY",53.76,53.73,"52.51 - 53.89",2500,100,938481,100,"3:52pm - <b>53.79</b>","YY Inc."
"Z",35.18,35.16,"34.88 - 35.33",900,3700,377578,100,"3:52pm - <b>35.17</b>","Zillow Group, Inc."
"ZAGG",7.660,7.650,"7.640 - 7.936",900,1100,162114,133,"3:52pm - <b>7.659</b>","ZAGG Inc"
"ZAIS",2.1100,2.0800,"2.0350 - 2.1100",400,100,12152,400,"3:51pm - <b>2.0801</b>","ZAIS Group Holdings, Inc."
"ZBIO",20.2300,20.2000,"19.7100 - 20.4000",800,1100,63616,100,"3:51pm - <b>20.2299</b>","ProShares UltraPro Short NASDAQ"
"ZBRA",68.65,68.60,"68.27 - 69.23",100,100,203382,100,"3:52pm - <b>68.60</b>","Zebra Technologies Corporation"
"ZEUS",21.34,21.29,"20.97 - 21.71",300,200,84735,100,"3:51pm - <b>21.30</b>","Olympic Steel, Inc."
"ZFGN",3.21,3.20,"3.17 - 3.36",1700,10000,126504,100,"3:52pm - <b>3.21</b>","Zafgen, Inc."
"ZG",35.01,35.00,"34.70 - 35.14",300,600,179569,100,"3:52pm - <b>35.01</b>","Zillow Group, Inc."
"ZGNX",10.38,10.37,"10.33 - 10.65",300,800,199324,100,"3:52pm - <b>10.37</b>","Zogenix, Inc."
"ZION",30.07,30.06,"29.80 - 30.60",3100,5000,3189406,200,"3:52pm - <b>30.07</b>","Zions Bancorporation"
"ZIONW",3.85,3.65,"3.65 - 3.73",100,2800,9829,100,"3:23pm - <b>3.65</b>","Zions Bancorporation"
"ZIONZ",2.3400,1.8700,"1.7701 - 2.0000",1000,1000,1316,400,"12:33pm - <b>1.7701</b>","Zions Bancorporation"
"ZIOP",5.47,5.46,"5.45 - 5.78",3500,4800,1107967,600,"3:52pm - <b>5.47</b>","ZIOPHARM Oncology Inc"
"ZIV",42.68,42.65,"42.15 - 42.77",100,600,28410,300,"3:36pm - <b>42.73</b>","Credit Suisse AG"
"ZIXI",4.06,4.05,"4.03 - 4.14",1100,300,102455,100,"3:51pm - <b>4.05</b>","Zix Corporation"
"ZLTQ",39.69,39.66,"39.56 - 40.31",200,100,414380,100,"3:52pm - <b>39.69</b>","ZELTIQ Aesthetics, Inc."
"ZN",1.310,1.300,"1.300 - 1.340",200,1600,29692,100,"3:51pm - <b>1.305</b>","Zion Oil & Gas Inc"
"ZNGA",2.83,2.82,"2.81 - 2.86",66000,109400,12699084,1000,"3:52pm - <b>2.83</b>","Zynga Inc."
"ZNWAA",199999.00,0.01,N/A,200,100,0,N/A,N/A,"Zion Oil & Gas Inc"
"ZSAN",0.82,0.81,"0.75 - 0.82",100,500,16732,100,"3:33pm - <b>0.81</b>","Zosano Pharma Corporation"
"ZUMZ",17.490,17.480,"17.380 - 17.670",300,1300,223806,100,"3:52pm - <b>17.485</b>","Zumiez Inc."
"ZYNE",13.99,13.98,"13.31 - 14.38",100,100,1224859,100,"3:52pm - <b>13.98</b>","Zynerba Pharmaceuticals, Inc."
