Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"CLIR",5.88,5.85,"5.78 - 6.00",200,100,56624,100,"3:05pm - <b>5.95</b>","ClearSign Combustion Corporatio"
"CLLS",25.08,25.00,"24.82 - 25.74",100,1000,69244,200,"3:32pm - <b>25.00</b>","Cellectis S.A."
"CLMS",6.830,6.800,"6.790 - 6.990",300,500,64673,100,"3:35pm - <b>6.815</b>","Calamos Asset Management, Inc."
"CLMT",5.02,5.01,"5.01 - 5.24",200,3000,250312,200,"3:35pm - <b>5.02</b>","Calumet Specialty Products Part"
"CLNE",4.430,4.420,"4.290 - 4.500",6900,2400,1772680,100,"3:36pm - <b>4.425</b>","Clean Energy Fuels Corp."
"CLNT",1.01,1.00,"1.01 - 1.02",800,1700,13849,8600,"3:29pm - <b>1.01</b>","Cleantech Solutions Internation"
"CLRB",2.66,2.65,"2.63 - 2.85",400,11800,118777,100,"3:35pm - <b>2.65</b>","Cellectar Biosciences, Inc."
"CLRBW",0.2900,0.2600,N/A,100,400,26,N/A,"12:47pm - <b>0.2632</b>","Cellectar Biosciences, Inc."
"CLRBZ",0.84,0.41,N/A,6500,100,0,N/A,"4:10pm - <b>0.55</b>","Cellectar Biosciences, Inc."
"CLRO",11.20,11.16,"11.19 - 11.25",100,200,19313,100,"3:20pm - <b>11.19</b>","ClearOne, Inc."
"CLSD",14.990,14.860,"14.100 - 16.790",200,200,174958,500,"3:36pm - <b>14.938</b>","Clearside Biomedical, Inc."
"CLSN",1.240,1.230,"1.230 - 1.280",2900,200,51430,2000,"3:20pm - <b>1.239</b>","Celsion Corporation"
"CLUB",3.19,3.14,"3.15 - 3.20",300,200,5633,100,"3:31pm - <b>3.19</b>","Town Sports International Holdi"
"CLVS",36.70,36.67,"36.06 - 37.49",100,200,2209430,100,"3:36pm - <b>36.69</b>","Clovis Oncology, Inc."
"CLWT",3.01,2.95,"2.90 - 3.09",600,4700,21585,804,"3:36pm - <b>2.95</b>","Euro Tech Holdings Company Limi"
"CMCO",17.36,17.32,"17.20 - 17.49",200,100,16129,100,"3:35pm - <b>17.30</b>","Columbus McKinnon Corporation"
"CMCSA",65.87,65.86,"65.70 - 67.25",1200,900,5671748,100,"3:36pm - <b>65.86</b>","Comcast Corporation"
"CMCT",15.70,15.50,"15.16 - 15.70",200,100,2609,100,"3:29pm - <b>15.70</b>","CIM Commercial Trust Corporatio"
"CME",105.27,105.25,"105.03 - 106.18",300,300,928684,100,"3:36pm - <b>105.27</b>","CME Group Inc."
"CMFN",9.250,9.100,"9.100 - 9.227",200,300,8806,200,"3:22pm - <b>9.163</b>","CM Finance Inc"
"CMLS",0.3185,0.3150,"0.3150 - 0.3380",1200,15000,119537,100,"3:28pm - <b>0.3186</b>","Cumulus Media Inc."
"CMPR",102.54,102.45,"99.61 - 102.63",100,300,111551,100,"3:35pm - <b>102.50</b>","Cimpress N.V"
"CMRX",5.610,5.600,"5.570 - 5.750",1000,600,298652,100,"3:35pm - <b>5.605</b>","Chimerix, Inc."
"CMTL",13.10,13.09,"13.00 - 13.24",500,100,128223,100,"3:36pm - <b>13.09</b>","Comtech Telecommunications Corp"
"CNAT",2.09,2.08,"1.95 - 2.11",200,400,951158,2300,"3:36pm - <b>2.08</b>","Conatus Pharmaceuticals Inc."
"CNBKA",45.55,45.17,"45.50 - 45.55",400,500,233,100,"3:15pm - <b>45.55</b>","Century Bancorp, Inc."
"CNCE",10.39,10.38,"10.05 - 10.50",100,100,70080,100,"3:36pm - <b>10.38</b>","Concert Pharmaceuticals, Inc."
"CNCR",25.71,25.64,"25.53 - 26.11",7900,100,6790,134,"3:02pm - <b>25.61</b>","Loncar Cancer Immunotherapy ETF"
"CNET",1.47,1.45,"1.45 - 1.48",500,9800,6214,100,"3:33pm - <b>1.47</b>","ChinaNet Online Holdings, Inc."
"CNFR",8.03,7.73,"7.60 - 8.02",100,300,15380,100,"3:26pm - <b>8.02</b>","Conifer Holdings, Inc."
"CNIT",0.8679,0.8601,"0.8601 - 0.8700",100,100,12305,100,"2:47pm - <b>0.8679</b>","China Information Technology, I"
"CNMD",39.15,39.12,"39.05 - 39.57",100,100,56580,100,"3:27pm - <b>39.18</b>","CONMED Corporation"
"CNOB",18.1500,18.1100,"18.0500 - 18.5800",100,200,14424,100,"3:24pm - <b>18.0875</b>","ConnectOne Bancorp, Inc."
"CNSL",25.29,25.27,"25.25 - 25.56",100,100,71230,100,"3:35pm - <b>25.29</b>","Consolidated Communications Hol"
"CNTF",2.67,2.62,"2.61 - 2.62",100,700,462,200,"11:59am - <b>2.62</b>","China TechFaith Wireless Commun"
"CNTY",6.81,6.79,"6.64 - 6.80",100,100,18106,100,"3:32pm - <b>6.79</b>","Century Casinos, Inc."
"CNV",5.40,5.39,"5.32 - 5.40",100,100,26070,100,"3:35pm - <b>5.39</b>","Cnova N.V."
"CNXN",25.50,25.40,"25.35 - 25.61",300,200,14721,100,"3:33pm - <b>25.48</b>","PC Connection, Inc."
"CNXR",1.81,1.80,"1.75 - 1.82",900,100,73256,100,"3:35pm - <b>1.79</b>","Connecture, Inc."
"COB",13.70,13.60,"13.36 - 13.75",300,100,2807,100,"3:14pm - <b>13.68</b>","CommunityOne Bancorp"
"COBZ",12.95,12.92,"12.83 - 12.99",500,200,79971,200,"3:35pm - <b>12.94</b>","CoBiz Financial Inc."
"COHR",111.61,111.50,"110.12 - 112.40",200,100,81745,100,"3:36pm - <b>111.51</b>","Coherent, Inc."
"COHU",11.38,11.35,"11.23 - 11.47",200,100,30740,100,"3:33pm - <b>11.38</b>","Cohu, Inc."
"COKE",145.04,144.65,"144.75 - 148.18",100,100,46202,100,"3:35pm - <b>144.85</b>","Coca-Cola Bottling Co. Consolid"
"COLB",32.45,32.44,"32.18 - 32.77",600,100,166005,100,"3:36pm - <b>32.44</b>","Columbia Banking System, Inc."
"COLL",15.94,15.90,"15.05 - 16.04",300,300,244885,100,"3:36pm - <b>15.92</b>","Collegium Pharmaceutical, Inc."
"COLM",55.95,55.93,"55.73 - 57.33",100,300,152216,100,"3:35pm - <b>55.94</b>","Columbia Sportswear Company"
"COMM",30.30,30.29,"30.05 - 30.33",200,1500,585955,100,"3:36pm - <b>30.30</b>","CommScope Holding Company, Inc."
"COMT",31.87,31.80,"31.78 - 32.03",100,100,28083,500,"3:34pm - <b>31.87</b>","iShares Commodities Select Stra"
"CONE",49.67,49.65,"49.03 - 49.85",200,400,410206,100,"3:36pm - <b>49.65</b>","CyrusOne Inc"
"CONN",10.96,10.95,"10.77 - 11.43",4100,200,950267,100,"3:36pm - <b>10.95</b>","Conn's, Inc."
"COOL",3.34,3.30,"3.31 - 3.33",100,1800,2587,500,"12:39pm - <b>3.32</b>","Majesco Entertainment Company"
"CORE",36.4100,36.4000,"35.9600 - 36.5300",500,100,178753,100,"3:36pm - <b>36.4014</b>","Core-Mark Holding Company, Inc."
"CORI",6.01,6.00,"5.96 - 6.01",100,100,14822,100,"3:29pm - <b>6.01</b>","Corium International, Inc."
"CORT",6.53,6.52,"6.45 - 6.72",6300,300,194257,100,"3:36pm - <b>6.52</b>","Corcept Therapeutics Incorporat"
"COSI",0.1666,0.1665,"0.1640 - 0.1803",14600,3500,2111809,100,"3:33pm - <b>0.1665</b>","Cosi, Inc."
"COST",151.43,151.41,"151.01 - 152.28",300,100,1302148,100,"3:36pm - <b>151.41</b>","Costco Wholesale Corporation"
"COVS",2.18,2.12,"2.11 - 2.22",100,400,14495,100,"3:01pm - <b>2.12</b>","Covisint Corporation"
"COWN",3.3600,3.3500,"3.3200 - 3.6000",1300,3600,100308,200,"3:36pm - <b>3.3515</b>","Cowen Group, Inc."
"COWNL",26.74,26.60,"26.60 - 26.68",800,100,3261,919,"2:31pm - <b>26.61</b>","Cowen Group, Inc."
"COYN",0.81,0.81,"0.81 - 0.90",500,1400,20704,100,"3:35pm - <b>0.81</b>","COPSYNC INC"
"COYNW",0.135,0.093,N/A,1000,100,0,N/A,"1:29pm - <b>0.082</b>","COPsync, Inc."
"CPAA",10.25,10.00,N/A,2500,100,0,N/A,"11:13am - <b>10.00</b>","Conyers Park Acquisition Corp."
"CPAAU",10.80,10.60,N/A,200,100,0,N/A,"3:57pm - <b>10.75</b>","Conyers Park Acquisition Corp."
"CPAAW",2.47,1.30,N/A,100,100,0,N/A,"2:43pm - <b>1.25</b>","Conyers Park Acquisition Corp."
"CPAH",2.1500,2.0800,"2.0501 - 2.0501",600,300,600,600,"12:01pm - <b>2.0501</b>","CounterPath Corporation"
"CPHC",10.66,10.31,N/A,500,100,114,N/A,"4:00pm - <b>10.67</b>","Canterbury Park Holding Corpora"
"CPHD",52.70,52.69,"52.50 - 52.86",1000,300,2256896,100,"3:36pm - <b>52.70</b>","CEPHEID"
"CPHR",4.22,3.84,"3.84 - 4.00",200,6600,7611,100,"3:30pm - <b>3.84</b>","Cipher Pharmaceuticals Inc."
"CPIX",4.890,4.750,"4.868 - 4.930",200,100,1302,1000,"12:19pm - <b>4.868</b>","Cumberland Pharmaceuticals Inc."
"CPLA",58.44,58.38,"57.68 - 58.75",100,200,35168,100,"3:36pm - <b>58.43</b>","Capella Education Company"
"CPLP",3.28,3.27,"3.22 - 3.33",800,8800,407056,200,"3:35pm - <b>3.27</b>","Capital Product Partners L.P."
"CPRT",53.78,53.75,"53.50 - 54.03",400,200,466084,100,"3:36pm - <b>53.75</b>","Copart, Inc."
"CPRX",1.19,1.18,"1.16 - 1.24",2200,3800,907351,103,"3:35pm - <b>1.19</b>","Catalyst Pharmaceuticals, Inc."
"CPSH",1.61,1.53,"1.44 - 1.64",100,100,4594,100,"3:35pm - <b>1.56</b>","CPS TECHNOLOGIES CP"
"CPSI",26.03,26.01,"25.67 - 26.20",100,200,76766,100,"3:35pm - <b>26.02</b>","Computer Programs and Systems, "
"CPSS",4.29,4.27,"4.25 - 4.45",100,100,41911,100,"3:35pm - <b>4.27</b>","Consumer Portfolio Services, In"
"CPST",1.36,1.35,"1.33 - 1.39",1300,9300,193597,100,"3:34pm - <b>1.35</b>","Capstone Turbine Corporation"
"CPTA",13.110,13.100,"12.950 - 13.150",700,1100,191326,100,"3:35pm - <b>13.105</b>","Capitala Finance Corp."
"CRAI",27.17,27.09,"26.79 - 27.30",100,100,18996,100,"3:25pm - <b>27.18</b>","CRA International,Inc."
"CRAY",24.010,24.000,"23.750 - 24.500",300,400,453703,100,"3:36pm - <b>24.002</b>","Cray Inc"
"CRBP",6.35,6.34,"6.20 - 6.70",500,1100,615911,100,"3:36pm - <b>6.35</b>","CORBUS PHARMACEUTICA"
"CRDS",4.33,4.20,"4.10 - 4.33",300,400,9805,100,"3:35pm - <b>4.32</b>","Crossroads Systems, Inc."
"CRDT",76.01,75.36,N/A,100,100,76,N/A,"12:07pm - <b>76.05</b>","WisdomTree Strategic Corporate "
"CREE",24.97,24.96,"24.53 - 25.11",600,200,286080,100,"3:36pm - <b>24.96</b>","Cree, Inc."
"CREG",1.9000,1.8700,"1.8200 - 1.9300",500,200,9773,100,"3:35pm - <b>1.8989</b>","China Recycling Energy Corporat"
"CRESY",17.34,17.29,"17.21 - 17.55",100,100,25134,100,"3:33pm - <b>17.34</b>","Cresud S.A.C.I.F. y A."
"CRIS",2.44,2.43,"2.39 - 2.48",2000,1700,306918,200,"3:36pm - <b>2.44</b>","Curis, Inc."
"CRME",3.11,3.09,"3.05 - 3.14",200,3900,101897,100,"3:32pm - <b>3.10</b>","Cardiome Pharma Corporation"
"CRMT",36.12,36.06,"36.07 - 36.82",100,100,23025,100,"3:21pm - <b>36.07</b>","America's Car-Mart, Inc."
"CRNT",2.52,2.51,"2.48 - 2.59",300,800,401267,100,"3:36pm - <b>2.52</b>","Ceragon Networks Ltd."
"CROX",8.250,8.240,"8.230 - 8.560",1400,2100,573495,100,"3:35pm - <b>8.245</b>","Crocs, Inc."
"CRTN",0.7198,0.7000,"0.6600 - 0.7199",600,900,5734,100,"3:29pm - <b>0.7198</b>","Cartesian, Inc."
"CRTO",37.01,37.00,"37.00 - 38.48",100,1300,478748,100,"3:36pm - <b>37.01</b>","Criteo S.A."
"CRUS",51.50,51.48,"50.90 - 52.30",400,200,1027321,100,"3:36pm - <b>51.48</b>","Cirrus Logic, Inc."
"CRVL",39.30,39.23,"38.55 - 40.53",100,100,23798,100,"3:35pm - <b>39.23</b>","CorVel Corp."
"CRVS",16.05,15.88,"15.83 - 16.32",300,300,22501,100,"3:35pm - <b>16.05</b>","Corvus Pharmaceuticals, Inc."
"CRWS",9.78,9.71,"9.55 - 9.78",200,800,4017,100,"3:17pm - <b>9.78</b>","Crown Crafts, Inc."
"CRZO",34.72,34.72,"34.00 - 35.59",100,100,1331233,300,"3:36pm - <b>34.73</b>","Carrizo Oil & Gas, Inc."
"CSA",36.5200,36.4400,"36.6192 - 36.6192",2000,100,380,333,"9:42am - <b>36.6192</b>","Victory CEMP US Small Cap Volat"
"CSAL",32.57,32.56,"31.82 - 32.71",500,100,3617960,100,"3:36pm - <b>32.56</b>","Communications Sales & Leasing,"
"CSB",36.750,36.670,"36.892 - 36.892",200,300,392,338,"9:42am - <b>36.892</b>","Victory CEMP US Small Cap High "
"CSBK",15.45,15.43,"15.39 - 15.48",300,100,15967,100,"3:35pm - <b>15.44</b>","Clifton Bancorp Inc."
"CSBR",1.69,1.68,"1.66 - 1.70",8000,200,19059,100,"3:36pm - <b>1.69</b>","CHAMPIONS ONCOLOGY"
"CSCO",31.09,31.08,"30.79 - 31.16",13300,9600,14896281,100,"3:36pm - <b>31.08</b>","Cisco Systems, Inc."
"CSF",35.63,35.58,"35.69 - 35.71",1100,500,372,100,"12:22pm - <b>35.69</b>","Victory CEMP US Discovery Enhan"
"CSFL",17.51,17.48,"17.45 - 17.74",500,200,33539,100,"3:35pm - <b>17.50</b>","CenterState Banks, Inc."
