Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"HRZN",13.71,13.69,"13.65 - 13.79",700,100,32517,100,"3:30pm - <b>13.69</b>","Horizon Technology Finance Corp"
"HSGX",3.25,3.20,"3.20 - 3.30",100,100,85836,100,"3:32pm - <b>3.24</b>","Histogenics Corporation"
"HSIC",162.71,162.64,"162.34 - 164.37",100,300,202633,100,"3:37pm - <b>162.69</b>","Henry Schein, Inc."
"HSII",18.060,18.010,"18.000 - 18.250",100,100,15036,100,"3:36pm - <b>18.055</b>","Heidrick & Struggles Internatio"
"HSKA",55.00,54.66,"53.92 - 55.72",400,100,106521,100,"3:36pm - <b>55.00</b>","Heska Corporation"
"HSNI",39.13,39.12,"39.03 - 39.93",100,200,89437,100,"3:37pm - <b>39.13</b>","HSN, Inc."
"HSON",1.63,1.61,"1.61 - 1.66",200,100,11403,100,"3:30pm - <b>1.61</b>","Hudson Global, Inc."
"HSTM",26.49,26.42,"26.44 - 26.75",100,100,35363,100,"3:33pm - <b>26.44</b>","HealthStream, Inc."
"HTBI",18.49,18.44,"18.10 - 18.65",200,200,10365,100,"3:28pm - <b>18.47</b>","HomeTrust Bancshares, Inc."
"HTBK",11.13,11.11,"11.13 - 11.30",200,100,20251,100,"3:17pm - <b>11.13</b>","Heritage Commerce Corp"
"HTBX",1.4800,1.4700,"1.4100 - 1.5400",1900,400,1760289,1000,"3:36pm - <b>1.4745</b>","Heat Biologics, Inc."
"HTCH",3.98,3.97,"3.96 - 3.98",91500,51500,1687784,200,"3:37pm - <b>3.97</b>","Hutchinson Technology Incorpora"
"HTGM",2.550,2.420,"2.455 - 2.550",3800,100,9156,100,"3:17pm - <b>2.485</b>","HTG Molecular Diagnostics, Inc."
"HTHT",45.01,44.95,"44.89 - 46.30",300,100,90751,100,"3:37pm - <b>44.95</b>","China Lodging Group, Limited"
"HTLD",18.530,18.520,"18.505 - 18.660",1500,1000,198022,100,"3:36pm - <b>18.525</b>","Heartland Express, Inc."
"HTLF",35.26,35.09,"35.14 - 36.05",100,200,20505,100,"3:35pm - <b>35.14</b>","Heartland Financial USA, Inc."
"HUBG",39.91,39.89,"39.90 - 40.45",100,100,110963,100,"3:37pm - <b>39.90</b>","Hub Group, Inc."
"HURC",28.37,27.61,"27.37 - 28.80",200,100,4104,100,"3:30pm - <b>27.91</b>","Hurco Companies, Inc."
"HURN",59.48,59.40,"59.33 - 60.34",300,100,82242,100,"3:37pm - <b>59.44</b>","Huron Consulting Group Inc."
"HWAY",25.66,25.64,"25.17 - 25.87",100,100,359270,100,"3:37pm - <b>25.65</b>","Healthways, Inc."
"HWBK",14.80,14.40,N/A,100,1000,71,N/A,"3:59pm - <b>14.40</b>","Hawthorn Bancshares, Inc."
"HWCC",5.98,5.90,"5.82 - 5.96",100,100,10072,100,"3:17pm - <b>5.94</b>","Houston Wire & Cable Company"
"HWKN",42.59,42.47,"41.70 - 43.64",300,100,136247,100,"3:36pm - <b>42.48</b>","Hawkins, Inc."
"HYGS",6.14,6.10,"6.10 - 6.18",100,200,30009,100,"3:36pm - <b>6.14</b>","Hydrogenics Corporation"
"HYLS",48.40,48.37,"48.36 - 48.49",600,300,55889,600,"3:36pm - <b>48.40</b>","First Trust High Yield Long/Sho"
"HYND",19.46,19.19,"19.42 - 19.44",100,500,2172,768,"9:30am - <b>19.42</b>","WisdomTree BofA Merrill Lynch H"
"HYXE",51.55,51.50,N/A,500,400,10,N/A,"11:47am - <b>51.85</b>","iShares iBoxx $ High Yield ex O"
"HYZD",23.3000,23.0900,"23.1664 - 23.3291",1000,500,1451,1049,"12:03pm - <b>23.1664</b>","WisdomTree BofA Merrill Lynch H"
"HZNP",18.83,18.82,"18.75 - 19.42",500,1200,1002622,100,"3:37pm - <b>18.83</b>","Horizon Pharma plc"
"IAC",62.2900,62.2700,"61.7200 - 62.4000",100,100,269695,100,"3:37pm - <b>62.2601</b>","IAC/InterActiveCorp"
"IART",85.81,85.77,"85.44 - 86.19",200,200,192286,100,"3:37pm - <b>85.79</b>","Integra LifeSciences Holdings C"
"IBB",294.20,294.16,"293.45 - 297.17",100,200,979616,100,"3:37pm - <b>294.20</b>","iShares Nasdaq Biotechnology In"
"IBCP",16.160,16.150,"16.130 - 16.350",200,100,53983,100,"3:37pm - <b>16.145</b>","Independent Bank Corporation"
"IBKC",65.60,65.58,"65.60 - 66.84",700,200,126865,100,"3:36pm - <b>65.60</b>","IBERIABANK Corporation"
"IBKCO",26.86,26.68,"26.49 - 27.24",100,100,3998,189,"1:42pm - <b>26.49</b>","IBERIABANK Corporation"
"IBKCP",26.90,26.85,"26.67 - 26.90",1200,100,4998,200,"3:18pm - <b>26.90</b>","IBERIABANK Corporation"
"IBKR",35.27,35.25,"35.25 - 36.06",100,500,166276,100,"3:36pm - <b>35.27</b>","Interactive Brokers Group, Inc."
"IBOC",29.56,29.53,"29.51 - 29.96",200,100,44862,100,"3:34pm - <b>29.55</b>","International Bancshares Corpor"
"IBTX",43.08,43.00,"43.00 - 43.68",100,100,11026,100,"3:37pm - <b>43.00</b>","Independent Bank Group, Inc"
"IBUY",27.32,27.21,"28.00 - 28.01",800,700,1404,300,"9:31am - <b>28.00</b>","Amplify Online Retail ETF"
"ICAD",5.23,5.16,"5.02 - 5.30",100,200,22938,100,"3:26pm - <b>5.18</b>","icad inc."
"ICBK",19.86,19.75,"19.61 - 20.56",700,100,52456,100,"3:29pm - <b>19.86</b>","County Bancorp, Inc."
"ICCC",8.2000,8.0200,"7.9900 - 8.1999",100,100,1880,200,"3:02pm - <b>8.1999</b>","ImmuCell Corporation"
"ICFI",44.35,44.28,"44.35 - 44.99",400,200,27710,100,"3:35pm - <b>44.36</b>","ICF International, Inc."
"ICLN",9.230,9.200,"9.179 - 9.260",300,1400,21182,2300,"3:35pm - <b>9.201</b>","iShares S&P Global Clean Energy"
"ICLR",75.99,75.97,"75.19 - 76.63",100,100,206291,100,"3:37pm - <b>75.99</b>","ICON plc"
"ICON",8.090,8.080,"8.070 - 8.330",2100,300,296525,100,"3:37pm - <b>8.085</b>","Iconix Brand Group, Inc."
"ICPT",165.530,165.130,"164.240 - 166.890",100,200,146501,100,"3:36pm - <b>165.385</b>","Intercept Pharmaceuticals, Inc."
"ICUI",125.630,125.500,"125.120 - 126.100",200,100,52268,100,"3:37pm - <b>125.565</b>","ICU Medical, Inc."
"IDCC",77.54,77.50,"75.07 - 78.08",100,100,367561,100,"3:37pm - <b>77.52</b>","InterDigital, Inc."
"IDLB",25.80,25.75,"25.76 - 25.90",100,100,7560,300,"12:59pm - <b>25.88</b>","PowerShares FTSE International "
"IDRA",2.64,2.63,"2.60 - 3.33",3500,6100,5947016,100,"3:36pm - <b>2.64</b>","Idera Pharmaceuticals, Inc."
"IDSA",1.76,1.68,"1.70 - 1.88",100,1000,67901,100,"3:30pm - <b>1.74</b>","Industrial Services of America,"
"IDSY",5.02,4.97,"4.80 - 5.04",2000,400,59190,100,"3:21pm - <b>4.97</b>","I.D. Systems, Inc."
"IDTI",21.770,21.760,"21.341 - 21.880",1800,1900,1629502,100,"3:37pm - <b>21.765</b>","Integrated Device Technology, I"
"IDXG",0.1818,0.1800,"0.1700 - 0.1820",2000,100,10673,1000,"3:21pm - <b>0.1802</b>","Interpace Diagnostics Group, In"
"IDXX",111.17,111.12,"110.86 - 111.69",200,100,136219,100,"3:37pm - <b>111.14</b>","IDEXX Laboratories, Inc."
"IEP",49.91,49.87,"49.58 - 50.70",100,100,197103,100,"3:36pm - <b>49.85</b>","Icahn Enterprises L.P."
"IESC",16.24,16.18,"16.14 - 17.00",200,100,58848,100,"3:36pm - <b>16.21</b>","IES Holdings, Inc."
"IEUS",45.34,45.17,"45.14 - 45.39",600,400,3585,100,"12:05pm - <b>45.30</b>","iShares MSCI Europe Small-Cap E"
"IFEU",37.0300,36.8800,"36.9050 - 36.9872",400,300,1359,130,"12:17pm - <b>36.9837</b>","iShares FTSE EPRA/NAREIT Europe"
"IFGL",29.9900,29.9700,"29.9300 - 30.0300",900,100,41949,400,"3:37pm - <b>29.9796</b>","iShares FTSE EPRA/NAREIT Global"
"IFON",0.52,0.50,"0.50 - 0.53",1100,1000,10171,1200,"3:17pm - <b>0.51</b>","InfoSonics Corp"
"IFV",17.46,17.41,"17.38 - 17.53",7500,200,155655,100,"3:34pm - <b>17.45</b>","First Trust Dorsey Wright Inter"
"IGF",41.45,41.42,"41.40 - 41.62",700,100,96692,400,"3:35pm - <b>41.42</b>","iShares Global Infrastructure E"
"IGLD",13.30,13.16,N/A,400,100,35,N/A,"2:35pm - <b>13.07</b>","Internet Gold Golden Lines Ltd."
"IGOV",100.83,100.66,"100.47 - 100.93",500,200,44819,100,"3:29pm - <b>100.82</b>","iShares S&P/Citigroup Internati"
"III",4.21,4.19,"4.17 - 4.25",400,200,10528,100,"3:37pm - <b>4.19</b>","Information Services Group, Inc"
"IIIN",35.36,35.30,"34.51 - 35.67",100,100,101635,100,"3:37pm - <b>35.31</b>","Insteel Industries, Inc."
"IIJI",9.500,9.300,"9.300 - 9.400",200,100,1386,100,"3:16pm - <b>9.301</b>","Internet Initiative Japan, Inc."
"IILG",16.63,16.62,"16.54 - 16.94",1700,1400,1089181,100,"3:37pm - <b>16.62</b>","Interval Leisure Group, Inc."
"IIN",5.65,5.50,"5.50 - 5.53",100,300,10108,100,"2:52pm - <b>5.51</b>","IntriCon Corporation"
"IIVI",23.40,23.38,"23.03 - 23.71",100,100,242132,100,"3:36pm - <b>23.39</b>","II-VI Incorporated"
"IKGH",0.3649,0.3647,"0.3400 - 0.3800",100,1800,88981,100,"3:34pm - <b>0.3647</b>","Iao Kun Group Holding Company L"
"IKNX",11.00,10.75,N/A,1000,1000,84,N/A,"10:29am - <b>10.76</b>","Ikonics Corporation"
"ILMN",178.64,178.52,"178.24 - 179.71",200,200,390830,100,"3:37pm - <b>178.52</b>","Illumina, Inc."
"IMDZ",7.87,7.80,"7.82 - 8.10",400,400,73758,100,"3:36pm - <b>7.82</b>","Immune Design Corp."
"IMED",25.400,25.340,"25.425 - 25.425",1000,1300,100,100,"10:06am - <b>25.425</b>","PureFunds ETFx HealthTech ETF"
"IMGN",2.760,2.750,"2.730 - 2.840",4300,3300,638544,500,"3:37pm - <b>2.755</b>","ImmunoGen, Inc."
"IMI",1.02,0.99,"0.99 - 1.03",8500,100,1971,100,"3:33pm - <b>1.02</b>","Intermolecular, Inc."
"IMKTA",39.16,39.04,"38.10 - 39.17",200,100,28382,100,"3:32pm - <b>39.05</b>","Ingles Markets, Incorporated"
"IMMR",7.97,7.96,"7.93 - 8.04",700,200,96519,100,"3:37pm - <b>7.96</b>","Immersion Corporation"
"IMMU",3.28,3.27,"3.20 - 3.33",1700,500,509833,100,"3:35pm - <b>3.27</b>","Immunomedics, Inc."
"IMMY",3.80,3.79,"3.77 - 3.93",100,100,27169,200,"3:35pm - <b>3.79</b>","Imprimis Pharmaceuticals, Inc."
"IMNP",0.284,0.284,"0.280 - 0.305",4300,900,5865118,100,"3:36pm - <b>0.284</b>","Immune Pharmaceuticals Inc."
"IMOS",20.00,19.97,"19.91 - 20.19",600,4700,143165,100,"3:37pm - <b>19.97</b>","ChipMOS TECHNOLOGIES (Bermuda) "
"INAP",1.7600,1.7500,"1.7350 - 1.8500",1000,6100,224332,203,"3:37pm - <b>1.7501</b>","Internap Corporation"
"INBK",22.79,22.70,"22.61 - 23.21",100,100,12271,100,"3:34pm - <b>22.79</b>","First Internet Bancorp"
"INCR",44.42,44.40,"43.90 - 45.10",500,100,423970,100,"3:37pm - <b>44.40</b>","INC Research Holdings, Inc."
"INCY",88.84,88.82,"86.96 - 89.04",500,100,775138,100,"3:37pm - <b>88.83</b>","Incyte Corporation"
"INDB",52.83,52.71,"52.66 - 53.13",200,200,120724,100,"3:36pm - <b>52.78</b>","Independent Bank Corp."
"INDY",30.01,30.00,"29.97 - 30.13",4100,200,45911,100,"3:36pm - <b>30.00</b>","iShares S&P India Nifty 50 Inde"
"INFI",1.56,1.55,"1.45 - 1.56",9200,2100,303495,100,"3:37pm - <b>1.56</b>","Infinity Pharmaceuticals, Inc."
"INFN",8.74,8.73,"8.71 - 8.89",6500,10700,764471,100,"3:36pm - <b>8.73</b>","Infinera Corporation"
"INFO",36.30,36.29,"35.94 - 36.51",900,1500,1187635,100,"3:37pm - <b>36.30</b>","METRO ONE TELECOMM"
"INGN",59.52,59.48,"59.21 - 61.04",200,100,164403,100,"3:37pm - <b>59.52</b>","Inogen, Inc"
"ININ",60.15,60.11,"59.95 - 60.18",100,100,143407,100,"3:35pm - <b>60.15</b>","Interactive Intelligence Group,"
"INNL",6.16,6.13,"6.14 - 6.20",300,500,9115,750,"3:28pm - <b>6.16</b>","Innocoll Holdings"
"INO",9.48,9.47,"9.41 - 9.64",1000,200,502610,100,"3:36pm - <b>9.47</b>","Inovio Pharmaceuticals, Inc."
"INOD",2.41,2.39,"2.36 - 2.45",1500,100,28148,200,"3:25pm - <b>2.41</b>","Innodata Inc."
"INOV",14.81,14.79,"14.76 - 15.48",900,400,444301,100,"3:37pm - <b>14.80</b>","Inovalon Holdings, Inc."
"INSM",14.60,14.59,"14.42 - 14.75",500,100,132633,100,"3:37pm - <b>14.59</b>","Insmed, Inc."
"INSY",12.39,12.37,"12.31 - 12.72",300,100,534264,100,"3:36pm - <b>12.38</b>","Insys Therapeutics, Inc."
"INTC",36.72,36.71,"36.60 - 36.94",24400,2500,17057934,600,"3:37pm - <b>36.71</b>","Intel Corporation"
"INTG",27.00,24.27,N/A,200,300,0,N/A,"1:30pm - <b>24.77</b>","The Intergroup Corporation"
"INTL",38.84,38.76,"38.76 - 39.32",200,200,79487,100,"3:37pm - <b>38.80</b>","INTL FCStone Inc."
"INTLL",25.40,25.33,"25.34 - 25.39",3500,3500,2093,122,"3:25pm - <b>25.34</b>","INTL FCStone Inc."
"INTU",108.95,108.93,"108.58 - 109.49",200,300,811817,100,"3:37pm - <b>108.94</b>","Intuit Inc."
"INTX",1.8500,1.8000,"1.7800 - 1.8400",100,2000,14981,500,"3:17pm - <b>1.8001</b>","Intersections, Inc."
"INVA",11.180,11.170,"11.130 - 11.520",100,1200,272061,100,"3:37pm - <b>11.175</b>","INOVA TECHNOLOGY INC"
"INVE",2.41,2.32,"2.31 - 2.65",200,200,39783,100,"3:35pm - <b>2.32</b>","Identiv, Inc."
"INVT",1.650,1.630,"1.570 - 1.690",2500,300,33407,400,"3:23pm - <b>1.631</b>","Inventergy Global, Inc."
"INWK",8.95,8.94,"8.75 - 8.99",300,300,140230,100,"3:36pm - <b>8.94</b>","InnerWorkings, Inc."
"IONS",34.93,34.92,"34.45 - 35.30",500,200,982243,100,"3:37pm - <b>34.92</b>","Ionis Pharmaceuticals, Inc."
"IOSP",58.96,58.86,"58.22 - 59.75",100,100,60105,100,"3:36pm - <b>58.92</b>","Innospec Inc."
"IOTS",2.16,2.04,"1.98 - 2.13",100,100,44071,100,"3:36pm - <b>2.10</b>","Adesto Technologies Corporation"
"IPAR",31.81,31.72,"31.45 - 31.98",100,100,48492,100,"3:31pm - <b>31.75</b>","Inter Parfums, Inc."
"IPAS",1.70,1.69,"1.67 - 1.71",300,8400,168834,100,"3:37pm - <b>1.69</b>","iPass Inc."
"IPCC",82.3200,82.0700,"82.0400 - 83.2200",200,200,12841,100,"3:31pm - <b>82.2798</b>","Infinity Property and Casualty "
"IPCI",2.2100,2.1900,"2.0500 - 2.2500",200,3300,295303,1561,"3:31pm - <b>2.1901</b>","Intellipharmaceutics Internatio"
"IPDN",0.6900,0.6750,"0.6500 - 0.7310",600,1000,24612,100,"3:23pm - <b>0.6705</b>","Professional Diversity Network,"
"IPGP",82.67,82.65,"82.01 - 82.77",100,100,105815,100,"3:36pm - <b>82.65</b>","IPG Photonics Corporation"
"IPHS",37.840,37.800,"37.740 - 38.000",300,100,93110,100,"3:36pm - <b>37.815</b>","Innophos Holdings, Inc."
"IPKW",28.320,28.250,"28.230 - 28.380",2100,600,19187,380,"3:32pm - <b>28.251</b>","PowerShares International BuyBa"
"IPWR",5.21,5.19,"5.19 - 5.25",600,300,5010,100,"2:26pm - <b>5.19</b>","Ideal Power Inc."
"IPXL",25.460,25.450,"25.420 - 26.260",100,100,812445,100,"3:36pm - <b>25.455</b>","Impax Laboratories, Inc."
"IQNT",16.36,16.35,"16.19 - 16.38",700,100,117393,100,"3:37pm - <b>16.35</b>","Inteliquent, Inc."
"IRBT",42.7700,42.7500,"42.3600 - 43.5700",400,200,122873,100,"3:36pm - <b>42.7599</b>","iRobot Corporation"
"IRCP",45.00,43.80,"43.90 - 44.79",400,100,305,100,"3:18pm - <b>44.50</b>","IRSA Propiedades Comerciales S."
"IRDM",7.78,7.77,"7.73 - 7.90",1300,1400,403559,100,"3:37pm - <b>7.77</b>","Iridium Communications Inc"
"IRDMB",292.190,275.000,N/A,200,100,0,N/A,"12:28pm - <b>280.118</b>","Iridium Communications Inc"
"IRG",0.80,0.77,"0.75 - 0.82",100,500,39639,100,"3:27pm - <b>0.77</b>","Ignite Restaurant Group, Inc."
"IRIX",14.32,14.25,"13.97 - 14.58",800,100,15088,100,"3:27pm - <b>14.32</b>","IRIDEX Corporation"
"IRMD",17.30,17.20,"17.05 - 17.40",100,2200,22654,100,"3:33pm - <b>17.26</b>","iRadimed Corporation"
"IROQ",18.62,18.57,"18.56 - 18.68",100,100,34226,100,"3:08pm - <b>18.56</b>","IF Bancorp, Inc."
"IRWD",15.510,15.500,"15.430 - 15.700",1400,1800,818557,100,"3:36pm - <b>15.505</b>","Ironwood Pharmaceuticals, Inc."
"ISBC",11.85,11.84,"11.82 - 12.03",13100,3400,1046159,100,"3:37pm - <b>11.84</b>","Investors Bancorp, Inc."
"ISCA",33.36,33.33,"33.15 - 33.95",100,300,93424,100,"3:37pm - <b>33.33</b>","International Speedway Corporat"
"ISHG",83.32,83.12,"83.12 - 83.32",200,400,4175,542,"2:31pm - <b>83.32</b>","iShares S&P/Citigroup 1-3 Year "
"ISIG",2.490,2.360,"2.251 - 2.355",200,100,548,100,"10:48am - <b>2.355</b>","Insignia Systems, Inc."
"ISIL",21.87,21.86,"21.80 - 21.93",2000,5000,2759799,100,"3:36pm - <b>21.86</b>","Intersil Corporation"
"ISLE",22.860,22.850,"22.659 - 23.020",500,300,330149,100,"3:36pm - <b>22.865</b>","Isle of Capri Casinos, Inc."
"ISM",24.9000,24.7100,N/A,1100,200,0,N/A,"3:00pm - <b>24.8999</b>","SLM Corporation"
"ISNS",3.870,3.850,"3.760 - 3.930",3000,200,138436,1000,"3:33pm - <b>3.858</b>","Image Sensing Systems, Inc."
"ISRG",707.04,706.43,"704.05 - 710.00",100,100,225082,700,"3:36pm - <b>707.17</b>","Intuitive Surgical, Inc."
"ISRL",84.30,82.30,"83.20 - 83.21",600,500,532,200,"11:53am - <b>83.20</b>","Isramco, Inc."
"ISSC",3.14,3.12,"3.14 - 3.15",100,1500,6165,100,"2:38pm - <b>3.14</b>","Innovative Solutions and Suppor"
