Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"AAAP",38.75,38.61,"37.87 - 38.75",200,100,25404,180,"2:48pm - <b>38.75</b>","Advanced Accelerator Applicatio"
"AAL",34.99,34.98,"34.86 - 35.55",1700,300,4956060,100,"2:58pm - <b>34.98</b>","American Airlines Group, Inc."
"AAME",3.42,3.39,"3.31 - 3.43",100,100,3135,100,"2:33pm - <b>3.42</b>","Atlantic American Corporation"
"AAOI",21.120,21.080,"20.850 - 21.600",100,100,321116,200,"2:58pm - <b>21.089</b>","Applied Optoelectronics, Inc."
"AAON",28.17,28.11,"27.87 - 28.42",100,100,51733,100,"2:58pm - <b>28.12</b>","AAON, Inc."
"AAPC",10.45,10.44,"10.44 - 10.44",900,500,500,100,"9:59am - <b>10.44</b>","Atlantic Alliance Partnership C"
"AAPL",112.84,112.83,"111.55 - 113.39",1000,400,21668105,100,"2:58pm - <b>112.84</b>","Apple Inc."
"AAWW",40.21,40.16,"39.76 - 40.53",500,300,124446,100,"2:58pm - <b>40.21</b>","Atlas Air Worldwide Holdings"
"AAXJ",59.91,59.90,"59.87 - 60.21",1000,1200,479707,1000,"2:58pm - <b>59.91</b>","iShares MSCI All Country Asia e"
"ABAC",2.07,2.03,"2.02 - 2.13",100,300,9152,100,"2:35pm - <b>2.12</b>","Aoxin Tianli Group, Inc."
"ABAX",50.92,50.86,"50.81 - 51.63",100,200,47696,100,"2:54pm - <b>50.86</b>","ABAXIS, Inc."
"ABCB",34.99,34.98,"34.90 - 35.49",200,100,48770,100,"2:58pm - <b>34.98</b>","Ameris Bancorp"
"ABCD",5.51,5.50,"5.47 - 5.71",100,200,3913,100,"2:41pm - <b>5.49</b>","Cambium Learning Group, Inc."
"ABCO",43.56,43.53,"42.55 - 43.84",100,100,146930,100,"2:58pm - <b>43.56</b>","The Advisory Board Company"
"ABDC",13.16,13.12,"13.09 - 13.21",100,100,66908,100,"2:55pm - <b>13.15</b>","Alcentra Capital Corp."
"ABEO",6.09,6.08,"6.04 - 6.37",300,600,213465,100,"2:58pm - <b>6.08</b>","Abeona Therapeutics Inc."
