Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"PERY",19.50,19.45,"19.44 - 19.84",200,100,25786,100,"3:05pm - <b>19.48</b>","Perry Ellis International Inc."
"PESI",4.93,4.89,"4.89 - 5.01",100,2900,2121,100,"3:01pm - <b>4.89</b>","Perma-Fix Environmental Service"
"PETS",20.63,20.59,"20.59 - 20.80",400,100,44038,100,"3:09pm - <b>20.61</b>","PetMed Express, Inc."
"PETX",9.0000,8.9900,"8.9000 - 9.3300",200,100,433767,100,"3:09pm - <b>8.9901</b>","Aratana Therapeutics, Inc."
"PFBC",34.82,34.71,"34.67 - 35.29",100,100,14517,100,"3:06pm - <b>34.76</b>","Preferred Bank"
"PFBI",16.880,16.760,"16.750 - 17.030",100,100,6279,100,"3:06pm - <b>16.815</b>","Premier Financial Bancorp, Inc."
"PFBX",11.46,10.56,N/A,100,2000,0,N/A,"3:37pm - <b>10.94</b>","Peoples Financial Corporation"
"PFIE",1.24,1.22,"1.18 - 1.26",200,100,15603,100,"3:03pm - <b>1.22</b>","Profire Energy, Inc."
"PFIN",8.43,8.25,"8.25 - 8.47",100,200,2922,100,"2:32pm - <b>8.25</b>","P & F Industries, Inc."
"PFIS",40.25,39.52,"39.44 - 40.18",200,100,650,100,"2:12pm - <b>39.99</b>","Peoples Financial Services Corp"
"PFLT",13.10,13.09,"13.07 - 13.17",1300,400,69699,500,"3:07pm - <b>13.10</b>","PennantPark Floating Rate Capit"
"PFMT",2.61,2.56,"2.48 - 2.65",100,100,20579,100,"2:20pm - <b>2.56</b>","Performant Financial Corporatio"
"PFPT",76.46,76.40,"75.85 - 76.95",200,100,236510,100,"3:07pm - <b>76.47</b>","Proofpoint, Inc."
"PFSW",9.13,9.10,"9.10 - 9.27",100,300,98334,100,"3:08pm - <b>9.11</b>","PFSweb, Inc."
"PGC",21.980,21.840,"21.070 - 22.120",300,200,50809,100,"3:09pm - <b>21.861</b>","Peapack-Gladstone Financial Cor"
"PGLC",4.430,4.410,"4.400 - 4.520",100,100,73087,750,"3:06pm - <b>4.416</b>","PERSHING GOLD CORPOR"
"PGNX",5.90,5.89,"5.89 - 6.03",1700,1100,450641,100,"3:09pm - <b>5.89</b>","Progenics Pharmaceuticals Inc."
"PGTI",11.06,11.05,"10.96 - 11.20",300,600,189836,100,"3:09pm - <b>11.05</b>","PGT, Inc."
"PHII",19.27,18.46,"18.45 - 19.00",400,300,552,100,"2:56pm - <b>18.45</b>","PHI, Inc."
"PHIIK",18.46,18.37,"18.26 - 18.85",200,100,20278,100,"3:10pm - <b>18.37</b>","PHI, Inc."
"PHMD",1.31,1.30,"1.25 - 1.49",2700,2000,240643,100,"3:05pm - <b>1.31</b>","PhotoMedex, Inc."
"PI",32.27,32.23,"32.01 - 34.50",400,100,415615,100,"3:09pm - <b>32.25</b>","Impinj, Inc."
"PICO",11.54,11.51,"11.51 - 11.70",200,100,32895,100,"3:08pm - <b>11.52</b>","PICO Holdings Inc."
"PIH",6.02,5.97,"5.96 - 5.98",100,1100,4026,100,"2:32pm - <b>5.98</b>","1347 Property Insurance Holding"
"PINC",32.010,32.000,"31.895 - 32.560",300,400,243237,100,"3:09pm - <b>32.005</b>","Premier, Inc."
"PIRS",1.70,1.69,"1.67 - 1.72",800,1100,110254,100,"3:07pm - <b>1.70</b>","Pieris Pharmaceuticals, Inc."
"PKBK",15.60,15.40,"15.39 - 15.56",100,100,1814,100,"2:33pm - <b>15.56</b>","Parke Bancorp, Inc."
"PKOH",38.22,38.08,"36.60 - 38.22",200,100,25783,100,"3:07pm - <b>38.08</b>","Park-Ohio Holdings Corp."
"PLAB",10.31,10.30,"10.26 - 10.53",700,1500,271288,100,"3:09pm - <b>10.30</b>","Photronics, Inc."
