Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"MDIV",19.01,18.98,"18.98 - 19.09",8900,200,173795,100,"3:39pm - <b>19.00</b>","First Trust Multi-Asset Diversi"
"MDLZ",42.76,42.75,"42.65 - 43.01",1800,800,3760546,100,"3:39pm - <b>42.75</b>","Mondelez International, Inc."
"MDM",5.39,5.38,"5.36 - 5.44",1000,1000,22384,100,"3:29pm - <b>5.39</b>","Mountain Province Diamonds Inc."
"MDRX",13.060,13.050,"13.000 - 13.150",5600,3500,1109989,100,"3:39pm - <b>13.055</b>","Allscripts Healthcare Solutions"
"MDSO",55.54,55.50,"55.44 - 56.26",200,100,157415,100,"3:39pm - <b>55.50</b>","Medidata Solutions, Inc."
"MDSY",1.34,1.28,"1.19 - 1.43",500,100,8300,100,"3:03pm - <b>1.20</b>","ModSys International Ltd."
"MDVN",81.43,81.42,"81.42 - 81.45",15800,658700,2737790,300,"3:39pm - <b>81.42</b>","Medivation, Inc."
"MDVX",1.63,1.62,"1.60 - 1.74",200,2800,38620,100,"3:36pm - <b>1.62</b>","Medovex Corp."
"MDVXW",0.20,0.07,N/A,200,5000,86,N/A,"4:51pm - <b>0.20</b>","Medovex Corp."
"MDWD",8.30,8.25,"8.04 - 8.48",100,2000,8781,100,"3:29pm - <b>8.21</b>","MediWound Ltd."
"MDXG",8.70,8.69,"8.62 - 8.89",1500,1500,557840,200,"3:39pm - <b>8.69</b>","MiMedx Group, Inc"
"MEDP",28.94,28.93,"28.91 - 30.05",100,100,159348,100,"3:39pm - <b>29.00</b>","Medpace Holdings, Inc."
"MEET",5.840,5.830,"5.710 - 5.860",3900,1900,815347,100,"3:39pm - <b>5.835</b>","MeetMe, Inc."
"MEIP",1.74,1.72,"1.70 - 1.76",21000,3000,119058,100,"3:37pm - <b>1.74</b>","MEI Pharma, Inc."
"MELI",186.67,186.55,"184.59 - 188.03",300,100,219967,100,"3:37pm - <b>186.58</b>","MercadoLibre, Inc."
"MELR",15.12,15.11,"15.08 - 15.24",300,100,10222,100,"3:29pm - <b>15.12</b>","Melrose Bancorp, Inc."
"MEMP",1.60,1.59,"1.55 - 1.66",900,3000,263607,200,"3:39pm - <b>1.60</b>","Memorial Production Partners LP"
"MENT",24.46,24.45,"24.23 - 24.47",1400,700,1037426,100,"3:39pm - <b>24.45</b>","Mentor Graphics Corporation"
"MEOH",30.82,30.81,"30.58 - 31.03",300,100,435017,100,"3:39pm - <b>30.81</b>","Methanex Corporation"
"MERC",8.39,8.38,"8.35 - 8.73",100,100,51388,100,"3:39pm - <b>8.39</b>","Mercer International Inc."
"MESO",4.50,4.49,"4.45 - 4.70",1300,100,25550,100,"3:38pm - <b>4.50</b>","Mesoblast Limited"
"MFIN",4.120,4.110,"4.040 - 4.180",1000,100,86011,100,"3:33pm - <b>4.115</b>","MEDICAL FINANCE INC."
"MFINL",25.10,25.03,"25.06 - 25.39",1000,300,4577,275,"3:36pm - <b>25.06</b>","Medallion Financial Corp."
"MFNC",11.25,11.10,"11.25 - 11.44",200,100,4318,100,"2:28pm - <b>11.25</b>","Mackinac Financial Corporation"
"MFRI",7.90,7.70,"7.60 - 7.84",300,100,1431,100,"1:11pm - <b>7.61</b>","MFRI, Inc."
"MFSF",27.75,27.67,"27.34 - 27.75",200,100,4129,100,"3:28pm - <b>27.75</b>","MutualFirst Financial Inc."
"MGCD",7.30,7.21,"7.20 - 7.30",700,200,886,165,"1:29pm - <b>7.30</b>","MGC Diagnostics Corporation"
"MGEE",59.04,58.96,"58.48 - 59.14",100,200,36923,100,"3:39pm - <b>58.97</b>","MGE Energy Inc."
"MGI",7.08,7.07,"7.05 - 7.14",100,100,18439,100,"3:27pm - <b>7.08</b>","Moneygram International, Inc."
"MGIC",7.350,7.310,"7.295 - 7.390",100,300,16169,100,"3:30pm - <b>7.325</b>","Magic Software Enterprises Ltd."
"MGLN",54.14,54.12,"52.73 - 54.67",100,100,164126,100,"3:39pm - <b>54.14</b>","Magellan Health, Inc."
"MGNX",31.14,31.08,"30.90 - 32.00",100,100,93601,100,"3:39pm - <b>31.10</b>","MacroGenics, Inc."
"MGPI",39.60,39.49,"39.54 - 40.64",200,100,66148,100,"3:36pm - <b>39.58</b>","MGP Ingredients, Inc."
"MGRC",31.46,31.42,"31.31 - 31.86",100,200,46739,100,"3:39pm - <b>31.46</b>","McGrath RentCorp"
"MGYR",10.5900,10.0300,N/A,400,200,0,N/A,"1:37pm - <b>10.3662</b>","Magyar Bancorp, Inc."
"MHGC",2.010,2.000,"1.830 - 2.147",1600,3100,660507,100,"3:38pm - <b>2.005</b>","Morgans Hotel Group Co."
"MHLD",12.71,12.70,"12.70 - 12.93",1500,700,216797,100,"3:39pm - <b>12.70</b>","Maiden Holdings, Ltd."
"MICT",1.6600,1.5900,"1.6133 - 1.6800",200,500,3596,2300,"1:32pm - <b>1.6232</b>","Micronet Enertec Technologies, "
"MICTW",0.1799,0.1251,N/A,100,100,0,N/A,"4:00pm - <b>0.1254</b>","Micronet Enertec Technologies, "
"MIDD",124.3500,124.2600,"122.8800 - 125.0400",100,100,100401,106,"3:39pm - <b>124.2866</b>","The Middleby Corporation"
"MIFI",3.29,3.28,"3.23 - 3.45",2400,200,559347,100,"3:38pm - <b>3.28</b>","Novatel Wireless, Inc."
"MIII",10.44,9.40,N/A,100,5000,0,N/A,N/A,"M III Acquisition Corp."
"MIIIU",9.85,9.75,"9.80 - 9.80",5000,300,1500,100,"1:59pm - <b>9.80</b>","M III Acquisition Corp."
"MIIIW",0.26,0.04,N/A,5000,50600,0,N/A,"3:07pm - <b>0.21</b>","M III Acquisition Corp."
"MIK",24.190,24.180,"24.000 - 24.620",600,300,628458,100,"3:39pm - <b>24.185</b>","The Michaels Companies, Inc."
"MILN",15.900,15.840,"15.837 - 15.960",8000,8000,1799,124,"3:32pm - <b>15.898</b>","Global X Millennials Thematic E"
"MIME",15.88,15.87,"15.86 - 16.44",100,200,71744,100,"3:39pm - <b>15.87</b>","Mimecast Limited"
"MIND",3.27,3.24,"3.20 - 3.29",900,100,9900,100,"3:31pm - <b>3.24</b>","Mitcham Industries, Inc."
"MINDP",23.00,22.75,"23.00 - 23.04",400,500,300,100,"12:53pm - <b>23.00</b>","Mitcham Industries, Inc."
"MINI",29.37,29.35,"28.77 - 29.48",300,600,87909,100,"3:38pm - <b>29.36</b>","Mobile Mini, Inc."
"MIRN",1.9800,1.9300,"1.9200 - 2.0554",400,1500,40393,125,"3:34pm - <b>1.9618</b>","Mirna Therapeutics, Inc."
"MITK",8.06,8.05,"7.98 - 8.10",200,300,167795,100,"3:39pm - <b>8.05</b>","Mitek Systems, Inc."
"MITL",7.22,7.21,"7.14 - 7.30",2500,1400,190756,100,"3:38pm - <b>7.21</b>","Mitel Networks Corporation"
"MKSI",49.21,49.19,"48.60 - 49.62",300,300,162760,100,"3:37pm - <b>49.21</b>","MKS Instruments, Inc."
"MKTX",168.11,168.08,"167.71 - 170.15",100,100,236533,100,"3:39pm - <b>168.11</b>","MarketAxess Holdings, Inc."
"MLAB",113.15,111.72,"112.75 - 115.74",300,100,6024,100,"3:04pm - <b>112.97</b>","Mesa Laboratories, Inc."
"MLHR",29.24,29.23,"28.87 - 29.60",800,500,637538,100,"3:39pm - <b>29.24</b>","Herman Miller, Inc."
"MLNK",1.48,1.47,"1.46 - 1.53",300,2800,21208,100,"3:32pm - <b>1.47</b>","ModusLink Global Solutions, Inc"
"MLNX",42.00,41.96,"41.59 - 42.19",300,100,386665,100,"3:39pm - <b>42.00</b>","Mellanox Technologies, Ltd."
"MLVF",16.54,16.50,"16.50 - 16.55",200,100,972,100,"3:38pm - <b>16.54</b>","Malvern Bancorp, Inc."
"MMAC",18.19,18.13,"18.00 - 18.17",100,100,2848,135,"2:34pm - <b>18.12</b>","MMA Capital Management, LLC"
"MMLP",20.46,20.35,"20.36 - 20.83",100,300,70821,100,"3:38pm - <b>20.45</b>","Martin Midstream Partners L.P."
"MMSI",23.56,23.55,"23.55 - 23.77",100,300,161777,100,"3:37pm - <b>23.56</b>","Merit Medical Systems, Inc."
"MMYT",22.82,22.78,"22.20 - 22.97",200,100,183706,100,"3:39pm - <b>22.82</b>","MakeMyTrip Limited"
"MNDO",2.15,2.14,"2.14 - 2.15",8100,2600,14585,100,"3:31pm - <b>2.15</b>","MIND C.T.I. Ltd."
