Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"KIQ",0.999,0.990,"0.970 - 0.999",500,600,35125,300,"2:39pm - <b>0.979</b>","Kelso Technologies Inc Ordinary"
"KLDX",5.46,5.44,"5.43 - 5.74",1100,1100,204916,100,"3:02pm - <b>5.44</b>","Klondex Mines Ltd. Common Stock"
"LAQ",21.05,20.90,"20.88 - 21.12",800,500,1356,200,"1:36pm - <b>21.10</b>","Aberdeen Latin America Equity F"
"LBY",17.370,17.320,"17.030 - 17.460",100,100,15884,100,"3:01pm - <b>17.345</b>","Libbey, Inc. Common Stock"
"LEI",3.44,3.43,"3.40 - 3.49",100,100,11799,100,"2:27pm - <b>3.45</b>","Lucas Energy, Inc. Common Stock"
"LEU",3.78,3.74,"3.70 - 3.81",500,200,8133,100,"1:58pm - <b>3.79</b>","Centrus Energy Corp. Class A Co"
"LGL",4.25,3.86,N/A,100,100,57,N/A,"3:59pm - <b>4.05</b>","LGL Group, Inc. (The) Common St"
"LIQT",0.810,0.780,"0.790 - 0.808",100,300,1800,100,"10:13am - <b>0.808</b>","LiqTech International, Inc. Com"
"LNG",42.6900,42.6800,"42.5600 - 44.0400",400,300,1030270,500,"3:02pm - <b>42.7999</b>","Cheniere Energy, Inc. Common St"
"LODE",0.3567,0.3564,"0.3560 - 0.3699",100,600,189002,100,"3:02pm - <b>0.3566</b>","Comstock Mining, Inc. Common St"
"LOV",1.65,1.63,"1.63 - 1.69",1100,1600,27629,100,"3:02pm - <b>1.67</b>","Spark Networks, Inc. Common Sto"
"LTS",2.20,2.19,"2.09 - 2.22",400,700,107508,700,"2:47pm - <b>2.20</b>","Ladenburg Thalmann Financial Se"
"LTS-A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"MAB",15.19,15.14,"15.19 - 15.32",100,500,200,100,"10:59am - <b>15.32</b>","Eaton Vance Massachusetts Munic"
"MAG",15.44,15.39,"15.37 - 16.35",600,1300,90686,100,"3:02pm - <b>15.42</b>","MAG Silver Corporation Ordinary"
"MCF",9.03,9.01,"9.00 - 9.34",200,300,53942,100,"3:02pm - <b>9.03</b>","Contango Oil & Gas Company Comm"
"MCZ",0.2200,0.2181,"0.2100 - 0.2305",400,200,114856,1000,"2:57pm - <b>0.2187</b>","Mad Catz Interactive Inc Common"
"MDGN",5.49,5.47,"5.39 - 5.58",200,200,59242,100,"2:59pm - <b>5.51</b>","Medgenics, Inc. Common Stock"
"MGH",0.29,0.28,"0.28 - 0.29",500,7000,126140,2700,"3:00pm - <b>0.28</b>","Minco Gold Corporation Common S"
"MGT",2.110,2.100,"1.970 - 2.280",6900,1200,1189662,100,"3:02pm - <b>2.095</b>","MGT Capital Investments Inc Com"
"MHE",14.740,14.600,"14.628 - 14.628",600,200,896,896,"2:14pm - <b>14.628</b>","BlackRock Massachusetts Tax-Exe"
"MHH",7.75,7.55,"7.61 - 7.75",1500,2000,600,200,"10:40am - <b>7.71</b>","Mastech Digital, Inc Common Sto"
"MIW",15.510,N/A,N/A,800,N/A,0,N/A,"11:44am - <b>15.419</b>","Eaton Vance Michigan Municipal "
"MJCO",4.9700,4.8600,"4.8600 - 5.0000",300,300,3030,766,"3:02pm - <b>4.8601</b>","Majesco Common Stock"
"MLSS",2.00,1.99,"1.98 - 2.11",2900,1000,16462,100,"2:58pm - <b>2.00</b>","Milestone Scientific, Inc. Comm"
"MMV",15.15,N/A,"15.13 - 15.13",900,N/A,384,147,"11:07am - <b>15.13</b>","Eaton Vance Massachusetts Munic"
"MOC",N/A,N/A,"2.80 - 2.82",N/A,N/A,664,100,"10:29am - <b>2.81</b>","Command Security Corporation Co"
"MSN",1.0600,1.0200,"1.0301 - 1.0700",100,500,5485,936,"2:37pm - <b>1.0599</b>","Emerson Radio Corporation Commo"
"MSTX",0.122,0.122,"0.115 - 0.137",6600,16900,22878060,300,"3:02pm - <b>0.122</b>","Mast Therapeutics, Inc. Common "
