Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"KIQ",0.999,0.990,"0.970 - 0.999",500,600,35125,300,"2:39pm - <b>0.979</b>","Kelso Technologies Inc Ordinary"
"KLDX",5.45,5.43,"5.43 - 5.74",1300,1400,203594,200,"2:50pm - <b>5.45</b>","Klondex Mines Ltd. Common Stock"
"LAQ",21.09,20.96,"20.88 - 21.12",300,200,1356,200,"1:36pm - <b>21.10</b>","Aberdeen Latin America Equity F"
"LBY",17.37,17.32,"17.03 - 17.46",100,100,15684,100,"2:51pm - <b>17.38</b>","Libbey, Inc. Common Stock"
"LEI",3.44,3.43,"3.40 - 3.49",100,100,11799,100,"2:27pm - <b>3.45</b>","Lucas Energy, Inc. Common Stock"
"LEU",3.78,3.74,"3.70 - 3.81",500,200,8133,100,"1:58pm - <b>3.79</b>","Centrus Energy Corp. Class A Co"
"LGL",4.25,3.86,N/A,100,100,57,N/A,"3:59pm - <b>4.05</b>","LGL Group, Inc. (The) Common St"
"LIQT",0.810,0.780,"0.790 - 0.808",100,300,1800,100,"10:13am - <b>0.808</b>","LiqTech International, Inc. Com"
"LNG",42.67,42.66,"42.56 - 44.04",400,200,995369,100,"2:51pm - <b>42.70</b>","Cheniere Energy, Inc. Common St"
"LODE",0.3567,0.3564,"0.3560 - 0.3699",100,600,187302,100,"2:43pm - <b>0.3567</b>","Comstock Mining, Inc. Common St"
"LOV",1.65,1.63,"1.63 - 1.69",1100,1600,22017,100,"2:40pm - <b>1.64</b>","Spark Networks, Inc. Common Sto"
"LTS",2.20,2.19,"2.09 - 2.22",400,700,107320,700,"2:47pm - <b>2.20</b>","Ladenburg Thalmann Financial Se"
"LTS-A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"MAB",15.19,15.14,"15.19 - 15.32",100,500,200,100,"10:59am - <b>15.32</b>","Eaton Vance Massachusetts Munic"
