Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"VSLR",2.99,2.98,"2.93 - 3.06",1800,24800,369015,100,"3:06pm - <b>2.99</b>","Vivint Solar, Inc. Common Stock"
"VSTO",39.45,39.43,"39.24 - 39.67",200,300,205877,100,"3:06pm - <b>39.46</b>","Vista Outdoor Inc. Common Stock"
"VTA",11.5800,11.5700,"11.5400 - 11.6200",1000,1100,149444,755,"3:04pm - <b>11.5758</b>","Invesco Credit Opportunities Fu"
"VTN",15.77,15.74,"15.73 - 15.85",800,100,50256,100,"1:50pm - <b>15.74</b>","Invesco Trust for Investment Gr"
"VTR",72.97,72.96,"71.80 - 73.20",300,200,1516166,100,"3:07pm - <b>73.10</b>","Ventas, Inc. Common Stock"
"VTRB",27.46,27.34,"27.23 - 27.47",200,100,3719,100,"2:45pm - <b>27.44</b>","Ventas Realty, Limited Partners"
"VTTI",18.88,18.75,"18.26 - 18.99",100,100,83895,100,"3:02pm - <b>18.78</b>","VTTI Energy Partners LP Common "
"VVC",51.84,51.83,"51.40 - 51.91",100,200,226325,100,"3:07pm - <b>51.85</b>","Vectren Corporation Common Stoc"
"VVI",37.29,37.24,"36.67 - 37.38",200,100,32537,100,"3:05pm - <b>37.24</b>","Viad Corp Common Stock"
"VVR",4.3200,4.3100,"4.3100 - 4.3300",10600,16800,235288,198,"3:07pm - <b>4.3155</b>","Invesco Senior Income Trust Com"
"VVV",23.77,23.72,"23.07 - 23.87",600,500,2275494,100,"3:07pm - <b>23.76</b>","VALVOLINE INC"
"VZ",52.2000,52.1900,"52.0150 - 52.5600",900,1100,7033992,449,"3:08pm - <b>52.2061</b>","Verizon Communications Inc. Com"
"VZA",28.050,27.940,"27.900 - 28.050",1100,200,18680,750,"3:02pm - <b>27.998</b>","Verizon Communications Inc. 5.9"
"W",41.18,41.13,"41.04 - 41.85",100,100,1069632,100,"3:07pm - <b>41.24</b>","Wayfair Inc. Class A Common Sto"
"WAB",78.83,78.80,"76.16 - 79.12",300,500,1442090,100,"3:08pm - <b>78.82</b>","Westinghouse Air Brake Technolo"
"WAC",3.52,3.50,"3.48 - 3.70",800,700,75377,100,"3:07pm - <b>3.52</b>","Walter Investment Management Co"
"WAGE",62.450,62.400,"62.160 - 62.980",100,100,49411,103,"2:56pm - <b>62.405</b>","WageWorks, Inc. Common Stock"
"WAIR",13.50,13.49,"13.26 - 13.59",500,1300,414721,100,"3:08pm - <b>13.51</b>","Wesco Aircraft Holdings, Inc. C"
"WAL",36.73,36.71,"36.65 - 37.17",400,500,682525,148,"3:07pm - <b>36.71</b>","Western Alliance Bancorporation"
"WALA",25.8700,25.6800,"25.6500 - 25.9300",200,400,9099,300,"3:01pm - <b>25.8699</b>","Western Alliance Bancorporation"
"WAT",156.890,156.770,"156.200 - 157.730",100,200,230655,100,"3:07pm - <b>156.895</b>","Waters Corporation Common Stock"
"WBAI",17.32,17.28,"17.28 - 17.84",400,700,126979,100,"3:06pm - <b>17.29</b>","500.com Limited American Deposi"
"WBC",108.06,108.01,"107.74 - 109.12",200,200,254974,100,"3:08pm - <b>108.09</b>","Wabco Holdings Inc. Common Stoc"
"WBK",22.93,22.91,"22.89 - 23.02",300,500,54639,100,"3:06pm - <b>22.93</b>","Westpac Banking Corporation Com"
"WBS",37.63,37.62,"37.49 - 38.23",100,500,433221,100,"3:07pm - <b>37.63</b>","Webster Financial Corporation C"
"WBS-E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"WCC",57.740,57.700,"57.430 - 58.170",100,200,189516,171,"3:07pm - <b>57.764</b>","WESCO International, Inc. Commo"
"WCG",115.17,115.09,"114.35 - 115.71",200,200,140270,100,"3:07pm - <b>115.12</b>","Wellcare Health Plans, Inc. Com"
"WCIC",23.81,23.80,"23.64 - 24.00",100,200,651869,100,"3:06pm - <b>23.81</b>","WCI Communities, Inc. Common St"
"WCN",74.27,74.26,"73.48 - 74.37",200,100,597557,100,"3:07pm - <b>74.25</b>","Waste Connections, Inc. Common "
"WD",25.18,25.16,"25.13 - 26.20",300,200,35264,100,"3:07pm - <b>25.15</b>","Walker & Dunlop, Inc Common Sto"
"WDAY",88.29,88.27,"87.82 - 88.99",200,200,1049390,100,"3:08pm - <b>88.24</b>","Workday, Inc. Common Stock"
"WDR",17.40,17.39,"17.36 - 17.67",400,900,664199,200,"3:07pm - <b>17.41</b>","Waddell & Reed Financial, Inc. "
"WEA",13.37,13.36,"13.36 - 13.41",100,500,14923,100,"2:44pm - <b>13.36</b>","Western Asset Bond Fund Share o"
"WEC",62.79,62.78,"62.51 - 63.07",300,700,994606,100,"3:07pm - <b>62.84</b>","WEC Energy Group, Inc. Common S"
"WES",52.07,52.02,"51.33 - 52.45",200,100,225078,100,"3:07pm - <b>52.12</b>","Western Gas Partners, LP Limite"
"WEX",104.97,104.86,"104.39 - 105.92",100,100,182038,100,"3:07pm - <b>105.00</b>","WEX Inc. common stock"
"WF",30.8500,30.6600,"30.7500 - 31.0100",100,200,2810,400,"2:37pm - <b>30.8144</b>","Woori Bank American Depositary "
"WFC",44.840,44.830,"44.650 - 45.500",6700,1200,23752223,400,"3:08pm - <b>44.826</b>","Wells Fargo & Company Common St"
"WFC-J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"WFC-L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"WFC-N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"WFC-O",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"WFC-P",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"WFC-Q",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"WFC-R",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"WFC-T",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"WFC-V",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"WFC-W",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"WFC-X",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"WFC",44.840,44.830,"44.650 - 45.500",6700,1200,23752223,400,"3:08pm - <b>44.826</b>","Wells Fargo & Company Common St"
"WFE-A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"WFT",5.55,5.54,"5.51 - 5.71",6100,15500,8672432,100,"3:08pm - <b>5.55</b>","Weatherford International plc ("
"WG",1.830,1.820,"1.810 - 1.890",800,200,52669,100,"3:06pm - <b>1.815</b>","Willbros Group, Inc. (DE) Commo"
"WGL",64.79,64.74,"64.66 - 65.09",200,300,90217,100,"3:07pm - <b>64.92</b>","WGL Holdings IncCommon Stock"
"WGO",22.88,22.85,"22.45 - 23.05",200,400,98437,100,"3:06pm - <b>22.86</b>","Winnebago Industries, Inc. Comm"
"WGP",39.77,39.74,"39.71 - 40.85",200,200,196494,100,"3:08pm - <b>39.78</b>","Western Gas Equity Partners, LP"
"WHG",51.23,51.03,"50.81 - 51.80",100,300,7576,100,"3:06pm - <b>51.15</b>","Westwood Holdings Group Inc Com"
"WHR",160.09,160.03,"159.76 - 161.83",200,400,337993,100,"3:07pm - <b>160.61</b>","Whirlpool Corporation Common St"
"WIA",11.48,11.47,"11.46 - 11.49",300,800,42221,100,"3:06pm - <b>11.48</b>","Western Asset/Claymore Inflatio"
"WIT",9.770,9.760,"9.710 - 9.830",3100,5300,800650,100,"3:08pm - <b>9.765</b>","Wipro Limited Common Stock"
"WIW",11.08,11.07,"11.07 - 11.13",900,800,83839,100,"3:07pm - <b>11.07</b>","Western Asset/Claymore Inflatio"
"WK",17.9200,17.8900,"17.8701 - 18.1300",3300,300,28127,200,"3:05pm - <b>17.9198</b>","Workiva Inc. Class A Common Sto"
"WLH",18.76,18.73,"17.31 - 18.92",300,100,811023,100,"3:07pm - <b>18.72</b>","Lyon William Homes Common Stock"
"WLK",49.59,49.57,"49.54 - 50.50",300,400,458006,100,"3:07pm - <b>49.70</b>","Westlake Chemical Corporation C"
"WLKP",22.48,22.35,"22.00 - 22.37",100,200,9972,100,"3:01pm - <b>22.37</b>","Westlake Chemical Partners LP C"
"WLL",7.57,7.56,"7.51 - 7.87",2100,17300,18300245,100,"3:08pm - <b>7.57</b>","Whiting Petroleum Corporation C"
"WM",63.62,63.61,"63.09 - 63.64",300,600,923707,100,"3:07pm - <b>63.62</b>","Waste Management, Inc. Common S"
"WMB",30.47,30.46,"30.34 - 31.04",1100,400,5491349,100,"3:07pm - <b>30.46</b>","Williams Companies, Inc. (The) "
"WMC",10.74,10.73,"10.70 - 10.94",300,600,147432,100,"3:07pm - <b>10.74</b>","Western Asset Mortgage Capital "
"WMK",53.54,53.42,"52.80 - 53.61",100,100,37477,100,"2:48pm - <b>53.45</b>","Weis Markets, Inc. Common Stock"
"WMLP",5.72,5.53,"5.53 - 5.72",100,200,3231,100,"2:41pm - <b>5.71</b>","Westmoreland Resource Partners,"
"WMS",24.50,24.48,"24.11 - 24.59",200,100,96670,100,"3:07pm - <b>24.50</b>","Advanced Drainage Systems, Inc."
"WMT",71.70,71.69,"71.55 - 72.33",700,1800,3362597,100,"3:08pm - <b>71.70</b>","Wal-Mart Stores, Inc. Common St"
"WNC",14.32,14.31,"13.91 - 14.32",1900,1400,881606,100,"3:07pm - <b>14.32</b>","Wabash National Corporation Com"
"WNR",26.13,26.12,"26.08 - 27.68",900,100,2322539,200,"3:07pm - <b>26.11</b>","Western Refining Inc. Western R"
"WNRL",22.740,22.660,"22.420 - 22.850",400,200,180484,100,"3:07pm - <b>22.735</b>","Western Refining Logistics, LP "
"WNS",29.26,29.24,"29.21 - 29.53",300,200,179201,100,"3:07pm - <b>29.27</b>","WNS (Holdings) Limited Sponsore"
"WOR",44.02,44.01,"43.59 - 44.25",200,200,221250,100,"3:07pm - <b>44.03</b>","Worthington Industries, Inc. Co"
"WPC",67.400,67.370,"66.760 - 67.580",100,400,224250,100,"3:07pm - <b>67.408</b>","W.P. Carey Inc. REIT"
"WPG",12.610,12.600,"12.480 - 12.740",1600,1200,789229,100,"3:07pm - <b>12.605</b>","Washington Prime Group Inc. Com"
"WPG-H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"WPG-I",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"WPT",14.96,14.93,"14.91 - 15.08",100,100,13337,100,"2:55pm - <b>14.92</b>","World Point Terminals, LP Commo"
"WPX",11.78,11.77,"11.43 - 11.87",3400,2300,9757512,300,"3:08pm - <b>11.77</b>","WPX Energy, Inc. Common Stock"
"WPXP",56.97,56.56,"55.47 - 56.91",100,100,36756,100,"2:47pm - <b>56.63</b>","WPX Energy, Inc. 6.25% Series A"
"WPZ",38.09,38.07,"37.80 - 38.90",300,300,468150,104,"3:07pm - <b>37.97</b>","Williams Partners, L.P. Common "
"WR",56.8000,56.7800,"56.3200 - 56.9100",200,800,391658,200,"3:07pm - <b>56.8101</b>","Westar Energy, Inc. Common Stoc"
"WRB",57.32,57.31,"57.13 - 57.41",500,100,259472,500,"3:07pm - <b>57.32</b>","W.R. Berkley Corporation Common"
"WRB-B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"WRB-C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"WRB-D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"WRE",31.69,31.68,"31.34 - 31.68",400,300,378384,100,"3:07pm - <b>31.67</b>","Washington Real Estate Investme"
"WRI",40.40,40.39,"40.08 - 40.46",300,300,222722,100,"3:08pm - <b>40.41</b>","Weingarten Realty Investors Com"
"WRK",47.720,47.690,"47.670 - 48.220",700,700,642442,200,"3:08pm - <b>47.705</b>","Westrock Company Common Stock"
"WSM",49.76,49.75,"49.26 - 50.29",400,200,736972,100,"3:08pm - <b>49.87</b>","Williams-Sonoma, Inc. Common St"
"WSO",140.770,140.520,"139.940 - 141.370",200,200,75877,100,"3:07pm - <b>140.585</b>","Watsco, Inc. Common Stock"
"WSO.B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"WSR",14.34,14.32,"14.29 - 14.44",400,500,39502,100,"3:06pm - <b>14.34</b>","Whitestone REIT Common Shares"
"WST",71.68,71.67,"71.23 - 72.12",100,200,323722,100,"3:07pm - <b>71.74</b>","West Pharmaceutical Services, I"
"WTI",1.63,1.62,"1.60 - 1.64",15300,3700,308499,100,"3:08pm - <b>1.62</b>","W&T Offshore, Inc. Common Stock"
"WTM",829.71,825.02,"824.38 - 828.80",100,100,4649,100,"2:56pm - <b>828.50</b>","White Mountains Insurance Group"
"WTR",31.55,31.54,"31.30 - 31.67",700,500,501500,105,"3:07pm - <b>31.55</b>","Aqua America, Inc. Common Stock"
"WTS",63.46,63.43,"62.56 - 63.80",200,100,69185,100,"3:07pm - <b>63.41</b>","Watts Water Technologies, Inc. "
"WTW",10.42,10.41,"10.35 - 10.60",300,1100,290139,100,"3:06pm - <b>10.41</b>","Weight Watchers International I"
"WU",20.300,20.290,"20.180 - 20.470",2000,6600,2110706,100,"3:07pm - <b>20.295</b>","Western Union Company (The) Com"
"WUBA",48.57,48.56,"48.34 - 49.50",200,300,954615,100,"3:08pm - <b>48.60</b>","58.com Inc. American Depositary"
"WWAV",54.86,54.85,"54.29 - 54.91",500,800,3520510,100,"3:07pm - <b>54.85</b>","Whitewave Foods Company (The) C"
"WWE",20.570,20.550,"20.190 - 20.780",300,300,336787,200,"3:08pm - <b>20.555</b>","World Wrestling Entertainment, "
"WWW",22.85,22.83,"22.70 - 23.25",400,600,1201397,100,"3:07pm - <b>22.84</b>","Wolverine World Wide, Inc. Comm"
"WY",31.770,31.760,"31.620 - 32.200",900,1700,1574063,100,"3:07pm - <b>31.765</b>","Weyerhaeuser Company Common Sto"
"WYN",66.99,66.97,"66.86 - 68.22",200,100,1069556,100,"3:08pm - <b>66.99</b>","Wyndham Worldwide Corp Common  "
"X",19.6300,19.6200,"18.9600 - 19.7500",2600,1900,14321335,100,"3:08pm - <b>19.6239</b>","United States Steel Corporation"
"XCO",1.03,1.02,"1.02 - 1.07",11600,9600,612199,100,"3:07pm - <b>1.02</b>","EXCO Resources, Inc. Exco Resou"
"XEC",124.96,124.85,"123.17 - 126.34",100,200,554710,278,"3:08pm - <b>124.93</b>","Cimarex Energy Co Common Stock"
"XEL",43.110,43.100,"42.850 - 43.230",500,1900,2810774,100,"3:08pm - <b>43.115</b>","Xcel Energy Inc. Common Stock"
"XHR",15.51,15.50,"15.47 - 16.11",200,500,452879,100,"3:08pm - <b>15.52</b>","Xenia Hotels & Resorts, Inc. Co"
"XIN",6.33,6.31,"6.28 - 6.49",500,1000,272905,100,"3:07pm - <b>6.33</b>","Xinyuan Real Estate Co Ltd Amer"
"XKE",8.25,8.02,N/A,100,200,4,N/A,"4:00pm - <b>8.19</b>","Lehman ABS Corporation Corporat"
"XL",33.95,33.94,"33.90 - 34.16",400,1200,1123898,100,"3:07pm - <b>33.98</b>","XL Group Ltd."
"XNY",1.53,1.49,"1.46 - 1.49",100,100,955,100,"12:25pm - <b>1.49</b>","China Xiniya Fashion Limited Am"
"XOM",83.19,83.18,"83.06 - 84.50",900,800,5530444,100,"3:08pm - <b>83.20</b>","Exxon Mobil Corporation Common "
"XON",27.37,27.33,"27.03 - 27.60",400,500,348731,100,"3:07pm - <b>27.35</b>","Intrexon Corporation Common Sto"
"XOXO",19.08,19.04,"19.02 - 19.38",300,200,19554,100,"3:06pm - <b>19.06</b>","XO Group, Inc. Common Stock"
"XPO",35.14,35.12,"34.93 - 35.83",300,300,401345,100,"3:08pm - <b>35.15</b>","XPO Logistics, Inc."
"XRM",8.20,8.18,"7.89 - 8.26",300,400,23734,100,"3:06pm - <b>7.89</b>","Xerium Technologies, Inc. New C"
"XRS",68.76,68.73,"68.04 - 69.50",200,300,342677,100,"3:07pm - <b>68.80</b>","TAL Education Group American De"
"XRX",9.98,9.97,"9.85 - 10.03",9700,42900,8014145,100,"3:08pm - <b>9.98</b>","Xerox Corporation Common Stock"
"XTLY",13.89,13.86,"13.67 - 14.42",200,400,338031,100,"3:07pm - <b>13.88</b>","Xactly Corporation Common Stock"
"XYL",51.65,51.64,"50.94 - 51.66",200,100,1055191,100,"3:07pm - <b>51.63</b>","Xylem Inc. Common Stock New"
"Y",521.84,521.02,"520.03 - 524.49",100,200,25331,100,"3:03pm - <b>522.27</b>","Alleghany Corporation Common St"
"YDKN",25.76,25.73,"25.61 - 25.89",300,400,159801,100,"3:08pm - <b>25.78</b>","Yadkin Financial Corporation Co"
"YELP",39.51,39.50,"38.05 - 40.70",400,200,3778049,100,"3:08pm - <b>39.50</b>","Yelp Inc. Common Stock"
"YGE",3.8900,3.8600,"3.8000 - 3.9400",100,500,47027,1680,"3:05pm - <b>3.9101</b>","Yingli Green Energy Holding Com"
"YPF",17.21,17.20,"17.13 - 17.52",300,300,125936,100,"3:08pm - <b>17.24</b>","YPF Sociedad Anonima Common Sto"
"YRD",21.18,21.09,"20.16 - 21.57",100,200,858996,100,"3:07pm - <b>21.16</b>","Yirendai Ltd. American Deposita"
"YUM",89.91,89.90,"89.68 - 90.45",400,500,2089405,100,"3:07pm - <b>89.91</b>","Yum! Brands, Inc."
"YUME",4.13,4.11,"4.11 - 4.24",200,400,24677,100,"3:07pm - <b>4.12</b>","YuMe, Inc. Common Stock"
"YZC",6.330,6.320,"6.270 - 6.330",500,700,29284,100,"3:04pm - <b>6.305</b>","Yanzhou Coal Mining Company Lim"
"ZAYO",30.100,30.090,"29.905 - 30.300",500,800,1797400,100,"3:07pm - <b>30.025</b>","Zayo Group Holdings, Inc. Commo"
"ZB-A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ZB-F",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ZB-G",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ZB-H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ZBH",126.920,126.890,"126.850 - 127.810",100,300,332381,100,"3:07pm - <b>127.165</b>","Zimmer Biomet Holdings, Inc. Co"
"ZBK",29.81,29.44,"29.72 - 29.72",500,200,140,140,"9:30am - <b>29.72</b>","Zions Bancorporation 6.95% Fixe"
"ZEN",29.71,29.69,"29.20 - 29.78",200,400,536080,100,"3:07pm - <b>29.76</b>","Zendesk, Inc. Common Stock"
"ZF",12.6700,12.6500,"12.6531 - 12.7100",800,1500,37787,1000,"3:04pm - <b>12.6614</b>","Zweig Fund, Inc. (The) Common S"
