Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"NGVT",47.37,47.29,"47.24 - 48.30",200,300,154949,100,"3:22pm - <b>47.25</b>","Ingevity Corporation Common Sto"
"NHA",10.1400,10.1300,"10.1300 - 10.1700",3600,300,11850,250,"3:02pm - <b>10.1428</b>","Nuveen Municipal 2021 Target Te"
"NHF",22.0800,22.0400,"22.0000 - 22.2500",500,300,75759,225,"3:15pm - <b>22.0598</b>","NexPoint Credit Strategies Fund"
"NHI",80.580,80.520,"80.500 - 81.110",200,300,137963,100,"3:22pm - <b>80.555</b>","National Health Investors, Inc."
"NI",25.10,25.09,"25.01 - 25.26",1000,3000,1619572,100,"3:23pm - <b>25.10</b>","NiSource Inc Common Stock"
"NID",13.9600,13.9500,"13.8700 - 13.9600",1100,300,86197,320,"3:22pm - <b>13.9566</b>","Nuveen Intermediate Duration Mu"
"NIE",18.69,18.66,"18.65 - 18.85",700,200,89751,100,"3:21pm - <b>18.65</b>","AllianzGI Equity & Convertible "
"NIM",10.6700,10.6600,"10.6600 - 10.7000",9000,400,10060,100,"12:50pm - <b>10.6605</b>","Nuveen Select Maturities Munici"
"NIQ",13.6600,13.6400,"13.6400 - 13.6700",200,400,12242,100,"2:06pm - <b>13.6401</b>","Nuveenn Intermediate Duration Q"
"NJR",34.61,34.60,"34.50 - 34.83",300,300,225084,100,"3:22pm - <b>34.60</b>","NewJersey Resources Corporation"
"NKE",54.44,54.43,"54.08 - 55.00",800,1800,8500074,100,"3:23pm - <b>54.43</b>","Nike, Inc. Common Stock"
"NKG",14.02,14.00,"14.00 - 14.12",200,800,26645,100,"3:21pm - <b>14.00</b>","Nuveen Georgia Dividend Advanta"
"NKX",16.92,16.87,"16.86 - 16.92",100,200,24019,400,"2:44pm - <b>16.87</b>","Nuveen California AMT-Free Muni"
"NL",4.01,3.99,"3.87 - 4.03",1800,300,20872,100,"3:10pm - <b>3.97</b>","NL Industries, Inc. Common Stoc"
"NLS",23.10,23.09,"23.02 - 23.95",400,200,398377,100,"3:22pm - <b>23.10</b>","Nautilus, Inc. Common Stock"
"NLSN",53.120,53.110,"52.845 - 53.250",300,500,1198838,100,"3:23pm - <b>53.135</b>","Nielsen N.V. Ordinary Shares"
"NLY",10.890,10.880,"10.785 - 10.920",35700,14500,6438169,600,"3:23pm - <b>10.885</b>","Annaly Capital Management Inc C"
"NLY-A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"NLY-C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"NLY-D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"NLY-E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"NM",1.23,1.22,"1.20 - 1.25",7000,3700,308287,300,"3:21pm - <b>1.21</b>","Navios Maritime Holdings Inc. C"
"NM-G",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"NM-H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"NMBL",7.74,7.73,"7.67 - 7.87",1800,1400,396468,100,"3:22pm - <b>7.73</b>","Nimble Storage, Inc. Common Sto"
"NMFC",13.84,13.82,"13.74 - 13.87",200,600,153754,100,"3:22pm - <b>13.84</b>","New Mountain Finance Corporatio"
"NMI",12.5600,12.5400,"12.5200 - 12.5600",300,100,3767,297,"2:44pm - <b>12.5539</b>","Nuveen Municipal Income Fund, I"
"NMK-B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"NMK-C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"NMM",1.41,1.40,"1.40 - 1.47",1400,21400,134041,300,"3:22pm - <b>1.40</b>","Navios Maritime Partners LP Com"
"NMR",4.5100,4.5000,"4.4700 - 4.5100",700,500,136370,300,"3:22pm - <b>4.5089</b>","Nomura Holdings Inc ADR America"
"NMS",16.80,16.66,"16.66 - 16.89",1200,500,8874,100,"3:11pm - <b>16.75</b>","Nuveen Minnesota Municipal Inco"
"NMT",15.22,15.20,"15.15 - 15.22",800,100,9036,100,"2:41pm - <b>15.19</b>","Nuveen Massachusetts Premium In"
"NMY",14.0000,13.9700,"13.9700 - 14.0700",100,9100,17742,700,"2:45pm - <b>13.9814</b>","Nuveen Maryland Premium Income "
"NMZ",14.59,14.58,"14.52 - 14.62",800,300,123655,100,"3:11pm - <b>14.57</b>","Nuveen Municipal High Income Op"
"NNA",1.32,1.31,"1.30 - 1.38",4700,3000,408442,100,"3:22pm - <b>1.30</b>","Navios Maritime Acquisition Cor"
"NNC",14.3300,14.2900,"14.2650 - 14.3799",200,1500,18686,700,"2:19pm - <b>14.3399</b>","Nuveen North Carolina Premium I"
"NNI",38.81,38.69,"38.68 - 39.12",200,100,36285,100,"3:21pm - <b>38.82</b>","Nelnet, Inc. Common Stock"
"NNN",51.94,51.92,"51.17 - 52.05",300,400,358749,100,"3:23pm - <b>51.95</b>","National Retail Properties Comm"
"NNN-D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"NNN-E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"NNY",10.60,10.48,"10.48 - 10.59",300,700,41883,173,"3:18pm - <b>10.50</b>","Nuveen New York Municipal Value"
"NOA",2.50,2.48,"2.49 - 2.62",400,200,25229,100,"3:21pm - <b>2.49</b>","North American Energy Partners,"
"NOAH",27.04,27.00,"26.81 - 27.17",200,200,150534,100,"3:20pm - <b>27.04</b>","Noah Holdings Limited"
"NOC",217.00,216.94,"216.03 - 217.62",200,200,335057,100,"3:23pm - <b>216.94</b>","Northrop Grumman Corporation Co"
"NOK",5.63,5.62,"5.61 - 5.65",95400,149200,5376592,100,"3:22pm - <b>5.62</b>","Nokia Corporation Sponsored Ame"
"NOM",N/A,16.74,"16.74 - 16.85",N/A,100,555,100,"1:11pm - <b>16.81</b>","Nuveen Missouri Premium Income "
"NOMD",11.76,11.75,"11.70 - 11.88",300,200,414940,100,"3:22pm - <b>11.77</b>","Nomad Foods Limited Ordinary Sh"
"NORD",21.98,21.94,"21.78 - 22.00",100,200,33565,100,"3:22pm - <b>21.95</b>","Nord Anglia Education, Inc. Ord"
"NOV",33.930,33.920,"33.730 - 34.310",200,600,3355953,100,"3:23pm - <b>33.872</b>","National Oilwell Varco, Inc. Co"
"NOW",76.86,76.81,"76.41 - 77.23",300,200,643203,100,"3:22pm - <b>76.77</b>","ServiceNow, Inc. Common Stock"
"NP",79.74,79.57,"79.52 - 80.31",100,200,38819,100,"3:21pm - <b>79.63</b>","Neenah Paper, Inc. Common Stock"
"NPK",89.3800,88.9900,"88.1600 - 90.1000",100,100,5806,510,"3:14pm - <b>89.1381</b>","National Presto Industries, Inc"
"NPO",55.99,55.87,"55.68 - 56.45",200,100,62945,100,"3:22pm - <b>55.88</b>","EnPro Industries Inc"
"NPTN",16.36,16.35,"16.05 - 16.61",300,500,484652,100,"3:23pm - <b>16.31</b>","NeoPhotonics Corporation Common"
"NPV",14.38,14.37,"14.37 - 14.52",3000,100,22824,100,"3:10pm - <b>14.37</b>","Nuveen Virginia Premium Income "
"NQ",3.960,3.950,"3.790 - 3.970",1300,300,369035,750,"3:18pm - <b>3.969</b>","NQ Mobile Inc. American Deposit"
"NQP",14.90,14.89,"14.88 - 14.92",100,600,24579,100,"3:22pm - <b>14.91</b>","Nuveen Pennsylvania Investment "
"NR",6.670,6.660,"6.660 - 6.900",1200,1100,215223,100,"3:23pm - <b>6.665</b>","Newpark Resources, Inc. Common "
"NRE",11.040,11.030,"10.990 - 11.295",1100,700,240777,100,"3:22pm - <b>11.035</b>","NorthStar Realty Europe Corp. C"
"NRF",12.86,12.85,"12.76 - 12.97",3400,3500,706609,100,"3:22pm - <b>12.85</b>","NorthStar Realty Finance Corp. "
"NRF-A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"NRF-B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"NRF-C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"NRF-D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"NRF-E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"NRG",11.340,11.330,"11.310 - 11.535",3400,1800,2907011,100,"3:22pm - <b>11.335</b>","NRG Energy, Inc. Common Stock"
"NRK",14.22,14.19,"14.19 - 14.29",200,1600,66745,100,"3:19pm - <b>14.22</b>","Nuveen New York AMT-Free Munici"
"NRP",27.43,27.40,"25.84 - 28.25",100,500,112820,100,"3:10pm - <b>27.44</b>","Natural Resource Partners LP Li"
"NRT",7.23,7.12,"7.11 - 7.30",200,100,20504,100,"2:50pm - <b>7.14</b>","North European Oil Royality Tru"
"NRZ",14.320,14.310,"14.260 - 14.500",6000,2900,3077631,100,"3:23pm - <b>14.315</b>","New Residential Investment Corp"
"NS",47.60,47.53,"46.72 - 47.95",300,100,302148,100,"3:22pm - <b>47.52</b>","Nustar Energy L.P.  Common Unit"
"NSA",21.41,21.39,"21.12 - 21.55",400,200,191209,100,"3:21pm - <b>21.40</b>","National Storage Affiliates Tru"
"NSAM",12.53,12.52,"12.29 - 12.60",1900,2300,1161048,100,"3:23pm - <b>12.53</b>","NorthStar Asset Management Grou"
"NSC",93.32,93.30,"92.83 - 94.05",300,200,760326,100,"3:22pm - <b>93.16</b>","Norfolk Southern Corporation Co"
"NSH",25.00,24.80,"24.47 - 25.22",800,100,23296,100,"3:22pm - <b>25.04</b>","Nustar GP Holdings, LLC Units"
"NSL",6.45,6.44,"6.42 - 6.45",5700,800,72481,100,"3:22pm - <b>6.44</b>","Nuveen Senior Income Fund Commo"
"NSM",14.53,14.52,"14.46 - 15.05",500,500,373875,100,"3:22pm - <b>14.52</b>","Nationstar Mortgage Holdings In"
"NSP",73.69,73.44,"72.44 - 73.73",200,100,142082,100,"3:18pm - <b>73.58</b>","Insperity, Inc. Common Stock"
"NSR",26.98,26.96,"26.91 - 27.40",300,200,233662,100,"3:22pm - <b>26.96</b>","Neustar, Inc. Neustar, Inc. Cla"
"NSS",26.50,26.47,"26.42 - 26.52",100,300,6585,372,"3:02pm - <b>26.47</b>","NuStar Logistics, L.P. 7.625% F"
"NTB",24.13,24.10,"24.00 - 24.23",100,200,147133,100,"3:22pm - <b>24.11</b>","Bank of N.T. Butterfield & Son "
"NTC",13.75,13.69,"13.67 - 13.76",800,700,17844,100,"3:18pm - <b>13.74</b>","Nuveen Connecticut Premium Inco"
"NTG",19.5700,19.5400,"19.5000 - 19.7800",400,500,52226,1050,"3:21pm - <b>19.5517</b>","Tortoise MLP Fund, Inc. Common "
"NTL",24.15,23.97,"23.75 - 24.20",4500,200,14627,100,"3:22pm - <b>24.20</b>","Nortel Inversora SA, ADR Common"
"NTP",8.10,8.08,"7.90 - 8.20",2100,4000,83162,100,"3:19pm - <b>8.09</b>","Nam Tai Property Inc. Common St"
"NTT",46.78,46.76,"46.54 - 46.86",700,200,146624,100,"3:21pm - <b>46.76</b>","Nippon Telegraph and Telephone "
"NTX",15.2800,15.2700,"15.2600 - 15.3100",100,100,5226,100,"3:02pm - <b>15.2737</b>","Nuveen Texas Quality Income Mun"
"NTZ",1.73,1.71,"1.60 - 1.75",400,100,55016,196,"3:12pm - <b>1.71</b>","Natuzzi, S.p.A."
"NUE",49.1200,49.1100,"48.4300 - 49.1900",500,600,2916715,200,"3:22pm - <b>49.0975</b>","Nucor Corporation Common Stock"
"NUM",14.84,14.79,"14.75 - 14.90",100,400,32933,300,"2:43pm - <b>14.85</b>","Nuveen Michigan Quality Income "
"NUO",16.6200,16.6000,"16.6016 - 16.6899",200,200,10861,100,"3:20pm - <b>16.6141</b>","Nuveen Ohio Quality Income Muni"
"NUS",63.33,63.30,"62.58 - 63.47",200,200,333440,100,"3:22pm - <b>63.30</b>","Nu Skin Enterprises, Inc. Commo"
