Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"PBR",9.08,9.07,"9.03 - 9.20",17700,97100,18288600,100,"3:33pm - <b>9.08</b>","Petroleo Brasileiro S.A.- Petro"
"PBR.A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PBT",7.02,7.00,"6.97 - 7.08",300,5000,52694,100,"3:31pm - <b>7.01</b>","Permian Basin Royalty Trust Com"
"PBYI",69.92,69.88,"67.29 - 69.95",400,200,718686,215,"3:33pm - <b>69.82</b>","Puma Biotechnology Inc Common S"
"PCF",8.01,7.97,"7.98 - 8.06",100,200,40157,238,"3:25pm - <b>7.98</b>","Putnam High Income Securities F"
"PCG",64.01,64.00,"63.77 - 64.28",1000,300,1460032,200,"3:33pm - <b>64.01</b>","Pacific Gas & Electric Co. Comm"
"PCI",20.2600,20.2500,"20.2100 - 20.3000",900,1300,423129,800,"3:32pm - <b>20.2501</b>","PIMCO Dynamic Credit and Mortga"
"PCK",10.71,10.66,"10.61 - 10.75",300,300,19875,200,"3:27pm - <b>10.66</b>","Pimco California Municipal Inco"
"PCM",9.98,9.95,"9.94 - 10.05",600,2100,64846,100,"3:33pm - <b>9.94</b>","PCM Fund, Inc. Common Stock"
"PCN",15.35,15.32,"15.23 - 15.39",400,200,81583,100,"3:24pm - <b>15.34</b>","Pimco Corporate & Income Strate"
"PCQ",17.0200,16.9200,"16.9200 - 17.0800",500,100,30444,1200,"3:05pm - <b>16.9271</b>","PIMCO California Municipal Inco"
"PDI",28.40,28.37,"28.32 - 28.43",400,400,81877,100,"3:32pm - <b>28.36</b>","PIMCO Dynamic Income Fund Commo"
"PDM",22.08,22.07,"21.65 - 22.08",1600,1600,599299,100,"3:33pm - <b>22.08</b>","Piedmont Office Realty Trust, I"
"PDS",3.710,3.700,"3.685 - 3.785",2400,28400,883575,100,"3:32pm - <b>3.705</b>","Precision Drilling Corporation "
"PDT",16.6900,16.6700,"16.6700 - 16.9635",400,500,107119,1000,"3:32pm - <b>16.6736</b>","John Hancock Premium Dividend F"
"PE",31.84,31.83,"31.06 - 32.01",400,600,2110615,100,"3:33pm - <b>31.85</b>","Parsley Energy, Inc. Class A Co"
"PEB",26.18,26.17,"26.08 - 26.45",400,200,883904,100,"3:33pm - <b>26.17</b>","Pebblebrook Hotel Trust Common "
"PEB-C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PEB-D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PEG",43.580,43.570,"43.415 - 43.845",600,3900,1617756,100,"3:33pm - <b>43.585</b>","Public Service Enterprise Group"
"PEI",24.120,24.100,"23.850 - 24.130",200,600,284019,100,"3:33pm - <b>24.105</b>","Pennsylvania Real Estate Invest"
"PEI-A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PEI-B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PEN",77.07,77.01,"76.81 - 77.38",100,200,149055,200,"3:33pm - <b>77.02</b>","Penumbra, Inc. Common Stock"
"PEO",19.3100,19.2700,"19.2200 - 19.4300",500,100,39964,1382,"3:31pm - <b>19.2929</b>","Adams Natural Resources Fund, I"
"PEP",107.170,107.160,"106.870 - 107.380",600,600,3028766,100,"3:33pm - <b>107.185</b>","Pepsico, Inc. Common Stock"
"PER",2.6000,2.5800,"2.5800 - 2.6200",400,2000,69629,300,"3:18pm - <b>2.5826</b>","SandRidge Permian Trust Common "
"PES",3.450,3.440,"3.440 - 3.550",3100,2300,470582,100,"3:32pm - <b>3.445</b>","Pioneer Energy Services Corp. C"
"PF",49.860,49.850,"49.270 - 49.930",400,500,694309,100,"3:32pm - <b>49.865</b>","Pinnacle Foods, Inc. Common Sto"
"PFD",14.9900,14.8600,"14.8400 - 15.2460",100,400,23521,200,"3:29pm - <b>14.9488</b>","Flaherty & Crumrine Preferred I"
"PFE",33.64,33.63,"33.42 - 34.01",11000,12200,22538384,100,"3:33pm - <b>33.63</b>","Pfizer, Inc. Common Stock"
"PFG",49.510,49.500,"49.040 - 49.880",600,900,1268984,100,"3:33pm - <b>49.505</b>","Principal Financial Group Inc C"
"PFGC",24.46,24.44,"24.36 - 24.90",400,400,355345,100,"3:33pm - <b>24.44</b>","Performance Food Group Company "
"PFH",19.52,19.45,"19.43 - 19.64",100,900,4790,100,"3:23pm - <b>19.53</b>","Cabco Tr Jcp 7.625 Common Stock"
"PFK",25.9900,25.8500,"25.8350 - 25.9513",500,100,2232,400,"3:24pm - <b>25.9513</b>","Prudential Financial Inflation-"
"PFL",10.57,10.54,"10.53 - 10.60",200,500,68105,600,"3:25pm - <b>10.53</b>","PIMCO Income Strategy Fund Shar"
"PFN",9.4600,9.4400,"9.4200 - 9.5000",1100,700,211544,2162,"3:24pm - <b>9.4448</b>","PIMCO Income Strategy Fund II"
"PFO",11.54,11.52,"11.51 - 11.72",1400,200,21492,100,"3:21pm - <b>11.54</b>","Flaherty & Crumrine Preferred I"
"PFS",20.90,20.89,"20.87 - 21.12",300,500,72264,100,"3:33pm - <b>20.90</b>","Provident Financial Services, I"
"PFSI",17.43,17.39,"17.38 - 18.08",400,100,101042,100,"3:31pm - <b>17.38</b>","PennyMac Financial Services, In"
"PG",88.21,88.20,"86.61 - 88.43",800,1400,45909093,200,"3:33pm - <b>88.21</b>","Procter & Gamble Company (The) "
"PGEM",13.57,13.56,"13.37 - 13.66",200,600,59316,172,"3:32pm - <b>13.60</b>","Ply Gem Holdings, Inc. Common S"
"PGH",1.45,1.44,"1.44 - 1.49",7300,45300,699931,100,"3:31pm - <b>1.44</b>","Pengrowth Energy Corporation"
"PGND",40.38,40.36,"40.33 - 40.40",400,200,694417,100,"3:32pm - <b>40.36</b>","Press Ganey Holdings, Inc. Comm"
"PGP",20.5400,20.4800,"20.3000 - 20.6800",200,400,41148,300,"3:25pm - <b>20.5101</b>","Pimco Global Stocksplus & Incom"
"PGR",31.33,31.32,"30.97 - 31.33",2700,600,2230491,100,"3:33pm - <b>31.32</b>","Progressive Corporation (The) C"
"PGRE",17.09,17.08,"17.08 - 17.32",1100,1400,349853,100,"3:33pm - <b>17.08</b>","Paramount Group, Inc. Common St"
"PGZ",17.52,17.48,"17.46 - 17.60",2300,1800,18964,100,"3:32pm - <b>17.48</b>","Principal Real Estate Income Fu"
"PH",121.32,121.29,"120.57 - 122.10",200,100,657683,100,"3:33pm - <b>121.45</b>","Parker-Hannifin Corporation Com"
"PHD",11.62,11.61,"11.51 - 11.63",400,400,83083,100,"3:32pm - <b>11.62</b>","Pioneer Floating Rate Trust Pio"
"PHG",29.50,29.49,"29.42 - 29.64",1400,5000,659201,100,"3:33pm - <b>29.50</b>","Koninklijke Philips N.V. NY Reg"
"PHH",14.05,14.04,"14.04 - 14.31",700,700,103998,100,"3:32pm - <b>14.06</b>","PHH Corp Common Stock"
"PHI",35.66,35.61,"35.61 - 36.14",400,200,70958,351,"3:28pm - <b>35.65</b>","PLDT Inc. Sponsored ADR"
"PHK",9.870,9.860,"9.700 - 9.900",600,400,796574,289,"3:28pm - <b>9.864</b>","Pimco High Income Fund Pimco Hi"
