Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"BLL",79.14,79.12,"79.04 - 79.52",300,200,420479,100,"3:31pm - <b>79.13</b>","Ball Corporation Common Stock"
"BLOX",26.380,26.370,"26.340 - 26.380",7200,24200,1340993,100,"3:31pm - <b>26.375</b>","Infoblox Inc. Common Stock"
"BLW",15.38,15.37,"15.37 - 15.41",2100,1600,40251,250,"3:22pm - <b>15.37</b>","Blackrock Limited Duration Inco"
"BLX",27.70,27.68,"27.66 - 28.41",100,100,66799,100,"3:31pm - <b>27.67</b>","Banco Latinoamericano de Comerc"
"BMA",76.05,75.88,"73.93 - 77.42",100,200,171853,100,"3:31pm - <b>75.35</b>","Banco Macro S.A.  ADR (represen"
"BME",35.1800,35.0400,"34.9011 - 35.3200",100,100,39290,100,"3:31pm - <b>35.0595</b>","Blackrock Health Sciences Trust"
"BMI",33.40,33.36,"33.36 - 33.89",300,200,83892,100,"3:31pm - <b>33.41</b>","Badger Meter, Inc. Common Stock"
"BML-G",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BML-H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BML-I",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BML-J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BML-L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BMO",64.56,64.55,"64.49 - 65.03",100,1000,293792,100,"3:31pm - <b>64.58</b>","Bank Of Montreal Common Stock"
"BMS",50.76,50.75,"50.69 - 51.42",500,400,409052,100,"3:32pm - <b>50.74</b>","Bemis Company, Inc. Common Stoc"
"BMY",55.55,55.54,"55.40 - 56.31",700,1400,6503426,100,"3:32pm - <b>55.54</b>","Bristol-Myers Squibb Company Co"
"BNED",9.57,9.56,"9.51 - 9.82",700,1000,192780,192,"3:30pm - <b>9.56</b>","Barnes & Noble Education, Inc C"
"BNJ",16.00,15.97,"15.98 - 16.05",200,200,10147,100,"3:21pm - <b>15.99</b>","BlackRock New Jersey Municipal "
"BNS",53.28,53.27,"53.16 - 53.54",300,800,363598,723,"3:30pm - <b>53.27</b>","Bank Nova Scotia Halifax Pfd 3 "
"BNY",16.00,15.98,"15.98 - 16.02",200,100,4139,100,"3:23pm - <b>15.98</b>","BlackRock New York Municipal In"
"BOE",12.09,12.08,"12.07 - 12.16",800,700,193001,100,"3:31pm - <b>12.09</b>","Blackrock Global Blackrock Glob"
"BOH",71.78,71.74,"71.72 - 72.46",100,200,142798,100,"3:32pm - <b>71.84</b>","Bank of Hawaii Corporation Comm"
"BOI",15.19,15.15,"15.10 - 15.22",200,500,98895,100,"3:31pm - <b>15.19</b>","Brookfield Mortgage Opportunity"
"BOOT",11.01,10.97,"10.79 - 11.13",100,100,88200,106,"3:32pm - <b>10.84</b>","Boot Barn Holdings, Inc. Common"
"BORN",1.51,1.49,"1.49 - 1.51",300,1000,4954,100,"1:10pm - <b>1.51</b>","China New Borun Corporation Ame"
"BOX",14.600,14.590,"14.410 - 14.810",1600,200,585856,100,"3:32pm - <b>14.595</b>","Box, Inc. Class A Common Stock"
"BOXC",21.48,20.86,"21.19 - 21.41",500,300,620,100,"11:36am - <b>21.19</b>","Brookfield Canada Office Proper"
"BP",33.76,33.75,"33.62 - 33.98",3900,4800,3895364,300,"3:32pm - <b>33.74</b>","BP p.l.c. Common Stock"
"BPI",6.52,6.51,"6.51 - 6.90",500,100,85855,200,"3:26pm - <b>6.51</b>","Bridgepoint Education, Inc."
"BPK",15.28,15.25,"15.24 - 15.28",2200,1400,30951,100,"3:31pm - <b>15.24</b>","Blackrock Municipal 2018 Term T"
"BPL",71.05,71.02,"70.91 - 71.78",200,100,206954,100,"3:32pm - <b>71.05</b>","Buckeye Partners L.P. Common St"
"BPT",17.50,17.46,"17.25 - 17.50",500,300,54749,100,"3:31pm - <b>17.46</b>","BP Prudhoe Bay Royalty Trust Co"
"BPY",23.170,23.130,"23.110 - 23.620",500,1000,65325,100,"3:31pm - <b>23.115</b>","Brookfield Property Partners L."
"BQH",15.80,15.72,"15.75 - 15.99",200,300,523,100,"1:05pm - <b>15.75</b>","Blackrock New York Municipal Bo"
"BR",70.06,70.05,"68.12 - 70.08",700,200,969791,200,"3:32pm - <b>70.05</b>","Broadridge Financial Solutions,"
"BRC",34.87,34.86,"34.77 - 35.19",200,100,212764,100,"3:32pm - <b>34.90</b>","Brady Corporation Common Stock"
"BRFS",16.74,16.73,"16.62 - 16.89",1800,3300,1173807,300,"3:31pm - <b>16.74</b>","BRF S.A."
"BRK.A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BRK.B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BRO",37.30,37.29,"37.20 - 37.48",500,1300,507888,100,"3:31pm - <b>37.30</b>","Brown & Brown, Inc. Common Stoc"
"BRS",12.72,12.71,"12.33 - 12.78",300,400,525421,100,"3:31pm - <b>12.75</b>","Bristow Group Inc. Common Stock"
"BRSS",28.150,28.100,"27.750 - 28.545",100,200,184570,100,"3:31pm - <b>28.135</b>","Global Brass and Copper Holding"
