Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"GFY",15.8600,15.8200,"15.8201 - 15.9699",100,100,9787,3000,"1:43pm - <b>15.8201</b>","Western Asset Variable Rate Str"
"GG",16.46,16.45,"16.43 - 16.89",4800,3500,4648912,100,"3:04pm - <b>16.46</b>","Goldcorp Inc. Common Stock"
"GGB",2.660,2.650,"2.600 - 2.680",78800,38800,4467243,2000,"3:04pm - <b>2.655</b>","Gerdau S.A. Common Stock"
"GGE",15.9900,15.9500,"15.9192 - 16.0451",200,200,5231,1036,"2:49pm - <b>15.9504</b>","Guggenheim Enhanced Equity Stra"
"GGG",73.37,73.33,"72.59 - 73.82",200,100,114944,100,"3:03pm - <b>73.28</b>","Graco Inc. Common Stock"
"GGM",22.39,22.32,"22.33 - 22.40",200,200,13177,226,"2:55pm - <b>22.38</b>","Guggenheim Credit Allocation Fu"
"GGP",28.74,28.73,"28.63 - 28.90",5400,2000,1373723,100,"3:03pm - <b>28.73</b>","General Growth Properties, Inc."
"GGP-A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"GGT",7.590,7.570,"7.430 - 7.600",200,300,139918,500,"3:01pm - <b>7.549</b>","Gabelli Multi-Media Trust, Inc."
"GGT-B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"GGZ",10.75,10.73,"10.71 - 10.74",200,100,7164,100,"2:05pm - <b>10.73</b>","Gabelli Global Small and Mid Ca"
"GGZ-A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"GHC",486.68,485.00,"484.14 - 491.98",200,100,16215,100,"3:02pm - <b>485.80</b>","Graham Holdings Company Common "
"GHL",22.610,22.590,"22.480 - 23.202",500,300,473574,100,"3:04pm - <b>22.595</b>","Greenhill & Co., Inc. Common St"
"GHM",18.41,18.31,"18.30 - 18.50",100,100,7111,100,"2:53pm - <b>18.49</b>","Graham Corporation Common Stock"
"GHY",15.01,15.00,"15.00 - 15.03",300,500,64207,200,"2:59pm - <b>15.00</b>","Prudential Global Short Duratio"
"GI",4.33,4.31,"4.09 - 4.34",300,100,36541,100,"3:00pm - <b>4.17</b>","EndoChoice Holdings, Inc. Commo"
"GIB",47.75,47.71,"47.43 - 48.00",400,500,60910,100,"3:03pm - <b>47.73</b>","CGI Group, Inc. Common Stock"
"GIL",27.92,27.91,"27.83 - 28.15",600,900,231427,100,"3:03pm - <b>27.91</b>","Gildan Activewear, Inc. Class A"
"GIM",6.20,6.19,"6.19 - 6.23",1600,7800,214965,100,"3:01pm - <b>6.19</b>","Templeton Global Income Fund, I"
"GIMO",53.59,53.54,"53.21 - 54.25",100,100,441749,100,"3:04pm - <b>53.50</b>","Gigamon Inc. Common Stock"
"GIS",63.870,63.860,"63.800 - 64.480",200,900,2125866,300,"3:03pm - <b>63.865</b>","General Mills, Inc. Common Stoc"
"GJH",10.47,10.30,"10.36 - 10.59",100,300,3225,199,"2:00pm - <b>10.43</b>","Synthetic Fixed-Income Securiti"
"GJO",21.06,20.80,"20.66 - 20.92",1600,100,3027,199,"1:58pm - <b>20.80</b>","Synthetic Fixed-Income Securiti"
"GJP",22.60,22.00,N/A,100,1400,50,N/A,"3:18pm - <b>22.08</b>","Synthetic Fixed-Income Securiti"
"GJR",20.78,20.16,N/A,100,500,0,N/A,"4:00pm - <b>20.39</b>","Synthetic Fixed-Income Securiti"
"GJS",18.41,18.07,"18.03 - 18.28",200,100,1927,100,"2:42pm - <b>18.03</b>","Goldman Sachs Group Securities "
"GJT",23.0900,12.9900,N/A,200,200,0,N/A,"3:10pm - <b>18.0408</b>","Synthetic Fixed-Income Securiti"
"GJV",26.2900,26.0700,"25.7800 - 26.1500",200,100,1574,150,"1:45pm - <b>25.9242</b>","Synthetic Fixed-Income Securiti"
"GKOS",38.50,38.45,"37.60 - 39.00",200,300,270482,100,"3:02pm - <b>38.45</b>","Glaukos Corporation Common Stoc"
"GLF",1.59,1.58,"1.55 - 1.73",7100,1500,919369,100,"3:03pm - <b>1.58</b>","GulfMark Offshore, Inc. New Com"
"GLOB",40.86,40.78,"40.34 - 41.69",100,100,170720,100,"3:03pm - <b>40.44</b>","Globant S.A. Common Shares"
"GLOG",13.35,13.34,"13.06 - 13.47",300,300,291468,100,"3:03pm - <b>13.35</b>","GasLog Ltd. Common Shares"
"GLOG-A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"GLOP",20.08,20.04,"19.93 - 20.37",100,200,112524,100,"2:40pm - <b>20.13</b>","GasLog Partners LP Common Units"
"GLP",16.90,16.85,"16.50 - 17.00",200,100,88956,100,"3:03pm - <b>16.87</b>","Global Partners LP Global Partn"
"GLT",22.09,22.07,"22.08 - 22.40",100,200,55817,100,"3:02pm - <b>22.10</b>","Glatfelter Common Stock"
"GLW",22.960,22.950,"22.910 - 23.045",8800,25700,3393803,100,"3:04pm - <b>22.955</b>","Corning Incorporated Common Sto"
"GM",31.8300,31.8200,"31.7500 - 32.1200",7900,8900,8555875,200,"3:03pm - <b>31.8268</b>","General Motors Company Common S"
"GM",31.8300,31.8200,"31.7500 - 32.1200",7900,8900,8555875,200,"3:03pm - <b>31.8268</b>","General Motors Company Common S"
"B",39.77,39.72,"39.42 - 40.07",300,200,64470,100,"3:03pm - <b>39.75</b>","Barnes Group, Inc. Common Stock"
"GME",27.70,27.69,"27.70 - 28.20",500,400,751189,100,"3:03pm - <b>27.70</b>","Gamestop Corporation Common Sto"
"GMED",22.340,22.330,"22.290 - 22.540",500,100,162886,100,"3:03pm - <b>22.315</b>","Globus Medical, Inc. Class A Co"
"GMRE",9.90,9.87,"9.72 - 10.19",300,100,159878,100,"3:02pm - <b>9.84</b>","Global Medical REIT Inc. Common"
"GMS",22.38,22.31,"22.22 - 22.69",200,300,62168,100,"3:03pm - <b>22.42</b>","GMS Inc. Common Stock"
"GMTA",26.1400,26.0500,"26.0400 - 26.6451",200,200,33746,200,"3:01pm - <b>26.0501</b>","GATX Corporation 5.625% Senior "
"GMZ",9.38,9.37,"9.35 - 9.55",500,200,102065,1850,"2:59pm - <b>9.37</b>","Goldman Sachs MLP Income Opport"
"GNC",20.00,19.99,"19.91 - 20.16",700,500,979178,100,"3:03pm - <b>20.00</b>","GNC Holdings, Inc. Class A Comm"
"GNE",6.160,6.060,"6.070 - 6.160",200,300,8202,395,"2:51pm - <b>6.104</b>","Genie Energy Ltd. Class B Commo"
"GNE-A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"GNK",4.91,4.82,"4.82 - 5.00",300,300,16064,100,"2:49pm - <b>4.82</b>","Genco Shipping & Trading Limite"
"GNL",8.28,8.27,"8.26 - 8.34",1700,2900,160427,100,"3:00pm - <b>8.28</b>","Global Net Lease, Inc. Common S"
"GNRC",34.56,34.53,"34.24 - 35.19",500,200,245539,100,"3:03pm - <b>34.55</b>","Generac Holdlings Inc. Common S"
"GNRT",4.97,4.95,"4.95 - 5.26",1600,2000,347590,200,"3:03pm - <b>4.96</b>","Gener8 Maritime, Inc. Common Sh"
"GNT",7.84,7.79,"7.66 - 7.94",1300,300,93475,100,"3:00pm - <b>7.83</b>","GAMCO Natural Resources, Gold &"
"GNW",4.81,4.80,"4.76 - 4.92",29500,3700,4800622,100,"3:04pm - <b>4.79</b>","Genworth Financial Inc Common S"
"GOF",19.0200,18.9800,"18.9440 - 19.0200",200,300,32123,394,"3:02pm - <b>19.0196</b>","Guggenheim Strategic Opportunit"
"GOL",19.94,19.92,"19.91 - 20.96",200,100,73829,200,"2:59pm - <b>19.93</b>","Gol Linhas Aereas Inteligentes "
"GPC",98.66,98.62,"97.87 - 98.82",200,200,288609,100,"3:03pm - <b>98.65</b>","Genuine Parts Company Common St"
"GPE-A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"GPI",61.94,61.88,"61.42 - 62.24",200,300,204072,100,"3:03pm - <b>61.86</b>","Group 1 Automotive, Inc. Common"
