Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"BLL",79.12,79.10,"79.04 - 79.52",100,400,376420,100,"3:07pm - <b>79.11</b>","Ball Corporation Common Stock"
"BLOX",26.36,26.35,"26.34 - 26.38",18500,16400,1247113,200,"3:08pm - <b>26.35</b>","Infoblox Inc. Common Stock"
"BLW",15.39,15.37,"15.37 - 15.41",400,1800,38287,1000,"3:08pm - <b>15.37</b>","Blackrock Limited Duration Inco"
"BLX",27.70,27.68,"27.66 - 28.41",100,100,64072,100,"3:06pm - <b>27.73</b>","Banco Latinoamericano de Comerc"
"BMA",75.98,75.78,"73.93 - 77.42",100,100,169436,100,"3:05pm - <b>75.90</b>","Banco Macro S.A.  ADR (represen"
"BME",35.37,35.16,"34.90 - 35.32",300,200,36935,500,"3:02pm - <b>35.16</b>","Blackrock Health Sciences Trust"
"BMI",33.47,33.45,"33.41 - 33.89",200,200,75547,100,"3:08pm - <b>33.47</b>","Badger Meter, Inc. Common Stock"
"BML-G",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BML-H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BML-I",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BML-J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BML-L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BMO",64.56,64.55,"64.49 - 65.03",400,1200,270404,500,"3:08pm - <b>64.60</b>","Bank Of Montreal Common Stock"
"BMS",50.77,50.76,"50.69 - 51.42",300,300,373507,110,"3:08pm - <b>50.77</b>","Bemis Company, Inc. Common Stoc"
"BMY",55.540,55.530,"55.400 - 56.310",800,900,6022769,100,"3:09pm - <b>55.545</b>","Bristol-Myers Squibb Company Co"
"BNED",9.57,9.56,"9.51 - 9.82",500,100,183361,100,"3:08pm - <b>9.56</b>","Barnes & Noble Education, Inc C"
