Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"DESC",27.7200,27.7000,N/A,3000,3000,0,N/A,"8:00pm - <b>27.2999</b>","Deutsche X-trackers Russell 200"
"DEUS",26.41,26.38,"26.39 - 26.47",200,300,4159,100,"2:51pm - <b>26.41</b>","Deutsche X-trackers Russell 100"
"DEW",42.3900,42.2900,"42.3300 - 42.5000",400,300,1726,200,"2:31pm - <b>42.3447</b>","WisdomTree Global High Dividend"
"DFE",54.910,54.850,"54.851 - 55.090",400,800,238722,100,"3:08pm - <b>54.885</b>","WisdomTree Europe SmallCap Divi"
"DFJ",61.320,61.220,"61.221 - 61.420",500,1300,9815,120,"3:02pm - <b>61.254</b>","WisdomTree Japan SmallCap Fund"
"DGAZ",5.27,5.26,"5.20 - 5.45",2900,44200,4862003,100,"3:14pm - <b>5.27</b>","VelocityShares 3X Inverse Natur"
"DGL",43.37,43.34,"43.27 - 43.45",2000,2000,25462,215,"3:14pm - <b>43.31</b>","PowerShares DB Gold Fund"
"DGP",27.86,27.77,"27.63 - 28.04",100,100,44582,100,"2:59pm - <b>27.69</b>","DB Gold Double Long ETN due Feb"
"DGRO",27.34,27.32,"27.31 - 27.44",13900,6500,178007,100,"3:14pm - <b>27.34</b>","iShares Core Dividend Growth ET"
"DGS",41.33,41.27,"41.28 - 41.52",200,400,70738,100,"3:09pm - <b>41.35</b>","WisdomTree Emerging Market Smal"
"DGT",67.29,67.15,"67.16 - 67.51",200,100,13416,100,"3:09pm - <b>67.25</b>","SPDR Global Dow ETF (based on T"
"DGZ",13.270,13.210,"13.170 - 13.280",600,100,9816,3500,"2:49pm - <b>13.263</b>","DB Gold Short ETN due February "
"DHS",66.17,66.10,"66.08 - 66.37",2900,2000,66508,576,"3:05pm - <b>66.08</b>","WisdomTree High Dividend Fund"
"DHVW",24.68,24.66,"24.67 - 24.72",6100,200,6300,100,"1:43pm - <b>24.67</b>","Diamond Hill Valuation-Weighted"
"DI",50.88,50.02,"50.13 - 50.46",400,300,8671,200,"2:40pm - <b>50.20</b>","PIMCO Diversified Income Active"
"DIA",180.86,180.85,"180.69 - 181.55",300,300,1470041,100,"3:14pm - <b>180.85</b>","SPDR Dow Jones Industrial Avera"
