Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"SCIU",25.9700,25.8800,"25.8852 - 26.0199",5100,1000,2132,386,"3:31pm - <b>25.9008</b>","Global X Scientific Beta US ETF"
"SCIX",23.840,23.720,"23.744 - 23.910",1000,700,436,210,"3:14pm - <b>23.744</b>","Global X Scientific Beta Asia e"
"SCJ",64.12,64.05,"63.94 - 64.09",1100,1700,18752,100,"3:33pm - <b>64.09</b>","iShares MSCI Japan Sm Cap"
"SCO",90.44,90.38,"88.20 - 92.50",700,700,384637,100,"3:40pm - <b>90.33</b>","ProShares UltraShort Bloomberg "
"SCPB",30.760,30.750,"30.730 - 30.760",33800,11500,1216101,100,"3:41pm - <b>30.755</b>","SPDR Barclays Short Term Corpor"
"SCTO",23.5400,23.4200,"23.4558 - 23.4558",2700,500,2612,2537,"2:36pm - <b>23.4558</b>","Global X JPMorgan US Sector Rot"
"SDD",26.960,26.680,N/A,1000,1100,0,N/A,"8:00pm - <b>26.379</b>","ProShares UltraShort SmallCap60"
"SDEM",14.39,14.34,"14.38 - 14.44",500,1000,5114,100,"10:01am - <b>14.38</b>","Global X SuperDividend Emerging"
"SDIV",21.4400,21.4300,"21.4200 - 21.5400",13500,19500,93374,599,"3:39pm - <b>21.4345</b>","Global X SuperDividend ETF"
"SDOG",40.9400,40.9200,"40.9090 - 41.1100",20700,3700,157905,250,"3:40pm - <b>40.9387</b>","ALPS Sector Dividend Dogs ETF"
"SDOW",13.73,13.72,"13.58 - 13.76",8500,22400,1812642,100,"3:41pm - <b>13.73</b>","UltraPro Short Dow30"
"SDP",31.3500,31.0700,"31.0675 - 31.3519",100,1000,5783,1500,"1:19pm - <b>31.0675</b>","ProShares UltraShort Utilities"
"SDS",16.71,16.70,"16.58 - 16.76",43200,210900,7215996,457,"3:41pm - <b>16.73</b>","ProShares UltraShort S&P500"
"SDY",83.93,83.92,"83.83 - 84.14",1000,500,834478,200,"3:41pm - <b>83.87</b>","SPDR S&P Dividend ETF"
"SDYL",64.91,64.80,"64.97 - 64.97",500,500,539,150,"12:21pm - <b>64.97</b>","ETRACS Monthly Pay 2xLeveraged "
"SEA",11.32,11.29,"11.27 - 11.41",300,100,79076,200,"3:41pm - <b>11.27</b>","Guggenheim Shipping ETF"
"SEF",15.98,15.97,"15.88 - 16.00",800,2400,21806,100,"3:40pm - <b>15.98</b>","ProShares Short Financials"
"SFLA",199.740,184.140,N/A,100,100,0,N/A,"3:21pm - <b>181.628</b>","iPath Long Extended S&P 500 TR "
"SGAR",35.8600,35.6400,"35.3000 - 35.8400",100,200,3942,200,"2:43pm - <b>35.8392</b>","iPath Pure Beta Sugar ETN"
"SGDJ",42.48,42.20,"42.32 - 43.52",500,400,9930,100,"3:40pm - <b>42.32</b>","ALPS ETF Trust Sprott Junior Go"
"SGDM",24.57,24.52,"24.46 - 25.15",3200,5300,51578,1800,"3:30pm - <b>24.54</b>","Sprott Gold Miners ETF"
"SGG",52.020,51.870,"50.690 - 52.170",200,300,120215,100,"3:41pm - <b>51.935</b>","iPath Bloomberg Sugar Subindex "
"SGOL",130.09,130.06,"130.07 - 130.56",1300,200,66632,300,"3:41pm - <b>130.07</b>","ETFS Physical Swiss Gold Shares"
"SH",38.46,38.45,"38.30 - 38.49",51600,50900,1490702,100,"3:41pm - <b>38.45</b>","ProShares Short S&P500"
"SHE",64.10,64.05,N/A,3100,1500,256,N/A,"8:00pm - <b>64.53</b>","SPDR Series Trust SPDR SSGA Gen"
"SHM",48.86,48.85,"48.83 - 48.86",2700,1300,208153,100,"3:41pm - <b>48.86</b>","SPDR Nuveen Barclays Short Term"
"SHNY",20.90,20.68,"21.00 - 21.74",700,500,5804,100,"1:58pm - <b>21.13</b>","Direxion Funds ETF"
"SHV",110.43,110.42,"110.42 - 110.44",15600,30900,218074,100,"3:41pm - <b>110.43</b>","iShares Short Treasury Bond ETF"
"SHY",85.07,85.06,"85.04 - 85.09",139200,1600,598054,500,"3:40pm - <b>85.07</b>","iShares 1-3 Year Treasury Bond "
"SHYD",25.3500,25.1900,"25.2000 - 25.2899",100,200,7532,400,"3:20pm - <b>25.2799</b>","VanEck Vectors Short High-Yield"
"SHYG",47.04,47.02,"46.99 - 47.11",600,100,174385,100,"3:40pm - <b>47.00</b>","iShares 0-5 Year High Yield Cor"
"SICK",32.8100,32.6300,N/A,1000,1000,0,N/A,"8:00pm - <b>31.4571</b>","Direxion Daily Healthcare Bear "
"SIJ",30.86,30.53,"30.70 - 30.70",1800,200,100,100,"12:56pm - <b>30.70</b>","ProShares UltraShort Industrial"
"SIL",45.2700,45.1700,"45.1850 - 46.3900",600,100,68664,100,"3:39pm - <b>45.2898</b>","Global X Silver Miners ETF"
"SILJ",15.75,15.71,"15.68 - 16.32",100,1500,247212,100,"3:32pm - <b>15.72</b>","PureFunds ISE Junior Silver (Sm"
"SIPE",19.8100,19.6700,N/A,1300,500,129,N/A,"8:00pm - <b>19.6901</b>","SPDR Barclays 0-5 Year TIPS ETF"
"SIVR",18.98,18.97,"18.96 - 19.24",5000,5000,78239,100,"3:41pm - <b>18.98</b>","ETFS Physical Silver Shares Tru"
"SIZ",21.610,21.370,N/A,400,300,0,N/A,"3:28pm - <b>21.599</b>","QuantShares U.S. Market Neutral"
"SIZE",69.400,69.260,"69.310 - 69.510",100,100,1940,101,"2:57pm - <b>69.341</b>","iShares Edge MSCI USA Size Fact"
"SJB",25.3100,25.2800,"25.1900 - 25.3099",6500,900,99177,100,"3:24pm - <b>25.2951</b>","ProShares Short High Yield"
"SJNK",27.490,27.480,"27.470 - 27.600",18300,2400,956356,100,"3:41pm - <b>27.485</b>","SPDR Barclays Short Term High Y"
"SKF",40.3000,40.2900,"39.7500 - 40.3500",1500,300,25752,150,"3:30pm - <b>40.1368</b>","ProShares UltraShort Financials"
"SLV",18.42,18.41,"18.38 - 18.67",92900,83900,4365018,100,"3:41pm - <b>18.40</b>","iShares Silver Trust"
"SLVP",14.4300,14.3700,"14.3717 - 14.8400",1300,100,103953,100,"3:33pm - <b>14.4219</b>","iShares MSCI Global Silver Mine"
"SLX",30.22,30.14,"30.05 - 30.32",3100,3600,9916,200,"3:26pm - <b>30.18</b>","VanEck Vectors Steel ETF "
"SLY",110.86,110.61,"110.88 - 111.53",100,600,14379,199,"3:34pm - <b>110.97</b>","SPDR S&P 600 Small Cap ETF (bas"
"SLYG",190.2500,189.9200,"189.9810 - 191.5700",100,300,25742,101,"3:39pm - <b>190.0504</b>","SPDR S&P 600 Small Cap Growth E"
"SLYV",106.3000,106.1400,"105.8701 - 106.5760",300,400,18182,102,"3:39pm - <b>105.9624</b>","SPDR S&P 600 Small Cap Value ET"
"SMB",17.67,17.64,"17.63 - 17.67",1500,1500,64291,146,"3:37pm - <b>17.64</b>","VanEck Vectors AMT-Free Short M"
"SMD",82.13,81.77,"81.78 - 82.25",1600,100,790,100,"3:32pm - <b>82.13</b>","SPDR S&P 1000 ETF  "
"SMDD",21.6200,21.5900,"21.4500 - 21.7100",1700,1400,1814,959,"2:24pm - <b>21.5259</b>","UltraPro Short MidCap400"
"SMEZ",47.11,46.96,"47.14 - 47.14",300,100,352,100,"9:36am - <b>47.14</b>","SPDR EURO STOXX Small Cap ETF"
"SMH",66.480,66.470,"66.157 - 66.750",1200,5600,1331588,100,"3:41pm - <b>66.465</b>","VanEck Vectors Semiconductor ET"
"SMHD",19.12,19.11,"19.02 - 19.44",500,100,10175,100,"3:41pm - <b>19.09</b>","ETRACS Monthly Pay 2xLeveraged "
"SMK",26.440,26.250,"26.334 - 26.334",500,500,260,200,"2:39pm - <b>26.334</b>","ProShares UltraShort MSCI Mexic"
"SMLF",31.78,31.49,"31.66 - 31.70",100,500,530,260,"3:05pm - <b>31.70</b>","iShares Edge MSCI Multifactor U"
"SMLL",33.1000,32.9600,N/A,500,500,10,N/A,"10:49am - <b>31.7364</b>","Direxiion Daily Small Cap Bull "
"SMLV",82.030,81.740,"81.720 - 82.280",1000,100,5257,116,"2:37pm - <b>81.783</b>","SPDR Russell 2000 Low Volatilit"
"SMMU",50.49,50.46,"50.38 - 50.46",600,100,6616,100,"3:16pm - <b>50.46</b>","Short Term Municipal Bond Activ"
"SMN",25.10,25.07,"24.92 - 25.08",1000,700,7541,100,"3:32pm - <b>25.04</b>","ProShares UltraShort Basic Mate"
"SNLN",18.6100,18.6000,"18.6000 - 18.6400",100,400,206185,185,"3:35pm - <b>18.6232</b>","Highland/iBoxx Senior Loan ETF"
"SOIL",8.61,8.51,"8.52 - 8.59",200,100,2425,100,"2:15pm - <b>8.55</b>","Global X Fertilizers/Potash ETF"
"SOP",15.44,15.39,"15.21 - 15.38",900,1300,1000,100,"1:41pm - <b>15.21</b>","ProShares UltraShort Oil & Gas "
"SOVB",27.83,27.51,"27.71 - 27.71",100,100,1122,200,"1:54pm - <b>27.71</b>","Cambria Sovereign High Yield Bo"
"SOXL",42.16,42.13,"41.34 - 42.62",700,200,175415,100,"3:39pm - <b>42.02</b>","Direxion Daily Semiconductor Bu"
"SOXS",17.17,17.12,"16.90 - 17.40",1500,2300,185654,200,"3:41pm - <b>17.13</b>","Direxion Daily Semiconductor Be"
"SOYB",18.38,18.35,"18.37 - 18.54",2500,1000,7030,400,"3:34pm - <b>18.44</b>","Teucrium Soybean Fund ETV"
"SPDN",19.50,19.48,"19.40 - 19.51",11100,4700,4302,100,"1:44pm - <b>19.51</b>","Direxion Daily S&P 500 Bear 1X "
"SPFF",13.5500,13.5300,"13.5300 - 13.5500",300,400,36602,354,"3:34pm - <b>13.5372</b>","Global X SuperIncome Preferred "
"SPHB",31.8800,31.8600,"31.8627 - 32.2000",900,8900,31305,300,"3:39pm - <b>31.8627</b>","PowerShares S&P 500 High Beta P"
"SPHD",38.8100,38.8000,"38.7700 - 38.9300",4800,19700,427052,150,"3:41pm - <b>38.8074</b>","PowerShares S&P 500 High Divide"
"SPHQ",24.9400,24.9300,"24.9220 - 25.0200",17800,22600,276072,1000,"3:40pm - <b>24.9369</b>","PowerShares S&P 500 Quality Por"
"SPLV",41.84,41.83,"41.75 - 41.94",23400,73300,2400276,100,"3:41pm - <b>41.83</b>","PowerShares S&P 500 Low Volatil"
"SPLX",34.69,33.04,N/A,900,500,1,N/A,"8:00pm - <b>35.27</b>","ETRACS Monthly Reset 2xLeverage"
"SPMO",27.13,27.11,N/A,5700,2200,4,N/A,"8:00pm - <b>26.75</b>","PowerShares S&P 500 Momentum Po"
