Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"USSD",25.8500,25.6400,N/A,6000,100,0,N/A,"8:00pm - <b>25.5087</b>","WisdomTree Strong Dollar U.S. E"
"UST",63.54,63.48,"63.38 - 63.52",200,100,2512,401,"2:41pm - <b>63.52</b>","ProShares Ultra 7-10 Year Treas"
"USV",26.2200,25.6300,"25.6915 - 25.6915",100,100,620,620,"2:27pm - <b>25.6915</b>","E-TRACS USB Bloomberg Commodity"
"USWD",25.42,25.24,N/A,5000,100,0,N/A,"8:00pm - <b>25.28</b>","WisdomTree Weak Dollar U.S. Equ"
"UUP",24.62,24.61,"24.58 - 24.63",59400,92200,298159,2400,"2:53pm - <b>24.62</b>","PowerShares DB USD Index Bullis"
"UVXY",18.21,18.20,"17.51 - 18.66",600,1600,26308414,100,"2:57pm - <b>18.21</b>","ProShares Trust Ultra VIX Short"
"UWM",94.07,94.04,"93.63 - 94.76",400,400,79057,100,"2:50pm - <b>93.81</b>","ProShares Ultra Russell2000"
"UWTI",21.060,21.030,"20.440 - 21.750",14600,3800,12630241,100,"2:57pm - <b>21.059</b>","VelocityShares 3X Long Crude ET"
"UXI",42.70,42.41,"42.42 - 42.42",300,1100,135,100,"10:20am - <b>42.42</b>","ProShares Ultra Industrials"
"UYG",72.04,72.00,"71.83 - 72.98",400,1100,26138,100,"2:55pm - <b>72.05</b>","ProShares Ultra Financials"
"UYM",43.030,42.870,"42.956 - 43.019",500,100,453,300,"2:35pm - <b>42.956</b>","ProShares Ultra Basic Materials"
"VAMO",23.2200,23.0300,"23.1432 - 23.2299",2000,100,474,335,"1:50pm - <b>23.2299</b>","Cambria ETF Trust Cambria Value"
"VAW",105.5200,105.4700,"105.4000 - 106.0600",800,800,64088,100,"2:51pm - <b>105.4767</b>","Vanguard Materials ETF - DNQ"
"VB",121.630,121.600,"121.429 - 122.020",200,300,510553,100,"2:56pm - <b>121.614</b>","Vanguard Small-Cap ETF - DNQ"
"VBK",131.64,131.59,"131.49 - 132.13",300,600,101862,100,"2:54pm - <b>131.69</b>","Vanguard Small-Cap Growth ETF -"
"VBR",109.740,109.700,"109.510 - 110.160",400,400,222906,300,"2:56pm - <b>109.796</b>","Vanguard Small-Cap Value ETF - "
"VCR",124.23,124.22,"124.12 - 125.12",300,100,62691,200,"2:52pm - <b>124.23</b>","Vanguard Consumer Discretion ET"
"VDC",136.06,136.03,"135.94 - 136.81",900,200,152568,200,"2:54pm - <b>136.00</b>","Vanguard Consumer Staples ETF -"
"VDE",92.92,92.89,"92.82 - 93.93",1300,800,236307,280,"2:56pm - <b>92.88</b>","Vanguard Energy ETF"
"VEA",37.1000,37.0900,"37.0700 - 37.2100",39700,25600,6882468,2272,"2:57pm - <b>37.0999</b>","Vanguard FTSE Developed Markets"
"VEGA",27.2900,27.1800,"27.1401 - 27.2100",100,2700,346,100,"2:49pm - <b>27.1401</b>","AdvisorShares STAR Global Buy-W"
"VEGI",23.76,23.56,"23.66 - 23.73",700,400,1619,100,"2:51pm - <b>23.66</b>","iShares MSCI Agriculture Produc"
"VEU",45.0600,45.0500,"45.0236 - 45.1900",11600,5500,1062451,101,"2:56pm - <b>45.0599</b>","Vanguard FTSE All World Ex US E"
"VFH",48.7200,48.7100,"48.6500 - 49.1834",5500,200,645976,122,"2:56pm - <b>48.7234</b>","Vanguard Financials ETF - DNQ"
"VGK",48.39,48.38,"48.31 - 48.52",2900,41600,1360997,200,"2:57pm - <b>48.39</b>","Vanguard FTSEEuropean ETF"
