Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"HEWW",23.29,23.21,N/A,1500,2000,0,N/A,"8:00pm - <b>23.12</b>","iShares Currency Hedged MSCI Me"
"HEWY",24.89,24.79,N/A,1000,1000,0,N/A,"8:00pm - <b>25.19</b>","iShares Currency Hedged MSCI So"
"HEZU",24.51,24.50,"24.49 - 24.60",400,64800,392010,300,"3:04pm - <b>24.51</b>","iShares Currency Hedged MSCI Eu"
"HFEZ",32.45,32.32,"32.38 - 32.45",1000,1200,5170,1100,"12:47pm - <b>32.38</b>","SPDR EURO STOXX 50 Currency Hed"
"HFXE",17.76,17.66,N/A,1100,3800,0,N/A,"8:00pm - <b>17.65</b>","IQ 50 Percent Hedged FTSE Europ"
"HFXI",18.070,17.890,"18.037 - 18.038",1100,500,2465,1350,"10:44am - <b>18.038</b>","IQ 50 Percent Hedged FTSE Inter"
"HFXJ",17.35,17.34,"17.34 - 17.35",300,100,374,145,"2:37pm - <b>17.34</b>","IQ 50 Percent Hedged FTSE Japan"
"HGEU",35.85,35.70,"35.95 - 35.95",500,100,200,100,"9:30am - <b>35.95</b>","ProShares Hedged FTSE Europe ET"
"HGI",14.99,14.88,"15.01 - 15.03",200,3300,1938,100,"9:38am - <b>15.02</b>","Guggenheim International Multi-"
"HGJP",29.7000,29.5100,N/A,100,100,73,N/A,"8:00pm - <b>29.8414</b>","ProShares Hedged FTSE Japan ETF"
"HHYX",25.73,25.46,N/A,4000,4000,0,N/A,"8:00pm - <b>25.57</b>","iShares Currency Hedged Interna"
"HILO",13.60,13.51,"13.61 - 13.64",200,100,701,100,"11:07am - <b>13.61</b>","EGShares EM Quality Dividend ET"
"HIPS",17.78,17.68,"17.82 - 17.84",100,1000,723,200,"11:24am - <b>17.82</b>","Master Income ETF"
"HJPX",22.49,22.13,N/A,3600,100,0,N/A,"8:00pm - <b>22.39</b>","iShares Currency Hedged JPX-Nik"
"HOLD",104.38,94.43,N/A,100,400,0,N/A,"8:00pm - <b>99.45</b>","AdvisorShares Sage Core Reserve"
"HOML",25.5000,22.7800,N/A,900,500,0,N/A,"8:00pm - <b>23.0109</b>","ETRACS Monthly Reset 2xLeverage"
"HREX",42.28,42.09,N/A,400,400,0,N/A,"4:00pm - <b>42.33</b>","SPDR MSCI International Real Es"
"HSCZ",24.39,24.35,"24.42 - 24.42",1000,500,4980,2000,"9:30am - <b>24.42</b>","iShares Currency Hedged MSCI EA"
"HSPX",44.53,44.48,"44.45 - 44.78",2300,100,6907,2200,"2:53pm - <b>44.52</b>","Horizons S&P 500 Covered Call"
"HTUS",26.23,26.20,"26.19 - 26.28",4800,200,2949,293,"1:31pm - <b>26.20</b>","Hull Tactical US ETF"
"HUSE",38.1600,37.8500,"38.0572 - 38.0572",3900,400,3925,3925,"9:50am - <b>38.0572</b>","US Market Rotation Strategy ETF"
"HUSV",20.77,20.20,"19.85 - 20.77",100,100,6402,4428,"2:54pm - <b>19.85</b>","First Trust Exchange-Traded Fun"
"HVPW",19.8000,19.7800,"19.7001 - 19.8262",100,100,12916,546,"2:16pm - <b>19.7001</b>","U.S. Equity High Volatility Put"
"HYD",32.27,32.26,"32.26 - 32.29",100,800,133867,200,"3:05pm - <b>32.28</b>","VanEck Vectors High Yield Munic"
"HYDD",22.2100,22.1700,"22.0500 - 22.1000",500,500,1159,454,"1:07pm - <b>22.0834</b>","Direxion Daily High Yield Bear "
"HYEM",24.52,24.50,"24.45 - 24.57",600,400,63850,107,"3:03pm - <b>24.51</b>","VanEck Vectors Emerging Markets"
"HYG",86.350,86.340,"86.320 - 86.680",3700,1100,3248466,100,"3:04pm - <b>86.325</b>","iShares iBoxx $ High Yield Corp"
"HYGH",87.550,87.380,"87.411 - 87.411",4100,4000,649,499,"1:37pm - <b>87.411</b>","iShares Interest Rate Hedged Hi"
"HYLD",35.050,34.940,"34.951 - 35.090",200,100,11675,200,"2:57pm - <b>35.015</b>","Peritus High Yield ETF"
"HYMB",59.4200,59.3300,"59.3000 - 59.4050",100,600,36802,160,"2:56pm - <b>59.3732</b>","SPDR Nuveen S&P High Yield Muni"
"HYS",98.8000,98.5400,"98.6465 - 99.1399",100,300,111992,500,"3:03pm - <b>98.7174</b>","PIMCO 0-5 Year High Yield Corpo"
"IAI",40.89,40.85,"40.81 - 41.42",7400,1300,8193,300,"2:56pm - <b>40.86</b>","iShares U.S. Broker-Dealers & S"
"IAK",52.16,52.12,"52.08 - 52.39",3200,1700,5735,100,"3:04pm - <b>52.15</b>","iShares U.S. Insurance ETF"
"IAT",34.49,34.47,"34.45 - 34.94",14100,8200,62539,1554,"3:04pm - <b>34.48</b>","iShares U.S. Regional Banks ETF"
"IAU",12.8900,12.8800,"12.8800 - 12.9400",154900,179600,3193544,773,"3:04pm - <b>12.8848</b>","ishares Gold Trust"
"IBCC",24.8000,24.7800,"24.7601 - 24.7938",300,100,2005,259,"2:14pm - <b>24.7601</b>","iShares iBonds Mar 2018 Term Co"
"IBCD",24.94,24.89,"24.88 - 24.96",100,100,11153,100,"2:50pm - <b>24.94</b>","iShares iBonds Mar 2020 Term Co"
"IBCE",25.14,25.03,"25.05 - 25.18",100,100,2824,100,"2:22pm - <b>25.13</b>","iShares iBonds Mar 2023 Term Co"
"IBDB",N/A,N/A,"25.72 - 25.74",N/A,N/A,36788,100,"2:49pm - <b>25.74</b>","iShares iBonds Mar 2018 Term Co"
"IBDC",26.47,26.44,"26.46 - 26.54",100,100,5151,500,"2:49pm - <b>26.48</b>","iShares iBonds Mar 2020 Term Co"
"IBDD",27.2500,27.2000,"27.1800 - 27.2500",600,100,1288,206,"2:14pm - <b>27.2443</b>","iShares iBonds Mar 2023 Term Co"
"IBDF",25.05,25.01,"25.02 - 25.04",200,500,6881,200,"1:08pm - <b>25.02</b>","iShares iBonds Dec 2016 Term Co"
"IBDH",N/A,N/A,"25.2700 - 25.2900",N/A,N/A,18937,196,"3:03pm - <b>25.2701</b>","iShares iBonds Dec 2018 Term Co"
"IBDJ",24.9300,24.9100,"24.8901 - 24.9499",100,100,12398,137,"3:03pm - <b>24.9499</b>","iShares iBonds Dec 2017 Term Co"
"IBDK",N/A,N/A,"25.13 - 25.21",N/A,N/A,25862,700,"3:03pm - <b>25.18</b>","iShares iBonds Dec 2019 Term Co"
"IBDL",25.76,25.73,"25.75 - 25.78",100,500,15982,100,"2:30pm - <b>25.78</b>","iShares iBonds Dec 2020 Term Co"
"IBDM",25.3300,25.3000,"25.3225 - 25.3800",100,700,16639,400,"2:30pm - <b>25.3369</b>","iShares iBonds Dec 2021 Term Co"
"IBDN",25.6200,25.5500,"25.5107 - 25.5900",100,100,37578,200,"2:55pm - <b>25.5535</b>","iShares iBonds Dec 2022 Term Co"
"IBDO",25.70,25.65,"25.65 - 25.71",1000,100,27812,276,"2:57pm - <b>25.68</b>","iShares iBonds Dec 2023 Term Co"
"IBDP",25.60,25.56,"25.54 - 25.64",100,400,19830,100,"2:23pm - <b>25.63</b>","iShares iBonds Dec 2024 Term Co"
"IBDQ",25.6700,25.6100,"25.5750 - 25.6874",100,100,15659,160,"2:27pm - <b>25.6874</b>","iShares iBonds Dec 2025 Term Co"
"IBDR",25.3200,25.1800,"25.2731 - 25.2731",3500,100,880,700,"11:36am - <b>25.2731</b>","iShares iBonds Dec 2026 Term Co"
"IBLN",25.22,25.18,"25.17 - 25.27",4700,1500,2835,300,"2:01pm - <b>25.18</b>","Direxion iBillionaire Index ETF"
"IBMF",27.34,27.31,"27.30 - 27.34",100,1000,10797,400,"2:50pm - <b>27.33</b>","iShares iBonds Sep 2017 Term Mu"
"IBMG",25.5600,25.5400,"25.5400 - 25.5599",500,100,8569,150,"2:50pm - <b>25.5514</b>","iShares iBonds Sep 2018 Term Mu"
"IBMH",25.6800,25.6300,"25.6400 - 25.6800",500,300,10689,400,"2:51pm - <b>25.6425</b>","iShares iBonds Sep 2019 Term Mu"
"IBMI",25.8300,25.8100,"25.8200 - 25.8399",100,700,25343,400,"2:51pm - <b>25.8399</b>","iShares iBonds Sep 2020 Term Mu"
"IBMJ",26.03,25.96,"25.96 - 26.03",8500,8100,24070,100,"2:54pm - <b>26.03</b>","iShares iBonds Dec 2021 Term Mu"
"IBMK",26.3600,26.3200,"26.3250 - 26.3596",8500,100,25423,100,"2:53pm - <b>26.3301</b>","iShares iBonds Dec 2022 Term Mu"
"IBND",33.5900,33.4000,"33.3500 - 33.5999",200,400,14461,122,"2:49pm - <b>33.5232</b>","SPDR Barclays International Bon"
"ICF",107.36,107.32,"106.45 - 107.50",900,700,111352,106,"3:04pm - <b>107.32</b>","iShares Cohen & Steers REIT ETF"
"ICI",41.7500,39.2000,N/A,400,500,0,N/A,"4:00pm - <b>39.4799</b>","iPath iPath Optimized Currency "
"ICN",N/A,N/A,N/A,N/A,N/A,2,N/A,"8:00pm - <b>21.709</b>","WisdomTree Indian Rupee Strateg"
"ICOL",13.0000,12.9100,"12.9946 - 13.2700",800,100,1901,101,"11:07am - <b>12.9946</b>","iShares MSCI Colombia Capped"
"IDHQ",20.4000,20.3100,"20.3334 - 20.3776",800,600,1860,294,"2:21pm - <b>20.3676</b>","PowerShares S&P International D"
"IDLV",30.4200,30.4000,"30.4000 - 30.5100",1300,300,54431,100,"3:03pm - <b>30.4125</b>","PowerShares S&P International D"
