Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"JJA",35.65,35.55,"35.60 - 35.65",500,600,3102,600,"3:21pm - <b>35.65</b>","iPath Bloomberg Agriculture Tot"
"JJC",25.02,24.98,"24.89 - 25.03",200,2200,7138,100,"3:18pm - <b>24.89</b>","iPath Bloomberg Copper Subindex"
"JJE",5.75,5.72,"5.76 - 5.78",200,3300,12138,100,"2:27pm - <b>5.77</b>","iPath Bloomberg Energy Total Re"
"JJG",27.4200,27.4000,"27.3500 - 27.8000",6300,200,61075,146,"3:34pm - <b>27.3665</b>","iPath Bloomberg Grains Total Re"
"JJM",21.45,21.15,"20.61 - 21.45",500,100,859,100,"11:19am - <b>21.45</b>","iPath Bloomberg Industrial Meta"
"JJN",12.87,12.72,"12.72 - 12.94",4200,100,3541,125,"12:56pm - <b>12.80</b>","iPath Bloomberg Nickel Subindex"
"JJP",63.73,60.97,"64.04 - 64.10",600,200,489,154,"10:10am - <b>64.04</b>","iPath Bloomberg Precious Metals"
"JJS",44.520,44.400,"43.710 - 44.488",200,100,3107,100,"1:38pm - <b>44.421</b>","iPath Bloomberg Softs Subindex "
"JJT",45.00,44.00,"44.19 - 44.20",17700,100,650,100,"10:04am - <b>44.20</b>","iPath Bloomberg Tin Subindex To"
"JJU",14.76,13.63,"14.45 - 14.45",400,800,300,100,"10:58am - <b>14.45</b>","iPath Bloomberg Aluminum Subind"
"JKD",127.240,127.130,"127.150 - 127.566",100,100,9844,206,"3:29pm - <b>127.297</b>","iShares Morningstar Large-Cap E"
"JKE",120.9800,120.8300,"120.7700 - 121.4700",100,300,6125,200,"3:31pm - <b>120.9612</b>","iShares Morningstar Large-Cap G"
"JKF",87.1300,86.9900,"86.9900 - 87.7200",1800,1200,6240,100,"3:06pm - <b>87.0682</b>","iShares Morningstar Large-Cap  "
"JKG",153.57,153.27,"153.29 - 153.75",1000,700,8286,345,"3:23pm - <b>153.52</b>","iShares Morningstar Mid-Cap ETF"
"JKH",161.7100,161.6200,"161.4897 - 161.6600",200,200,825,150,"2:44pm - <b>161.4897</b>","iShares Morningstar Mid-Cap Gro"
"JKJ",144.29,144.16,"144.13 - 144.69",200,500,1853,270,"3:23pm - <b>144.14</b>","iShares Morningstar Small-Cap E"
"JKK",143.44,143.35,"143.58 - 143.80",200,100,1005,108,"12:55pm - <b>143.58</b>","iShares Morningstar Small-Cap G"
"JKL",127.96,127.88,"127.86 - 128.04",200,200,4196,100,"3:26pm - <b>127.87</b>","iShares Morningstar Small-Cap V"
"JNK",36.370,36.360,"36.340 - 36.510",38600,41200,4560954,200,"3:33pm - <b>36.365</b>","SPDR Barclays High Yield Bond E"
"JNUG",18.37,18.34,"18.01 - 19.99",900,1000,8864640,100,"3:34pm - <b>18.30</b>","Direxion Daily Junior Gold Mine"
"JO",22.5600,22.5400,"21.9000 - 22.6572",100,200,124893,100,"3:31pm - <b>22.5593</b>","iPath Bloomberg Coffee Subindex"
"JPEH",26.580,26.360,N/A,700,200,0,N/A,"4:00pm - <b>25.117</b>","JPMorgan Diversified Return Eur"
"JPEM",48.450,48.360,"48.459 - 48.548",1000,600,789,154,"12:32pm - <b>48.539</b>","JPMorgan Diversified Return Eme"
"JPEU",51.91,51.85,N/A,1000,500,0,N/A,"8:00pm - <b>51.76</b>","JPMorgan Diversified Return Eur"
"JPGE",53.10,53.06,"53.04 - 53.15",1000,500,3694,100,"2:09pm - <b>53.06</b>","JPMorgan Diversified Return Glo"
"JPHF",25.20,25.15,"25.20 - 25.24",100,400,5400,2000,"1:39pm - <b>25.20</b>","J P Morgan Chase & Co ETF"
"JPIH",26.27,26.18,N/A,400,200,0,N/A,"1:11pm - <b>24.97</b>","JPMorgan Diversified Return Int"
"JPIN",51.82,51.78,"51.70 - 51.85",2300,100,36202,270,"3:17pm - <b>51.77</b>","JPMorgan Diversified Return Int"
"JPME",52.88,52.81,N/A,3100,1500,0,N/A,"8:00pm - <b>53.57</b>","JPMorgan Diversified Return U.S"
"JPMV",61.5500,61.4900,"61.5599 - 61.5600",500,1000,625,200,"3:32pm - <b>61.5599</b>","iShares Edge MSCI Min Vol Japan"
"JPN",24.3400,24.3100,"24.3300 - 24.3552",100,100,12755,1200,"1:35pm - <b>24.3552</b>","Deutsche X-trackers Japan JPX-N"
"JPNH",19.7600,19.6900,N/A,400,400,0,N/A,"8:00pm - <b>20.0297</b>","Deutsche X-trackers Japan JPX-N"
"JPNL",45.34,44.95,"44.83 - 45.15",1300,100,5983,100,"3:26pm - <b>45.15</b>","Direxion Daily Japan Bull 3X ET"
"JPUS",58.300,58.240,"58.226 - 58.380",2900,600,3752,170,"3:29pm - <b>58.279</b>","JPMorgan Diversified Return U.S"
"JPXN",54.32,54.24,"54.18 - 54.26",700,700,2336,100,"3:07pm - <b>54.18</b>","iShares JPX-Nikkei 400 ETF"
"JUNE",24.600,24.520,N/A,2000,500,103,N/A,"8:00pm - <b>24.598</b>","Dhandho Junoon ETF"
"JXI",48.4200,48.3100,"48.2600 - 48.4500",1000,2000,7881,200,"3:13pm - <b>48.3246</b>","iShares Global Utilities ETF"
"JYN",57.09,56.33,"56.28 - 56.28",600,500,1000,100,"10:21am - <b>56.28</b>","BARCLAYS BANK PLC iPath JPY/USD"
"KBA",28.64,28.53,"28.45 - 28.85",4400,500,66255,175,"3:31pm - <b>28.52</b>","KraneShares Bosera MSCI China A"
"KBE",32.820,32.810,"32.720 - 33.270",9300,5000,2251831,100,"3:34pm - <b>32.815</b>","SPDR S&P Bank ETF"
"KBWB",35.9500,35.9200,"35.8288 - 36.3600",3100,8600,67699,110,"3:32pm - <b>35.9417</b>","PowerShares KBW Bank Portfolio "
"KBWD",21.8800,21.8600,"21.8538 - 22.0958",1800,100,61225,1143,"3:31pm - <b>21.8729</b>","PowerShares KBW High Dividend Y"
"KBWP",50.03,49.96,"49.93 - 50.28",1800,200,9256,100,"3:30pm - <b>50.07</b>","PowerShares KBW Property & Casu"
"KBWR",43.05,43.03,"42.66 - 43.22",1200,1100,4277,100,"3:26pm - <b>42.69</b>","PowerShares KBW Regional Bankin"
"KBWY",37.01,36.96,"36.94 - 37.15",100,900,34641,200,"3:29pm - <b>36.94</b>","PowerShares KBW Premium Yield E"
"KCE",40.090,39.990,"39.940 - 40.430",3200,1100,3354,167,"3:01pm - <b>39.994</b>","SPDR S&P Capital Markets ETF"
"KCNY",33.46,33.40,"33.39 - 33.40",100,300,1891,100,"10:40am - <b>33.40</b>","KraneShares E Fund China Commer"
"KFYP",30.99,29.15,"30.00 - 31.10",100,200,7647,100,"3:05pm - <b>30.88</b>","KraneShares Zacks New China ETF"
"KIE",73.39,73.35,"73.19 - 73.62",1500,2500,41787,100,"3:32pm - <b>73.39</b>","SPDR S&P Insurance ETF"
"KLD",89.90,89.85,"89.72 - 90.03",600,1900,7232,100,"3:16pm - <b>89.82</b>","iShares MSCI USA ESG Select ETF"
"KLDW",27.14,27.11,"27.12 - 27.15",600,1000,2700,100,"11:33am - <b>27.13</b>","Exchange Listed Funds Trust Gav"
"KLEM",24.84,24.81,"24.81 - 24.87",1000,500,1000,200,"1:57pm - <b>24.81</b>","Exchange Listed Funds Trust Gav"
"KNOW",73.5300,73.4600,"73.4200 - 73.9360",1400,400,8172,168,"3:33pm - <b>73.5122</b>","Direxion All Cap Insider Sentim"
"KOL",11.47,11.45,"11.43 - 11.52",1000,5500,72646,200,"3:34pm - <b>11.47</b>","VanEck Vectors Coal ETF"
"KOLD",32.98,32.70,"32.53 - 33.29",1400,1200,18525,100,"3:22pm - <b>32.83</b>","ProShares UltraShort Bloomberg "
"KORU",29.82,29.67,"29.80 - 30.14",400,400,1510,127,"1:24pm - <b>29.80</b>","Direxion Daily South Korea Bull"
"KRE",41.380,41.370,"41.260 - 41.940",4600,3200,2580837,100,"3:34pm - <b>41.375</b>","SPDR S&P Regional Banking ETF"
"KROO",17.16,17.03,N/A,100,400,50,N/A,"8:00pm - <b>17.15</b>","IQ Australia Small Cap ETF"
"KRS",22.6500,22.4900,N/A,2200,100,0,N/A,"11:00am - <b>22.2491</b>","ProShares Short S&P Regional Ba"
"KRU",90.3800,89.7900,N/A,400,700,60,N/A,"8:00pm - <b>93.1674</b>","ProShares Ultra S&P Regional Ba"
"KSA",21.52,21.46,"21.35 - 21.35",500,1000,200,100,"9:30am - <b>21.35</b>","iShares MSCI Saudi Arabia Cappe"
"KWT",40.2700,39.0200,N/A,200,100,125,N/A,"8:00pm - <b>39.6248</b>","VanEck Vectors Solar Energy ETF"
"KXI",98.9600,98.7600,"98.7200 - 98.9850",1100,1200,5878,185,"3:09pm - <b>98.7301</b>","iShares Global Consumer Staples"
"LABD",16.3200,16.2900,"16.0400 - 16.5400",5800,600,2625843,500,"3:34pm - <b>16.2899</b>","Direxion Daily S&P Biotech Bear"
"LABS",36.690,36.540,"36.618 - 36.618",900,900,135,135,"3:00pm - <b>36.618</b>","Direxion Daily S&P Biotech Bear"
"LABU",52.53,52.49,"51.80 - 53.45",100,200,1072374,100,"3:33pm - <b>52.67</b>","Direxion Daily S&P Biotech Bull"
"LARE",29.92,29.54,N/A,1000,600,0,N/A,"8:00pm - <b>30.17</b>","Tierra XP Latin America Real Es"
"LBDC",18.81,18.49,N/A,900,1000,0,N/A,"8:00pm - <b>18.47</b>","2xLeveraged Long ETRACS Wells F"
"LBJ",83.52,82.79,"83.17 - 85.16",100,200,2793,100,"1:43pm - <b>83.67</b>","Direxion Daily Latin America 3x"
"LD",62.02,29.56,"42.32 - 42.32",300,100,800,400,"9:44am - <b>42.32</b>","iPath Bloomberg Lead Subindex T"
"LDUR",100.9900,100.8200,"100.8132 - 101.1100",100,100,31920,100,"2:27pm - <b>100.9349</b>","PIMCO Low Duration Active Excha"
"LEDD",32.75,32.55,N/A,600,600,0,N/A,"8:00pm - <b>32.63</b>","iPath Pure Beta Lead ETN"
"LEMB",45.6700,45.6200,"45.6000 - 45.8400",200,4000,32780,620,"3:29pm - <b>45.6444</b>","iShares Emerging Markets Local "
"LGLV",79.730,79.220,"79.470 - 80.670",600,100,3329,100,"3:18pm - <b>79.537</b>","SPDR Russell 1000 Low Volatilit"
"LIT",24.27,24.20,"24.20 - 24.38",700,800,51316,200,"3:33pm - <b>24.20</b>","Global X Lithium ETF"
"LLDM",26.2100,26.2000,N/A,1000,1000,0,N/A,"9:53am - <b>25.2199</b>","Direxion Daily FTSE Developed M"
"LLEM",24.32,24.19,N/A,1000,1000,0,N/A,"8:00pm - <b>23.59</b>","Direxion Daily FTSE Emerging Ma"
"LLSC",27.4800,27.4400,N/A,2000,1900,0,N/A,"8:00pm - <b>27.1401</b>","Direxion Daily Small Cap 1.25X "
"LLSP",27.09,27.06,N/A,1200,1000,0,N/A,"8:00pm - <b>27.24</b>","Direxion Daily S&P 500 Bull 1.2"
"LMLP",10.9000,10.8500,"10.7900 - 11.2000",1000,900,53416,2000,"3:24pm - <b>10.8301</b>","ETRACS Monthly Pay 2xLeveraged "
"LOWC",74.1300,74.0800,"74.0900 - 74.2399",500,1000,556,200,"10:42am - <b>74.2399</b>","SPDR MSCI ACWI Low Carbon Targe"
"LQD",123.02,123.01,"122.89 - 123.21",500,4400,3220333,100,"3:34pm - <b>123.03</b>","iShares iBoxx $ Investment Grad"
"LQDH",92.340,92.240,"92.286 - 92.350",400,400,736,100,"1:51pm - <b>92.286</b>","iShares Interest Rate Hedged Co"
"LRET",30.70,27.72,"30.45 - 30.69",1800,2100,901,100,"2:36pm - <b>30.69</b>","ETRACS Monthly Pay 2xLeveraged "
"LRGF",25.0700,25.0100,"25.0101 - 25.2000",2000,1900,2429,552,"2:04pm - <b>25.0421</b>","iShares Edge MSCI Multifactor U"
"LSTK",36.36,36.17,"36.00 - 36.00",300,300,6000,1000,"11:30am - <b>36.00</b>","iPath Pure Beta Livestock ETN"
"LSVX",26.21,26.11,N/A,200,100,0,N/A,"8:00pm - <b>25.97</b>","UBS AG VelocityShares VIX Varia"
"LTL",105.3100,102.2200,"103.4752 - 103.4752",400,400,105,100,"9:59am - <b>103.4752</b>","ProShares Ultra Telecommunicati"
"LTPZ",71.34,71.17,"71.11 - 71.59",600,1300,29100,1500,"3:21pm - <b>71.19</b>","Pimco 15  Year U.S. TIPS Index "
"LVL",9.8500,9.8400,"9.8401 - 9.8900",800,700,12726,400,"3:21pm - <b>9.8401</b>","Guggenheim Global Dividend Oppo"
"LWC",42.880,42.690,"42.770 - 42.900",800,100,20330,125,"3:32pm - <b>42.804</b>","SPDR Barclays Long Term Corpora"
"MATH",27.57,27.43,"27.36 - 27.55",100,200,1323,100,"9:59am - <b>27.55</b>","Meidell Tactical Advantage ETF"
"MBB",110.140,110.130,"110.060 - 110.190",100,600,290134,166,"3:33pm - <b>110.137</b>","iShares MBS ETF"
"MBG",27.18,27.15,"27.12 - 27.22",100,100,8060,100,"3:32pm - <b>27.14</b>","SPDR Barclays Mortgage Backed B"
"MCRO",25.64,24.75,N/A,600,600,197,100,"3:10pm - <b>25.15</b>","IQ Hedge Macro Tracker ETF"
"MDY",280.99,280.96,"280.17 - 281.49",200,100,559841,300,"3:34pm - <b>280.93</b>","SPDR MidCap Trust Series I"
