Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"USSD",25.8700,25.6600,N/A,6000,100,0,N/A,"8:00pm - <b>25.5087</b>","WisdomTree Strong Dollar U.S. E"
"UST",63.54,63.48,"63.38 - 63.52",200,100,2544,401,"2:41pm - <b>63.52</b>","ProShares Ultra 7-10 Year Treas"
"USV",26.2200,25.6300,"25.6915 - 25.6915",100,100,620,620,"2:27pm - <b>25.6915</b>","E-TRACS USB Bloomberg Commodity"
"USWD",25.45,25.28,N/A,5000,100,0,N/A,"8:00pm - <b>25.28</b>","WisdomTree Weak Dollar U.S. Equ"
"UUP",24.630,24.620,"24.580 - 24.630",181000,39300,303055,200,"3:35pm - <b>24.625</b>","PowerShares DB USD Index Bullis"
"UVXY",18.03,18.02,"17.51 - 18.66",700,2400,28348213,200,"3:35pm - <b>17.99</b>","ProShares Trust Ultra VIX Short"
"UWM",94.07,94.04,"93.63 - 94.76",400,400,86046,100,"3:33pm - <b>93.87</b>","ProShares Ultra Russell2000"
"UWTI",21.02,21.01,"20.44 - 21.75",1400,8700,14102139,100,"3:35pm - <b>21.02</b>","VelocityShares 3X Long Crude ET"
"UXI",42.70,42.41,"42.42 - 42.42",300,1100,135,100,"10:20am - <b>42.42</b>","ProShares Ultra Industrials"
"UYG",72.28,72.23,"71.83 - 72.98",300,900,33294,100,"3:21pm - <b>71.98</b>","ProShares Ultra Financials"
"UYM",42.950,42.800,"42.956 - 43.019",500,700,543,300,"2:35pm - <b>42.956</b>","ProShares Ultra Basic Materials"
"VAMO",23.2000,23.0100,"23.1432 - 23.2299",2000,200,479,335,"1:50pm - <b>23.2299</b>","Cambria ETF Trust Cambria Value"
"VAW",105.6100,105.5600,"105.4000 - 106.0600",900,1100,68739,263,"3:30pm - <b>105.5934</b>","Vanguard Materials ETF - DNQ"
"VB",121.60,121.57,"121.43 - 122.02",200,200,540542,100,"3:35pm - <b>121.55</b>","Vanguard Small-Cap ETF - DNQ"
"VBK",131.6400,131.6100,"131.4868 - 132.1300",300,200,108800,232,"3:30pm - <b>131.6448</b>","Vanguard Small-Cap Growth ETF -"
"VBR",109.80,109.76,"109.51 - 110.16",200,400,232862,100,"3:33pm - <b>109.81</b>","Vanguard Small-Cap Value ETF - "
"VCR",124.23,124.22,"124.12 - 125.12",300,100,65563,100,"3:34pm - <b>124.30</b>","Vanguard Consumer Discretion ET"
"VDC",136.1600,136.1200,"135.9368 - 136.8100",600,300,163992,183,"3:33pm - <b>136.1899</b>","Vanguard Consumer Staples ETF -"
"VDE",92.88,92.84,"92.77 - 93.93",1400,2700,243337,200,"3:34pm - <b>92.85</b>","Vanguard Energy ETF"
"VEA",37.13,37.12,"37.07 - 37.21",87500,5000,7395716,300,"3:35pm - <b>37.12</b>","Vanguard FTSE Developed Markets"
"VEGA",27.2700,27.1500,"27.1401 - 27.2100",100,2700,346,100,"2:49pm - <b>27.1401</b>","AdvisorShares STAR Global Buy-W"
"VEGI",23.75,23.56,"23.66 - 23.73",700,400,1619,100,"2:51pm - <b>23.66</b>","iShares MSCI Agriculture Produc"
"VEU",45.08,45.07,"45.02 - 45.19",12700,7900,1165742,100,"3:34pm - <b>45.08</b>","Vanguard FTSE All World Ex US E"
"VFH",48.77,48.76,"48.65 - 49.18",500,6100,720486,300,"3:35pm - <b>48.78</b>","Vanguard Financials ETF - DNQ"
"VGK",48.410,48.400,"48.310 - 48.520",38900,20400,1476340,100,"3:34pm - <b>48.405</b>","Vanguard FTSEEuropean ETF"
"VGT",118.87,118.84,"118.39 - 119.09",200,1400,420885,132,"3:35pm - <b>118.85</b>","Vanguard Information Tech ETF -"
"VHT",133.2800,133.2500,"132.9300 - 134.5000",100,1000,150870,144,"3:35pm - <b>133.3125</b>","Vanguard Health Care ETF - DNQ"
"VIG",83.45,83.44,"83.30 - 83.70",400,3400,837438,400,"3:34pm - <b>83.42</b>","Vanguard Div Appreciation ETF -"
"VIOG",117.23,117.13,"117.27 - 117.98",200,200,8753,100,"3:14pm - <b>117.27</b>","Vanguard S&P Small-Cap 600 Grow"
"VIOO",112.2700,112.2000,"112.1996 - 112.7900",100,100,11268,121,"3:14pm - <b>112.2672</b>","Vanguard S&P Small-Cap 600 ETF"
"VIOV",106.41,106.34,"106.33 - 106.91",100,100,7277,150,"3:34pm - <b>106.37</b>","Vanguard S&P Small-Cap 600 Valu"
"VIS",109.27,109.22,"108.86 - 109.51",500,500,72641,195,"3:35pm - <b>109.23</b>","Vanguard Industrials ETF - DNQ"
"VIXH",24.69,23.06,"24.04 - 24.05",1700,200,1516,680,"2:47pm - <b>24.05</b>","First Trust CBOE S&P 500 VIX Ta"
"VIXM",47.02,46.98,"46.85 - 47.48",600,1600,30309,300,"3:34pm - <b>46.85</b>","ProShares Trust VIX Mid-Term Fu"
"VIXY",29.34,29.33,"28.96 - 29.94",600,300,1801313,100,"3:35pm - <b>29.38</b>","ProShares Trust VIX Short-Term "
"VLU",81.26,80.74,N/A,1000,1000,79,N/A,"8:00pm - <b>81.51</b>","SPDR S&P 1500 Value Tilt ETF"
"VLUE",64.510,64.430,"64.410 - 64.810",4300,1500,36508,190,"3:31pm - <b>64.441</b>","iShares Edge MSCI USA Value Fac"
"VNM",14.930,14.900,"14.860 - 14.990",800,100,136645,400,"3:33pm - <b>14.911</b>","VanEck Vectors Vietnam ETF"
"VNQ",88.93,88.92,"88.00 - 88.94",1000,1000,2616911,100,"3:35pm - <b>88.87</b>","Vanguard REIT ETF - DNQ"
"VO",128.10,128.06,"127.93 - 128.75",1200,400,299036,200,"3:34pm - <b>128.15</b>","Vanguard Mid-Cap ETF - DNQ"
"VOE",92.60,92.57,"92.45 - 92.97",4100,300,242577,200,"3:35pm - <b>92.59</b>","Vanguard Mid-Cap Value ETF - DN"
"VOO",196.920,196.900,"196.580 - 197.600",1700,2400,1783065,250,"3:35pm - <b>196.899</b>","Vanguard S&P 500 ETF"
"VOOG",108.53,108.44,"108.30 - 108.76",1800,100,50646,100,"3:34pm - <b>108.46</b>","Vanguard S&P 500 Growth ETF"
"VOOV",90.4700,90.3900,"90.2966 - 90.7900",1100,300,11218,471,"3:31pm - <b>90.4078</b>","Vanguard S&P 500 Value ETF"
